crop_name,adm_id,sos,eos
maize,MX01,137.875,324.604
maize,MX02,131.836,314.805
maize,MX03,154.325,322.648
maize,MX04,148.874,358.314
maize,MX05,133.002,323.463
maize,MX06,138.011,315.994
maize,MX07,135.428,299.481
maize,MX08,131.866,318.408
maize,MX09,149.175,344.457
maize,MX10,136.819,319.898
maize,MX11,140.481,335.855
maize,MX12,141.803,330.706
maize,MX13,146.113,347.751
maize,MX14,138.345,328.316
maize,MX15,146.358,340.71
maize,MX16,139.031,334.428
maize,MX17,146.045,339.615
maize,MX18,138.644,335.015
maize,MX19,135.979,335.641
maize,MX20,136.018,312.361
maize,MX21,141.406,332.71
maize,MX22,143.19,343.564
maize,MX23,146.356,315.67
maize,MX24,136.572,339.519
maize,MX25,138.356,329.071
maize,MX26,139.189,326.034
maize,MX27,120.783,276.718
maize,MX28,137.898,340.433
maize,MX29,142.354,334.797
maize,MX30,129.046,307.484
maize,MX31,154.011,340.366
maize,MX32,137.311,323.164
