crop_name,adm_id,crop_area,crop_area_percentage
maize,MX01,518.2,9.217
maize,MX02,41.6,0.057
maize,MX03,20.7,0.029
maize,MX04,401.6,0.697
maize,MX05,73.6,0.048
maize,MX06,214.8,3.715
maize,MX07,465.5,0.635
maize,MX08,2112.5,0.854
maize,MX09,3.4,0.228
maize,MX10,1378.7,1.118
maize,MX11,3504.7,11.446
maize,MX12,538.5,0.847
maize,MX13,265.1,1.274
maize,MX14,7401.0,9.416
maize,MX15,602.1,2.695
maize,MX16,2710.6,4.618
maize,MX17,512.3,10.508
maize,MX18,672.1,2.393
maize,MX19,192.5,0.3
maize,MX20,182.3,0.194
maize,MX21,747.9,2.181
maize,MX22,319.4,2.733
maize,MX23,47.2,0.105
maize,MX24,444.9,0.728
maize,MX25,3572.5,6.219
maize,MX26,868.5,0.481
maize,MX27,5.6,0.023
maize,MX28,962.9,1.2
maize,MX29,366.0,9.164
maize,MX30,672.3,0.935
maize,MX31,44.2,0.111
maize,MX32,2454.5,3.258
