crop_name,adm_id,latitude,longitude,region_area
maize,MX01,22.02958,-102.35085,5622
maize,MX02,32.42118,-115.17606,73213
maize,MX03,25.08172,-111.57613,72014
maize,MX04,19.64755,-90.14145,57581
maize,MX05,26.43036,-101.98407,151823
maize,MX06,19.27715,-103.72113,5783
maize,MX07,16.1078,-92.70977,73278
maize,MX08,29.03064,-107.06242,247441
maize,MX09,19.3123,-99.03467,1493
maize,MX10,24.54567,-104.71729,123295
maize,MX11,20.61426,-101.34106,30618
maize,MX12,18.15346,-99.9595,63585
maize,MX13,20.26943,-99.14424,20806
maize,MX14,20.83773,-103.06204,78598
maize,MX15,19.58022,-99.62856,22338
maize,MX16,19.93481,-101.8065,58701
maize,MX17,18.76919,-99.00623,4875
maize,MX18,21.59087,-104.90714,28082
maize,MX19,24.957,-99.99858,64124
maize,MX20,17.5593,-96.40379,93896
maize,MX21,19.01326,-98.15438,34296
maize,MX22,20.59648,-100.20018,11684
maize,MX23,18.77258,-88.6371,44825
maize,MX24,22.46964,-100.10114,61134
maize,MX25,25.13891,-108.04366,57449
maize,MX26,27.71081,-109.89117,180559
maize,MX27,17.83652,-91.92321,24725
maize,MX28,24.1186,-98.53869,80218
maize,MX29,19.44952,-98.18541,3994
maize,MX30,19.34196,-96.76717,71942
maize,MX31,21.00437,-88.26896,39774
maize,MX32,22.46279,-103.11171,75333
