crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
maize,MX01,20010101,5.895,18.591,0.0,16719899.0,12.047,2.55,12.81,-2.55
maize,MX02,20010101,9.84,20.165,0.0,8985388.0,14.322,2.57,17.646,-2.57
maize,MX03,20010101,12.701,25.592,0.189,13425584.0,19.351,3.025,21.15,-2.836
maize,MX04,20010101,18.477,28.553,0.018,12129982.0,23.133,3.903,24.232,-3.885
maize,MX05,20010101,4.663,13.82,0.118,11723794.0,8.633,1.969,8.326,-1.851
maize,MX06,20010101,16.717,27.234,0.034,14802031.0,21.44,2.911,20.001,-2.877
maize,MX07,20010101,17.079,26.612,0.326,18731272.0,20.674,3.748,19.339,-3.422
maize,MX08,20010101,1.908,14.054,0.003,13758547.0,7.05,2.141,12.509,-2.138
maize,MX09,20010101,7.571,17.175,1.303,14550351.0,12.012,2.401,10.582,-1.098
maize,MX10,20010101,4.726,18.122,0.006,14284992.0,10.767,2.461,14.793,-2.455
maize,MX11,20010101,8.534,19.781,0.095,14383361.0,13.773,2.386,13.154,-2.291
maize,MX12,20010101,17.443,27.944,0.364,17513320.0,22.534,3.222,23.905,-2.858
maize,MX13,20010101,6.521,15.437,0.299,13133244.0,10.18,2.153,8.394,-1.854
maize,MX14,20010101,8.815,20.774,0.005,16330120.0,14.709,2.561,14.331,-2.556
maize,MX15,20010101,5.224,15.663,0.655,14194621.0,10.31,2.201,9.43,-1.546
maize,MX16,20010101,8.766,20.318,0.14,15418780.0,14.509,2.47,13.733,-2.33
maize,MX17,20010101,14.734,24.347,0.61,16260078.0,19.577,3.15,19.613,-2.54
maize,MX18,20010101,13.431,24.674,0.0,15141265.0,18.53,2.605,16.543,-2.605
maize,MX19,20010101,6.539,14.458,0.539,8484617.0,9.583,1.846,7.421,-1.307
maize,MX20,20010101,15.563,23.527,1.404,14600093.0,18.975,2.997,13.74,-1.593
maize,MX21,20010101,9.009,18.412,1.969,15215638.0,13.607,2.654,12.217,-0.685
maize,MX22,20010101,6.826,16.932,0.248,12917399.0,11.49,2.261,9.667,-2.013
maize,MX23,20010101,19.989,25.448,0.641,9800159.0,22.344,2.887,13.558,-2.246
maize,MX24,20010101,8.599,17.01,0.618,11409900.0,12.216,1.97,8.019,-1.352
maize,MX25,20010101,12.979,26.663,0.026,13676965.0,19.171,3.022,23.013,-2.996
maize,MX26,20010101,11.877,24.163,0.02,13603689.0,16.875,2.635,21.662,-2.615
maize,MX27,20010101,18.59,24.835,0.475,11066959.0,21.803,2.497,11.11,-2.022
maize,MX28,20010101,11.103,16.72,0.402,7503746.5,13.144,2.075,7.301,-1.673
maize,MX29,20010101,5.6,15.247,2.117,14661322.0,10.016,2.301,8.843,-0.184
maize,MX30,20010101,15.809,21.752,1.865,10442458.0,18.4,2.058,8.986,-0.193
maize,MX31,20010101,17.879,27.236,0.0,14931452.0,21.619,3.894,21.174,-3.894
maize,MX32,20010101,5.93,18.085,0.0,16262448.0,11.857,2.504,12.773,-2.504
maize,MX01,20010102,6.362,20.292,0.038,17257718.0,12.095,2.889,14.481,-2.851
maize,MX02,20010102,8.759,22.308,0.0,12931524.0,16.021,3.434,21.984,-3.434
maize,MX03,20010102,14.716,25.609,0.01,7964140.5,20.171,2.922,22.429,-2.912
maize,MX04,20010102,20.156,27.849,0.511,6863765.0,23.148,2.869,21.991,-2.358
maize,MX05,20010102,3.398,10.477,0.489,9445302.0,5.993,1.667,5.936,-1.178
maize,MX06,20010102,16.986,30.507,0.007,16376681.0,22.307,3.52,27.411,-3.513
maize,MX07,20010102,18.021,26.389,0.823,14737437.0,21.335,3.429,17.996,-2.606
maize,MX08,20010102,0.24,12.756,0.057,13595847.0,5.804,2.09,10.036,-2.033
maize,MX09,20010102,7.685,19.283,0.286,14412996.0,12.86,2.692,13.41,-2.406
maize,MX10,20010102,4.547,17.393,0.843,13295307.0,10.807,2.223,12.555,-1.38
maize,MX11,20010102,7.746,21.713,0.048,14850746.0,13.698,2.946,16.124,-2.898
maize,MX12,20010102,16.95,30.152,0.04,17307274.0,23.284,3.569,30.98,-3.529
maize,MX13,20010102,6.207,14.145,0.477,11370998.0,9.541,1.972,7.006,-1.495
maize,MX14,20010102,9.153,23.175,0.012,16339715.0,15.572,2.898,18.232,-2.886
maize,MX15,20010102,5.688,17.518,0.341,14174408.0,11.001,2.46,11.583,-2.119
maize,MX16,20010102,9.042,22.779,0.109,14430036.0,15.351,2.711,17.476,-2.602
maize,MX17,20010102,14.255,26.699,0.006,17432506.0,20.306,3.603,25.155,-3.597
maize,MX18,20010102,14.316,27.42,0.0,16409614.0,19.702,2.924,21.392,-2.924
maize,MX19,20010102,4.218,9.933,2.193,4369070.0,6.186,1.287,4.338,0.906
maize,MX20,20010102,16.116,22.702,2.033,12128475.0,18.817,2.759,11.884,-0.726
maize,MX21,20010102,9.014,20.177,0.174,15442814.0,14.014,3.288,15.679,-3.114
maize,MX22,20010102,7.223,16.314,0.128,12946647.0,10.78,2.419,8.998,-2.291
maize,MX23,20010102,20.243,24.905,0.663,5596051.5,22.25,2.154,12.041,-1.491
maize,MX24,20010102,8.317,13.695,3.792,7153097.5,10.478,1.538,4.787,2.254
maize,MX25,20010102,13.72,26.937,0.0,11731439.0,20.084,3.212,23.738,-3.212
maize,MX26,20010102,10.062,25.329,0.0,12764044.0,17.355,3.098,24.127,-3.098
maize,MX27,20010102,21.109,23.64,1.985,4730816.0,22.04,1.502,6.971,0.483
maize,MX28,20010102,7.067,12.769,3.488,3325242.75,9.55,1.773,5.25,1.715
maize,MX29,20010102,5.635,15.86,0.227,13702671.0,9.85,2.516,9.938,-2.289
maize,MX30,20010102,15.908,20.471,2.669,7411592.5,18.006,1.728,7.09,0.941
maize,MX31,20010102,17.675,27.277,0.081,13920846.0,22.082,3.384,20.477,-3.303
maize,MX32,20010102,7.302,20.116,0.021,16746331.0,12.915,2.716,15.215,-2.695
maize,MX01,20010103,7.349,16.983,0.335,13267962.0,11.441,2.368,9.793,-2.033
maize,MX02,20010103,11.434,22.904,0.0,13027873.0,16.914,3.772,23.429,-3.772
maize,MX03,20010103,17.207,27.029,0.0,12023475.0,21.507,3.391,24.742,-3.391
maize,MX04,20010103,18.557,29.536,0.019,12960823.0,22.992,3.82,25.688,-3.801
maize,MX05,20010103,3.345,10.846,0.809,9608604.0,6.585,1.358,5.809,-0.549
maize,MX06,20010103,17.726,29.981,0.001,15463592.0,23.005,3.459,27.174,-3.458
maize,MX07,20010103,16.659,25.653,0.481,15290129.0,20.063,3.602,18.516,-3.121
maize,MX08,20010103,1.54,10.256,0.527,12140661.0,4.946,1.716,6.941,-1.189
