crop_name,adm_id,awc,bulk_density,drainage_class
maize,MX01,13.644,1.583,4
maize,MX02,14.024,1.493,4
maize,MX03,11.358,1.473,5
maize,MX04,14.258,1.413,6
maize,MX05,12.134,1.45,5
maize,MX06,13.658,1.435,5
maize,MX07,13.185,1.464,5
maize,MX08,12.3,1.457,5
maize,MX09,14.612,1.478,5
maize,MX10,14.562,1.551,4
maize,MX11,14.064,1.574,4
maize,MX12,13.381,1.455,6
maize,MX13,14.796,1.464,5
maize,MX14,14.163,1.49,5
maize,MX15,15.248,1.372,5
maize,MX16,14.622,1.507,4
maize,MX17,13.863,1.454,5
maize,MX18,13.732,1.443,6
maize,MX19,12.117,1.486,5
maize,MX20,13.078,1.416,5
maize,MX21,14.354,1.463,5
maize,MX22,14.798,1.473,5
maize,MX23,13.957,1.382,6
maize,MX24,12.983,1.469,5
maize,MX25,14.331,1.562,4
maize,MX26,13.998,1.527,4
maize,MX27,13.379,1.407,6
maize,MX28,14.207,1.556,4
maize,MX29,14.565,1.42,5
maize,MX30,13.799,1.425,5
maize,MX31,14.116,1.364,6
maize,MX32,13.261,1.5,5
