crop_name,adm_id,date,ssm,rsm
maize,MX01,20030201,3.205,175.712
maize,MX02,20030201,3.955,208.251
maize,MX03,20030201,2.981,160.128
maize,MX04,20030201,4.972,264.294
maize,MX05,20030201,3.382,220.778
maize,MX06,20030201,4.59,230.91
maize,MX07,20030201,5.04,254.618
maize,MX08,20030201,3.177,171.73
maize,MX09,20030201,4.664,228.625
maize,MX10,20030201,3.293,167.069
maize,MX11,20030201,3.501,180.574
maize,MX12,20030201,5.114,256.899
maize,MX13,20030201,4.399,224.681
maize,MX14,20030201,3.252,170.438
maize,MX15,20030201,4.197,208.409
maize,MX16,20030201,3.505,178.69
maize,MX17,20030201,4.285,213.282
maize,MX18,20030201,3.792,188.105
maize,MX19,20030201,3.966,203.003
maize,MX20,20030201,6.033,297.649
maize,MX21,20030201,4.124,206.792
maize,MX22,20030201,4.072,239.339
maize,MX23,20030201,5.694,291.807
maize,MX24,20030201,4.302,221.689
maize,MX25,20030201,3.499,194.349
maize,MX26,20030201,3.599,201.362
maize,MX27,20030201,6.093,295.278
maize,MX28,20030201,4.414,227.732
maize,MX29,20030201,4.136,207.571
maize,MX30,20030201,6.696,329.874
maize,MX31,20030201,5.016,256.12
maize,MX32,20030201,3.231,167.749
maize,MX01,20030202,3.223,175.419
maize,MX02,20030202,3.83,207.072
maize,MX03,20030202,2.936,159.571
maize,MX04,20030202,4.977,263.872
maize,MX05,20030202,3.356,220.505
maize,MX06,20030202,4.683,231.167
maize,MX07,20030202,5.031,254.919
maize,MX08,20030202,3.154,171.072
maize,MX09,20030202,4.665,228.075
maize,MX10,20030202,3.226,167.477
maize,MX11,20030202,3.517,180.364
maize,MX12,20030202,5.134,256.304
maize,MX13,20030202,4.418,224.509
maize,MX14,20030202,3.359,170.328
maize,MX15,20030202,4.218,208.122
maize,MX16,20030202,3.554,178.619
maize,MX17,20030202,4.292,212.484
maize,MX18,20030202,3.895,188.169
maize,MX19,20030202,3.944,202.55
maize,MX20,20030202,6.002,296.384
maize,MX21,20030202,4.143,206.407
maize,MX22,20030202,4.102,239.265
maize,MX23,20030202,5.672,291.012
maize,MX24,20030202,4.297,221.263
maize,MX25,20030202,3.45,193.907
maize,MX26,20030202,3.495,200.686
maize,MX27,20030202,6.086,295.718
maize,MX28,20030202,4.394,227.4
maize,MX29,20030202,4.17,207.292
maize,MX30,20030202,6.65,328.795
maize,MX31,20030202,5.026,255.449
maize,MX32,20030202,3.224,167.504
maize,MX01,20030203,3.373,175.811
maize,MX02,20030203,3.745,206.084
maize,MX03,20030203,2.881,159.111
maize,MX04,20030203,4.944,263.382
maize,MX05,20030203,3.363,220.453
maize,MX06,20030203,4.659,232.648
maize,MX07,20030203,4.999,254.414
maize,MX08,20030203,3.153,170.618
maize,MX09,20030203,4.664,227.632
maize,MX10,20030203,3.247,167.924
maize,MX11,20030203,3.543,180.313
maize,MX12,20030203,5.158,256.184
maize,MX13,20030203,4.396,224.197
maize,MX14,20030203,3.487,171.048
maize,MX15,20030203,4.22,207.888
maize,MX16,20030203,3.586,178.733
maize,MX17,20030203,4.29,211.965
maize,MX18,20030203,3.879,188.832
maize,MX19,20030203,3.992,202.523
maize,MX20,20030203,5.978,295.176
maize,MX21,20030203,4.113,205.969
maize,MX22,20030203,4.079,239.063
maize,MX23,20030203,5.646,290.351
maize,MX24,20030203,4.369,221.245
maize,MX25,20030203,3.386,193.494
maize,MX26,20030203,3.435,200.211
maize,MX27,20030203,6.037,294.534
maize,MX28,20030203,4.391,227.131
maize,MX29,20030203,4.149,206.934
maize,MX30,20030203,6.597,327.4
maize,MX31,20030203,4.99,254.723
