crop_name,country_code,adm_id,planted_area,harvest_area,harvest_year,yield,production
White maize,MX,MX01,74292.287,67277.371,2014,4.083,0.275
White maize,MX,MX03,5351.27,5147.87,2014,6.832,0.035
White maize,MX,MX04,167105.617,148953.003,2014,2.745,0.409
White maize,MX,MX05,49616.525,37750.321,2014,1.88,0.071
White maize,MX,MX06,16981.537,16320.718,2014,3.436,0.056
White maize,MX,MX07,572650.958,543991.815,2014,2.142,1.165
White maize,MX,MX08,151801.745,141981.005,2014,3.439,0.488
White maize,MX,MX09,4630.825,4460.836,2014,1.957,0.009
White maize,MX,MX10,147282.294,142243.87,2014,3.567,0.507
White maize,MX,MX11,425211.135,396283.325,2014,4.792,1.899
White maize,MX,MX12,488177.28,421220.454,2014,1.858,0.783
White maize,MX,MX13,199301.767,184382.421,2014,3.153,0.581
White maize,MX,MX14,473243.882,460940.311,2014,7.296,3.363
White maize,MX,MX15,349893.104,326484.642,2014,2.218,0.724
White maize,MX,MX16,434911.394,401361.114,2014,4.485,1.8
White maize,MX,MX17,33585.983,32090.852,2014,3.29,0.106
White maize,MX,MX18,58151.391,57045.402,2014,4.695,0.268
White maize,MX,MX19,86014.574,57667.532,2014,1.481,0.085
White maize,MX,MX20,469974.442,426725.653,2014,1.334,0.569
White maize,MX,MX21,457527.967,429025.07,2014,1.785,0.766
White maize,MX,MX22,105811.309,99328.988,2014,4.021,0.399
White maize,MX,MX23,80237.081,56537.348,2014,,
White maize,MX,MX24,275278.44,194233.22,2014,1.357,0.264
White maize,MX,MX25,436876.083,429593.005,2014,9.208,3.956
White maize,MX,MX26,11361.874,11151.799,2014,4.475,0.05
White maize,MX,MX27,74733.257,61991.833,2014,1.52,0.094
White maize,MX,MX28,91333.238,80863.297,2014,3.513,0.284
White maize,MX,MX29,115148.667,108364.581,2014,1.933,0.209
White maize,MX,MX30,469158.184,451618.273,2014,2.289,1.034
White maize,MX,MX31,95295.792,76197.918,2014,1.095,0.083
White maize,MX,MX32,293740.821,242019.247,2014,2.686,0.65
White maize,MX,MX01,73393.422,67484.246,2017,2.986,0.202
White maize,MX,MX03,4644.997,4582.997,2017,7.387,0.034
White maize,MX,MX05,68820.575,37634.297,2017,,
White maize,MX,MX06,16200.29,16034.177,2017,3.417,0.055
White maize,MX,MX07,519026.048,512396.603,2017,3.166,1.622
Yellow maize,MX,MX08,250020.277,247424.593,2017,9.456,2.34
White maize,MX,MX09,5238.283,4448.173,2017,2.48,0.011
White maize,MX,MX10,139503.011,137311.603,2017,3.669,0.504
White maize,MX,MX11,467291.711,438044.268,2017,5.299,2.321
White maize,MX,MX12,423698.821,384094.492,2017,2.31,0.887
White maize,MX,MX13,212000.419,194298.213,2017,2.801,0.544
Yellow maize,MX,MX14,71173.885,70219.08,2017,8.324,0.585
White maize,MX,MX14,461195.917,455406.09,2017,8.015,3.65
White maize,MX,MX15,361534.178,344015.311,2017,2.391,0.823
White maize,MX,MX16,442161.211,430340.933,2017,4.554,1.96
White maize,MX,MX17,28105.38,27163.845,2017,4.697,0.128
White maize,MX,MX18,56267.033,51075.555,2017,5.783,0.295
White maize,MX,MX19,106170.444,57251.425,2017,,
White maize,MX,MX20,553707.231,392470.663,2017,1.397,0.548
White maize,MX,MX21,430071.257,384977.154,2017,2.139,0.824
White maize,MX,MX22,100871.685,92887.04,2017,6.893,0.64
White maize,MX,MX23,80014.095,75596.122,2017,1.014,0.077
White maize,MX,MX24,273710.213,198012.336,2017,1.006,0.199
White maize,MX,MX25,497521.956,485456.469,2017,9.544,4.633
