crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
maize,PT11,20010101,9.301,13.503,48.709,5566059.5,11.674,1.365,3.763,47.344
maize,PT15,20010101,13.144,15.91,5.251,2561332.75,14.69,1.357,3.845,3.894
maize,PT16,20010101,9.612,14.218,32.794,5613336.0,12.19,1.406,3.953,31.388
maize,PT17,20010101,10.979,15.694,9.566,5286618.5,13.683,1.525,4.47,8.041
maize,PT18,20010101,10.359,14.992,11.163,4001171.75,13.027,1.252,3.945,9.911
maize,PT20,20010101,12.79,15.182,0.938,8686467.0,14.092,2.156,6.055,-1.218
maize,PT30,20010101,12.012,16.185,2.96,10242331.0,14.002,1.632,5.47,1.328
maize,PT11,20010102,8.618,11.58,10.426,4540352.0,10.066,1.118,3.698,9.308
maize,PT15,20010102,11.623,15.882,2.148,8557612.0,13.398,1.65,6.21,0.498
maize,PT16,20010102,8.242,12.514,6.645,5240657.5,10.349,1.139,4.263,5.506
maize,PT17,20010102,9.484,14.805,1.006,6632658.5,11.832,1.352,5.984,-0.346
maize,PT18,20010102,8.825,14.283,2.324,6405475.0,11.199,1.222,5.44,1.102
maize,PT20,20010102,13.601,16.273,5.78,4319127.5,15.259,0.827,2.93,4.953
maize,PT30,20010102,11.106,14.477,0.05,7304312.0,12.732,1.295,5.93,-1.245
maize,PT11,20010103,9.136,13.941,48.467,854824.438,12.154,0.515,2.996,47.952
maize,PT15,20010103,11.791,15.572,4.258,6956309.5,14.327,1.289,4.587,2.969
maize,PT16,20010103,8.459,14.645,27.182,1323978.0,12.194,0.481,3.802,26.701
maize,PT17,20010103,9.691,15.742,10.085,3714090.75,13.553,0.535,3.987,9.55
maize,PT18,20010103,8.505,15.046,9.947,3848832.5,12.588,0.605,4.122,9.342
maize,PT20,20010103,14.017,16.091,0.681,6683536.0,15.092,1.077,2.963,-0.396
maize,PT30,20010103,10.828,16.142,0.06,7820109.5,13.715,1.285,5.928,-1.225
maize,PT11,20010104,10.051,14.138,5.141,5331046.5,12.777,1.01,3.765,4.131
maize,PT15,20010104,13.442,16.656,2.779,7279611.5,15.496,0.91,2.918,1.869
maize,PT16,20010104,10.057,15.262,2.565,6509797.5,13.208,1.023,4.457,1.542
maize,PT17,20010104,11.642,16.453,0.258,7794167.0,14.546,0.83,3.776,-0.572
maize,PT18,20010104,11.053,16.432,0.674,7502081.0,14.194,0.925,4.292,-0.251
maize,PT20,20010104,12.668,17.228,6.086,4111752.0,14.964,1.746,4.964,4.34
maize,PT30,20010104,12.949,17.305,0.075,9832080.0,14.898,1.301,5.093,-1.226
maize,PT11,20010105,7.841,15.133,51.697,480249.812,11.825,1.323,4.285,50.374
maize,PT15,20010105,12.614,16.539,11.632,3424327.25,15.166,1.114,2.832,10.518
maize,PT16,20010105,8.232,15.838,43.926,506103.688,12.473,1.252,4.695,42.674
maize,PT17,20010105,9.759,16.655,21.885,1370499.375,13.611,1.319,4.385,20.566
maize,PT18,20010105,9.667,16.398,23.855,1210830.5,13.664,1.079,4.024,22.776
maize,PT20,20010105,11.049,13.608,1.612,8455481.0,12.43,1.721,5.155,-0.109
maize,PT30,20010105,10.675,16.687,5.86,5498659.0,13.714,1.397,5.181,4.463
maize,PT11,20010106,5.495,9.363,2.801,6251439.5,7.435,0.714,2.839,2.087
maize,PT15,20010106,9.155,13.579,6.461,7833688.0,11.188,1.563,5.012,4.898
maize,PT16,20010106,4.906,10.724,2.453,6628657.5,7.897,0.893,3.735,1.56
maize,PT17,20010106,6.035,12.835,0.815,7744637.5,9.31,1.212,5.046,-0.397
maize,PT18,20010106,5.452,12.61,2.607,7553830.5,8.918,1.183,5.028,1.424
maize,PT20,20010106,11.43,13.969,10.281,5170910.5,12.843,1.62,5.464,8.661
maize,PT30,20010106,10.301,12.863,0.43,10180205.0,11.285,1.486,4.854,-1.056
maize,PT11,20010107,4.356,10.285,1.036,6414000.0,6.979,0.69,4.272,0.346
maize,PT15,20010107,8.059,12.949,0.054,10428257.0,10.023,1.511,6.069,-1.457
maize,PT16,20010107,4.054,10.829,0.288,7457183.0,6.711,0.807,4.912,-0.519
maize,PT17,20010107,5.156,12.847,0.006,9607596.0,8.055,1.115,6.148,-1.109
maize,PT18,20010107,4.624,12.2,0.008,9570825.0,7.384,1.042,5.883,-1.034
