crop_name,adm_id,date,ndvi
maize,PT11,20010101,0.652
maize,PT15,20010101,0.626
maize,PT16,20010101,0.585
maize,PT17,20010101,0.526
maize,PT18,20010101,0.514
maize,PT30,20010101,0.81
maize,PT11,20010109,0.635
maize,PT15,20010109,0.594
maize,PT16,20010109,0.603
maize,PT17,20010109,0.551
maize,PT18,20010109,0.51
maize,PT30,20010109,0.724
maize,PT11,20010117,0.564
maize,PT15,20010117,0.616
maize,PT16,20010117,0.576
maize,PT17,20010117,0.53
maize,PT18,20010117,0.527
maize,PT20,20010117,0.81
maize,PT30,20010117,0.685
maize,PT11,20010125,0.652
maize,PT15,20010125,0.627
maize,PT16,20010125,0.588
maize,PT17,20010125,0.549
maize,PT18,20010125,0.526
maize,PT20,20010125,0.779
maize,PT30,20010125,0.689
maize,PT11,20010202,0.641
maize,PT15,20010202,0.612
maize,PT16,20010202,0.582
maize,PT17,20010202,0.603
maize,PT18,20010202,0.559
maize,PT30,20010202,0.776
maize,PT11,20010210,0.636
maize,PT15,20010210,0.62
maize,PT16,20010210,0.577
maize,PT17,20010210,0.536
maize,PT18,20010210,0.53
maize,PT30,20010210,0.711
maize,PT11,20010218,0.612
maize,PT15,20010218,0.583
maize,PT16,20010218,0.552
maize,PT17,20010218,0.487
maize,PT18,20010218,0.485
maize,PT30,20010218,0.779
maize,PT11,20010226,0.59
maize,PT15,20010226,0.592
maize,PT16,20010226,0.552
maize,PT17,20010226,0.517
maize,PT18,20010226,0.536
maize,PT11,20010306,0.663
maize,PT15,20010306,0.633
maize,PT16,20010306,0.553
maize,PT17,20010306,0.48
maize,PT18,20010306,0.578
maize,PT20,20010306,0.778
maize,PT30,20010306,0.684
maize,PT11,20010314,0.614
maize,PT15,20010314,0.627
maize,PT16,20010314,0.566
maize,PT17,20010314,0.525
maize,PT18,20010314,0.542
maize,PT30,20010314,0.713
maize,PT11,20010322,0.708
maize,PT15,20010322,0.586
maize,PT16,20010322,0.566
maize,PT17,20010322,0.54
maize,PT18,20010322,0.581
maize,PT20,20010322,0.775
maize,PT30,20010322,0.787
maize,PT11,20010330,0.637
maize,PT15,20010330,0.59
maize,PT16,20010330,0.572
maize,PT17,20010330,0.512
maize,PT18,20010330,0.538
maize,PT30,20010330,0.475
maize,PT11,20010407,0.624
maize,PT15,20010407,0.577
maize,PT16,20010407,0.556
maize,PT17,20010407,0.499
maize,PT18,20010407,0.526
maize,PT20,20010407,0.76
maize,PT30,20010407,0.746
maize,PT11,20010415,0.61
maize,PT15,20010415,0.556
