crop_name,adm_id,date,ssm,rsm
maize,PT11,20030201,7.029,349.966
maize,PT15,20030201,6.635,330.5
maize,PT16,20030201,5.355,259.462
maize,PT17,20030201,5.036,258.156
maize,PT18,20030201,5.902,295.878
maize,PT11,20030202,7.029,348.64
maize,PT15,20030202,6.601,328.271
maize,PT16,20030202,5.363,256.9
maize,PT17,20030202,4.975,252.753
maize,PT18,20030202,5.854,291.966
maize,PT11,20030203,7.039,348.05
maize,PT15,20030203,6.587,326.882
maize,PT16,20030203,5.366,255.49
maize,PT17,20030203,4.91,248.378
maize,PT18,20030203,5.811,289.078
maize,PT11,20030204,7.103,349.625
maize,PT15,20030204,6.558,325.751
maize,PT16,20030204,5.493,255.717
maize,PT17,20030204,4.863,244.802
maize,PT18,20030204,5.794,287.017
maize,PT11,20030205,7.003,348.043
maize,PT15,20030205,6.524,324.495
maize,PT16,20030205,5.297,254.738
maize,PT17,20030205,4.781,241.689
maize,PT18,20030205,5.739,285.294
maize,PT11,20030206,6.995,346.448
maize,PT15,20030206,6.524,323.453
maize,PT16,20030206,5.317,253.54
maize,PT17,20030206,4.768,238.994
maize,PT18,20030206,5.727,283.723
maize,PT11,20030207,7.059,347.283
maize,PT15,20030207,6.57,323.547
maize,PT16,20030207,5.593,255.352
maize,PT17,20030207,5.006,238.467
maize,PT18,20030207,5.87,283.927
maize,PT11,20030208,6.984,346.168
maize,PT15,20030208,6.53,323.718
maize,PT16,20030208,5.326,254.971
maize,PT17,20030208,4.746,237.579
maize,PT18,20030208,5.722,283.543
maize,PT11,20030209,6.969,344.791
maize,PT15,20030209,6.513,322.953
maize,PT16,20030209,5.32,253.821
maize,PT17,20030209,4.718,235.674
maize,PT18,20030209,5.706,282.339
maize,PT11,20030210,6.974,343.962
maize,PT15,20030210,6.499,322.317
maize,PT16,20030210,5.332,253.239
maize,PT17,20030210,4.693,234.137
maize,PT18,20030210,5.691,281.438
maize,PT11,20030211,6.989,343.887
maize,PT15,20030211,6.497,321.767
maize,PT16,20030211,5.396,253.169
maize,PT17,20030211,4.728,233.091
maize,PT18,20030211,5.721,280.913
maize,PT11,20030212,6.952,343.449
maize,PT15,20030212,6.5,321.558
maize,PT16,20030212,5.335,253.438
maize,PT17,20030212,4.69,232.479
maize,PT18,20030212,5.702,280.843
maize,PT11,20030213,6.931,342.062
maize,PT15,20030213,6.479,321.255
maize,PT16,20030213,5.285,252.65
maize,PT17,20030213,4.641,231.502
maize,PT18,20030213,5.662,280.269
maize,PT11,20030214,6.899,340.088
maize,PT15,20030214,6.464,320.578
maize,PT16,20030214,5.237,251.584
maize,PT17,20030214,4.628,230.534
maize,PT18,20030214,5.648,279.511
maize,PT11,20030215,6.873,337.808
maize,PT15,20030215,6.414,319.569
maize,PT16,20030215,5.233,250.633
maize,PT17,20030215,4.575,229.519
maize,PT18,20030215,5.618,278.739
maize,PT11,20030216,6.856,336.142
maize,PT15,20030216,6.402,318.347
maize,PT16,20030216,5.232,249.953
maize,PT17,20030216,4.572,228.534
maize,PT18,20030216,5.612,277.997
maize,PT11,20030217,6.841,334.994
maize,PT15,20030217,6.4,317.646
maize,PT16,20030217,5.243,249.602
maize,PT17,20030217,4.585,227.845
maize,PT18,20030217,5.617,277.484
maize,PT11,20030218,7.152,337.585
maize,PT15,20030218,6.706,319.129
maize,PT16,20030218,6.005,253.797
maize,PT17,20030218,5.366,230.527
maize,PT18,20030218,6.195,280.556
maize,PT11,20030219,7.082,344.552
maize,PT15,20030219,7.078,331.537
maize,PT16,20030219,5.952,264.735
maize,PT17,20030219,5.455,243.15
maize,PT18,20030219,6.321,294.373
maize,PT11,20030220,7.03,346.407
maize,PT15,20030220,6.644,330.642
maize,PT16,20030220,5.753,267.522
maize,PT17,20030220,5.02,244.619
maize,PT18,20030220,6.043,295.352
maize,PT11,20030221,6.966,343.693
maize,PT15,20030221,6.95,329.734
maize,PT16,20030221,5.526,263.679
