crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
maize,ZA-A1-0001,20010101,12.965,19.554,1.776,25882710.0,15.219,5.133,13.083,-3.357
maize,ZA-A1-0002,20010101,9.436,16.255,20.86,12124813.0,11.247,2.772,7.306,18.088
maize,ZA-A1-0003,20010101,14.152,22.164,1.872,27872930.0,17.126,7.023,18.045,-5.151
maize,ZA-A1-0004,20010101,11.179,22.42,9.019,25546902.0,15.601,6.181,16.814,2.838
maize,ZA-A1-0005,20010101,10.124,22.408,22.249,17264650.0,15.185,4.484,13.873,17.765
maize,ZA-A1-0006,20010101,12.827,24.881,2.3,28518508.0,17.317,7.169,20.806,-4.869
maize,ZA-A1-0007,20010101,10.923,24.253,18.868,23038396.0,16.25,5.655,17.37,13.213
maize,ZA-A1-0008,20010101,10.206,23.858,19.149,23083438.0,15.96,5.126,15.281,14.023
maize,ZA-A1-0009,20010101,18.467,30.21,6.458,24763782.0,22.774,6.466,26.197,-0.008
maize,ZA-A1-0001,20010102,13.05,24.645,0.0,32742966.0,18.052,6.419,20.455,-6.419
maize,ZA-A1-0002,20010102,8.925,16.187,8.429,18640554.0,11.028,3.454,8.544,4.975
maize,ZA-A1-0003,20010102,11.956,25.816,0.0,32134358.0,18.289,7.161,25.127,-7.161
maize,ZA-A1-0004,20010102,9.891,22.472,0.508,24533076.0,14.72,5.254,18.45,-4.746
maize,ZA-A1-0005,20010102,9.688,16.84,14.718,17261940.0,11.503,3.327,8.269,11.391
maize,ZA-A1-0006,20010102,10.788,23.011,0.014,24853930.0,15.524,5.521,18.688,-5.507
maize,ZA-A1-0007,20010102,8.849,19.823,0.298,18480434.0,13.275,4.106,12.883,-3.808
maize,ZA-A1-0008,20010102,8.798,18.451,0.917,17827550.0,12.151,3.789,10.942,-2.872
maize,ZA-A1-0009,20010102,14.707,26.988,0.417,29896052.0,19.398,6.659,23.842,-6.242
maize,ZA-A1-0001,20010103,14.763,27.438,0.0,32766664.0,20.19,6.675,23.421,-6.675
maize,ZA-A1-0002,20010103,8.899,20.674,0.082,30933502.0,13.994,5.123,13.596,-5.041
maize,ZA-A1-0003,20010103,13.666,27.983,0.0,33814880.0,20.304,7.084,30.407,-7.084
maize,ZA-A1-0004,20010103,10.143,23.768,0.008,30174796.0,16.062,5.633,19.753,-5.625
maize,ZA-A1-0005,20010103,8.934,19.912,0.166,29538712.0,13.247,4.882,12.326,-4.716
maize,ZA-A1-0006,20010103,11.156,25.621,0.0,32169422.0,17.733,6.105,22.868,-6.105
maize,ZA-A1-0007,20010103,8.656,22.569,0.005,27297076.0,14.627,5.032,16.874,-5.027
maize,ZA-A1-0008,20010103,7.638,21.248,0.002,28650030.0,13.436,4.994,15.122,-4.992
maize,ZA-A1-0009,20010103,14.77,26.633,0.252,23273344.0,19.526,5.191,21.979,-4.939
maize,ZA-A1-0001,20010104,15.754,28.972,0.0,32851916.0,21.078,6.99,25.793,-6.99
maize,ZA-A1-0002,20010104,10.846,23.722,0.025,32899748.0,16.126,5.85,17.481,-5.825
