crop_name,country_code,adm_id,harvest_year,yield,harvest_area,production
maize,ZA,ZA-A1-0001,1987,1.0,1000.0,1000.0
maize,ZA,ZA-A1-0001,1988,2.0,1000.0,2000.0
maize,ZA,ZA-A1-0001,1989,2.0,1000.0,2000.0
maize,ZA,ZA-A1-0001,1990,2.0,1000.0,2000.0
maize,ZA,ZA-A1-0001,1991,2.0,1000.0,2000.0
maize,ZA,ZA-A1-0001,1993,2.0,1000.0,2000.0
maize,ZA,ZA-A1-0001,1994,1.881,1063.0,2000.0
maize,ZA,ZA-A1-0001,1995,1.0,1000.0,1000.0
maize,ZA,ZA-A1-0001,1996,9.0,1000.0,9000.0
maize,ZA,ZA-A1-0001,1997,7.9,1000.0,7900.0
maize,ZA,ZA-A1-0001,2001,8.0,105.0,840.0
maize,ZA,ZA-A1-0001,2002,6.0,80.0,480.0
maize,ZA,ZA-A1-0001,2003,6.0,50.0,300.0
maize,ZA,ZA-A1-0001,2004,6.0,100.0,600.0
maize,ZA,ZA-A1-0001,2007,10.0,30.0,300.0
maize,ZA,ZA-A1-0001,2008,10.0,1000.0,10000.0
maize,ZA,ZA-A1-0001,2009,10.0,1500.0,15000.0
maize,ZA,ZA-A1-0001,2010,7.0,500.0,3500.0
maize,ZA,ZA-A1-0001,2011,6.667,300.0,2000.0
maize,ZA,ZA-A1-0001,2012,10.0,500.0,5000.0
maize,ZA,ZA-A1-0001,2013,10.0,300.0,3000.0
maize,ZA,ZA-A1-0001,2014,9.0,500.0,4500.0
maize,ZA,ZA-A1-0001,2015,9.0,450.0,4050.0
maize,ZA,ZA-A1-0001,2016,10.0,500.0,5000.0
maize,ZA,ZA-A1-0001,2017,10.0,200.0,2000.0
maize,ZA,ZA-A1-0001,2019,9.0,400.0,3600.0
maize,ZA,ZA-A1-0001,2020,9.0,400.0,3600.0
maize,ZA,ZA-A1-0001,2021,9.0,500.0,4500.0
maize,ZA,ZA-A1-0001,2022,9.5,500.0,4750.0
maize,ZA,ZA-A1-0002,1987,2.0,6000.0,12000.0
maize,ZA,ZA-A1-0002,1988,1.692,13000.0,22000.0
maize,ZA,ZA-A1-0002,1989,1.8,15000.0,27000.0
maize,ZA,ZA-A1-0002,1990,1.818,22000.0,40000.0
maize,ZA,ZA-A1-0002,1991,1.864,22000.0,41000.0
maize,ZA,ZA-A1-0002,1992,0.167,12000.0,2000.0
maize,ZA,ZA-A1-0002,1993,2.167,12000.0,26000.0
maize,ZA,ZA-A1-0002,1994,2.422,12386.0,30000.0
maize,ZA,ZA-A1-0002,1995,4.167,14400.0,60000.0
maize,ZA,ZA-A1-0002,1996,3.0,16000.0,48000.0
maize,ZA,ZA-A1-0002,1997,2.633,6000.0,15800.0
maize,ZA,ZA-A1-0002,1998,2.8,5000.0,14000.0
maize,ZA,ZA-A1-0002,1999,2.5,4000.0,10000.0
maize,ZA,ZA-A1-0002,2000,3.2,6000.0,19200.0
maize,ZA,ZA-A1-0002,2001,4.0,4900.0,19600.0
maize,ZA,ZA-A1-0002,2002,4.4,2500.0,11000.0
maize,ZA,ZA-A1-0002,2003,4.2,3500.0,14700.0
maize,ZA,ZA-A1-0002,2004,4.0,5000.0,20000.0
maize,ZA,ZA-A1-0002,2005,4.75,4000.0,19000.0
maize,ZA,ZA-A1-0002,2006,5.133,3000.0,15400.0
maize,ZA,ZA-A1-0002,2007,5.0,3000.0,15000.0
maize,ZA,ZA-A1-0002,2008,5.0,3000.0,15000.0
maize,ZA,ZA-A1-0002,2009,5.3,3000.0,15900.0
maize,ZA,ZA-A1-0002,2010,4.531,3200.0,14500.0
maize,ZA,ZA-A1-0002,2011,3.5,3000.0,10500.0
maize,ZA,ZA-A1-0002,2012,5.073,3500.0,17756.0
maize,ZA,ZA-A1-0002,2013,5.0,3700.0,18500.0
maize,ZA,ZA-A1-0002,2014,5.5,2500.0,13750.0
maize,ZA,ZA-A1-0002,2015,6.0,2600.0,15600.0
maize,ZA,ZA-A1-0002,2016,4.6,2000.0,9200.0
maize,ZA,ZA-A1-0002,2017,7.0,4400.0,30800.0
maize,ZA,ZA-A1-0002,2018,6.2,3500.0,21700.0
maize,ZA,ZA-A1-0002,2019,6.0,3800.0,22800.0
maize,ZA,ZA-A1-0002,2020,6.5,5500.0,35750.0
maize,ZA,ZA-A1-0002,2021,6.5,6000.0,39000.0
maize,ZA,ZA-A1-0002,2022,6.8,6000.0,40800.0
maize,ZA,ZA-A1-0003,1987,4.75,4000.0,19000.0
maize,ZA,ZA-A1-0003,1988,5.0,2000.0,10000.0
maize,ZA,ZA-A1-0003,1989,5.5,6000.0,33000.0
maize,ZA,ZA-A1-0003,1990,5.333,3000.0,16000.0
maize,ZA,ZA-A1-0003,1991,3.167,6000.0,19000.0
maize,ZA,ZA-A1-0003,1992,5.333,3000.0,16000.0
maize,ZA,ZA-A1-0003,1993,5.5,4000.0,22000.0
maize,ZA,ZA-A1-0003,1994,4.4,5000.0,22000.0
maize,ZA,ZA-A1-0003,1995,7.667,3000.0,23000.0
maize,ZA,ZA-A1-0003,1996,5.3,10000.0,53000.0
maize,ZA,ZA-A1-0003,1997,6.333,3000.0,19000.0
maize,ZA,ZA-A1-0003,1998,7.0,3000.0,21000.0
maize,ZA,ZA-A1-0003,1999,7.568,3700.0,28000.0
maize,ZA,ZA-A1-0003,2000,8.2,4000.0,32800.0
maize,ZA,ZA-A1-0003,2001,8.5,3500.0,29750.0
maize,ZA,ZA-A1-0003,2002,9.25,4000.0,37000.0
maize,ZA,ZA-A1-0003,2003,9.5,11900.0,113050.0
maize,ZA,ZA-A1-0003,2004,10.065,6200.0,62400.0
maize,ZA,ZA-A1-0003,2005,10.167,3000.0,30500.0
maize,ZA,ZA-A1-0003,2006,11.0,1500.0,16500.0
maize,ZA,ZA-A1-0003,2007,11.326,3770.0,42700.0
maize,ZA,ZA-A1-0003,2008,12.0,3000.0,36000.0
maize,ZA,ZA-A1-0003,2009,11.5,2500.0,28750.0
maize,ZA,ZA-A1-0003,2010,11.5,2000.0,23000.0
maize,ZA,ZA-A1-0003,2011,11.5,2000.0,23000.0
maize,ZA,ZA-A1-0003,2012,11.545,2200.0,25400.0
maize,ZA,ZA-A1-0003,2013,11.5,2200.0,25300.0
maize,ZA,ZA-A1-0003,2014,11.5,2200.0,25300.0
maize,ZA,ZA-A1-0003,2015,10.0,3500.0,35000.0
maize,ZA,ZA-A1-0003,2016,9.3,3750.0,34875.0
maize,ZA,ZA-A1-0003,2017,13.2,3500.0,46200.0
maize,ZA,ZA-A1-0003,2019,11.6,3400.0,39440.0
maize,ZA,ZA-A1-0003,2020,11.9,3400.0,40460.0
maize,ZA,ZA-A1-0003,2021,11.85,3400.0,40290.0
maize,ZA,ZA-A1-0003,2022,12.0,3000.0,36000.0
maize,ZA,ZA-A1-0004,1987,1.59,929000.0,1477000.0
maize,ZA,ZA-A1-0004,1988,1.82,791000.0,1440000.0
maize,ZA,ZA-A1-0004,1989,2.906,769000.0,2235000.0
maize,ZA,ZA-A1-0004,1990,2.395,663000.0,1588000.0
maize,ZA,ZA-A1-0004,1991,2.468,474000.0,1170000.0
maize,ZA,ZA-A1-0004,1992,0.781,711000.0,555000.0
maize,ZA,ZA-A1-0004,1993,2.706,727000.0,1967000.0
maize,ZA,ZA-A1-0004,1994,3.07,712000.0,2186000.0
maize,ZA,ZA-A1-0004,1995,1.543,460000.0,710000.0
maize,ZA,ZA-A1-0004,1996,3.268,683000.0,2232000.0
maize,ZA,ZA-A1-0004,1997,2.954,694000.0,2050000.0
maize,ZA,ZA-A1-0004,1998,2.594,665000.0,1725000.0
maize,ZA,ZA-A1-0004,1999,2.617,682000.0,1785000.0
maize,ZA,ZA-A1-0004,2000,3.35,750000.0,2512500.0
maize,ZA,ZA-A1-0004,2001,2.7,610000.0,1647000.0
maize,ZA,ZA-A1-0004,2002,3.0,688000.0,2064000.0
