model,advisor,mean_nrmse,median_nrmse,mean_r2,mean_mape,mean_kge
cnn1d,fixed,22.151,22.151,0.33521999999999996,0.1834,0.63681
cnn1d,qwen_rag,21.97716,21.97716,0.35447999999999996,0.18470999999999999,0.65315
ridge,fixed,20.47455,20.47455,0.42179999999999995,0.17775,0.7339
ridge,qwen_rag,20.2235,20.2235,0.42689999999999995,0.16854999999999998,0.72595
svr,fixed,19.40925,19.40925,0.49229999999999996,0.1519,0.7270000000000001
svr,qwen_rag,19.519000000000002,19.519000000000002,0.49305,0.15109999999999998,0.7285999999999999
transformer_flat,fixed,23.841659999999997,23.841659999999997,0.24600000000000002,0.19966,0.60362
transformer_flat,qwen_rag,23.67152,23.67152,0.26152,0.19865,0.59164
xgboost,fixed,20.00036,20.00036,0.46713000000000005,0.15657,0.7331400000000001
xgboost,qwen_rag,19.1582,19.1582,0.503,0.14975,0.74203
