country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,fixed,ridge,baseline,60,1,42,train,0.106,13.0187,0.829,0.6867,0.7436
CN,fixed,ridge,baseline,60,1,42,test,0.1103,13.3582,0.804,0.4837,0.7491
CN,fixed,ridge,baseline,60,2,1051,train,0.106,13.0187,0.829,0.6867,0.7436
CN,fixed,ridge,baseline,60,2,1051,test,0.1103,13.3582,0.804,0.4837,0.7491
CN,fixed,ridge,baseline,60,3,2060,train,0.106,13.0187,0.829,0.6867,0.7436
CN,fixed,ridge,baseline,60,3,2060,test,0.1103,13.3582,0.804,0.4837,0.7491
CN,fixed,ridge,baseline,60,4,3069,train,0.106,13.0187,0.829,0.6867,0.7436
CN,fixed,ridge,baseline,60,4,3069,test,0.1103,13.3582,0.804,0.4837,0.7491
CN,fixed,ridge,baseline,60,5,4078,train,0.106,13.0187,0.829,0.6867,0.7436
CN,fixed,ridge,baseline,60,5,4078,test,0.1103,13.3582,0.804,0.4837,0.7491
