country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,fixed,transformer_flat,baseline,60,1,42,train,0.1348,16.8461,0.6998,0.4754,0.4898
CN,fixed,transformer_flat,baseline,60,1,42,test,0.1069,13.5351,0.7455,0.47,0.6886
CN,fixed,transformer_flat,baseline,60,2,1051,train,0.1633,18.9581,0.6261,0.3356,0.4749
CN,fixed,transformer_flat,baseline,60,2,1051,test,0.1037,12.7325,0.7698,0.531,0.683
CN,fixed,transformer_flat,baseline,60,3,2060,train,0.1489,17.5354,0.69,0.4315,0.5041
CN,fixed,transformer_flat,baseline,60,3,2060,test,0.103,13.0431,0.7662,0.5078,0.6846
CN,fixed,transformer_flat,baseline,60,4,3069,train,0.1547,17.8888,0.6872,0.4084,0.484
CN,fixed,transformer_flat,baseline,60,4,3069,test,0.0995,12.726,0.7607,0.5314,0.6962
CN,fixed,transformer_flat,baseline,60,5,4078,train,0.1321,16.3051,0.7174,0.5085,0.6082
CN,fixed,transformer_flat,baseline,60,5,4078,test,0.102,13.3574,0.7809,0.4838,0.6025
