country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,train,0.1222,14.5433,0.813,0.609,0.7713
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,test,0.1093,13.1664,0.7548,0.4984,0.6674
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,train,0.1478,16.7891,0.7329,0.4789,0.5231
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,test,0.1046,12.8497,0.7812,0.5223,0.7423
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,train,0.1044,12.7818,0.8417,0.698,0.7794
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,test,0.1045,12.6219,0.7723,0.5391,0.7046
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,train,0.1096,13.3469,0.8281,0.6707,0.6952
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,test,0.1116,13.3112,0.7788,0.4874,0.7383
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,train,0.1464,16.6097,0.7506,0.49,0.6382
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,test,0.0997,11.9858,0.804,0.5844,0.764
