country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,train,0.1366,15.845,0.7484,0.5359,0.6415
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,test,0.1007,12.2239,0.7907,0.5677,0.708
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,train,0.1411,16.3484,0.7299,0.5059,0.5704
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,test,0.0982,12.1819,0.7856,0.5706,0.6754
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,train,0.138,16.0921,0.7351,0.5213,0.5693
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,test,0.1029,12.6671,0.7729,0.5358,0.7056
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,train,0.1541,16.9377,0.7398,0.4696,0.5461
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,test,0.0988,12.1263,0.7816,0.5746,0.6459
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,train,0.1437,16.2059,0.7628,0.5145,0.6753
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,test,0.0991,12.7396,0.7588,0.5304,0.6579
