country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,1,42,train,0.0166,1.9816,0.9969,0.9927,0.9658
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,1,42,test,0.0932,11.7538,0.8778,0.6003,0.7875
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,2,1051,train,0.0164,1.9658,0.9969,0.9929,0.966
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,2,1051,test,0.0947,11.8561,0.871,0.5933,0.7851
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,3,2060,train,0.0165,1.9908,0.9968,0.9927,0.966
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,3,2060,test,0.0931,11.7844,0.8724,0.5982,0.7871
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,4,3069,train,0.0161,1.9325,0.9971,0.9931,0.9658
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,4,3069,test,0.0942,11.882,0.8734,0.5915,0.782
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,5,4078,train,0.0165,1.9766,0.9969,0.9928,0.9658
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,5,4078,test,0.0939,11.6547,0.8827,0.607,0.7903
