country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,fixed,cnn1d,baseline,60,1,42,train,0.1369,18.3728,0.9015,0.8071,0.8084
PT,fixed,cnn1d,baseline,60,1,42,test,0.2448,29.9623,0.906,0.2451,0.6156
PT,fixed,cnn1d,baseline,60,2,1051,train,0.1304,17.4585,0.9127,0.8258,0.837
PT,fixed,cnn1d,baseline,60,2,1051,test,0.2557,30.5325,0.8923,0.2161,0.5841
PT,fixed,cnn1d,baseline,60,3,2060,train,0.1533,17.8115,0.9061,0.8187,0.8087
PT,fixed,cnn1d,baseline,60,3,2060,test,0.2425,28.662,0.914,0.3092,0.6177
PT,fixed,cnn1d,baseline,60,4,3069,train,0.1563,18.5288,0.8978,0.8038,0.7941
PT,fixed,cnn1d,baseline,60,4,3069,test,0.2554,31.0839,0.9073,0.1875,0.5866
PT,fixed,cnn1d,baseline,60,5,4078,train,0.1458,17.3293,0.9111,0.8284,0.8243
PT,fixed,cnn1d,baseline,60,5,4078,test,0.2792,33.3408,0.8802,0.0652,0.5398
