country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,fixed,svr,baseline,60,1,42,train,0.0577,11.4296,0.9631,0.9253,0.89
PT,fixed,svr,baseline,60,1,42,test,0.2089,27.0744,0.8385,0.3836,0.6659
PT,fixed,svr,baseline,60,2,1051,train,0.0577,11.4296,0.9631,0.9253,0.89
PT,fixed,svr,baseline,60,2,1051,test,0.2089,27.0744,0.8385,0.3836,0.6659
PT,fixed,svr,baseline,60,3,2060,train,0.0577,11.4296,0.9631,0.9253,0.89
PT,fixed,svr,baseline,60,3,2060,test,0.2089,27.0744,0.8385,0.3836,0.6659
PT,fixed,svr,baseline,60,4,3069,train,0.0577,11.4296,0.9631,0.9253,0.89
PT,fixed,svr,baseline,60,4,3069,test,0.2089,27.0744,0.8385,0.3836,0.6659
PT,fixed,svr,baseline,60,5,4078,train,0.0577,11.4296,0.9631,0.9253,0.89
PT,fixed,svr,baseline,60,5,4078,test,0.2089,27.0744,0.8385,0.3836,0.6659
