adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd12,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec12,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb12,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_prec8,mean_prec12,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_rad8,mean_rad12,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg12,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax12,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin12,tmin<0p1,tmin<0p2,tmin<0p3,tmin<0p4,tmin<0p5,tmin<0p6,tmin<0p7,tmin<0p8,tmin<0p12,tmax>35p1,tmax>35p2,tmax>35p3,tmax>35p4,tmax>35p5,tmax>35p6,tmax>35p7,tmax>35p8,tmax>35p12,prec<1p1,prec<1p2,prec<1p3,prec<1p4,prec<1p5,prec<1p6,prec<1p7,prec<1p8,prec<1p12,mean_cum_fpar1,mean_cum_fpar2,mean_cum_fpar3,mean_cum_fpar4,mean_cum_fpar5,mean_cum_fpar6,mean_cum_fpar7,mean_cum_fpar8,mean_cum_ndvi1,mean_cum_ndvi2,mean_cum_ndvi3,mean_cum_ndvi4,mean_cum_ndvi5,mean_cum_ndvi6,mean_cum_ndvi7,mean_cum_ndvi8,mean_ssm1,mean_ssm2,mean_ssm3,mean_ssm4,mean_ssm5,mean_ssm6,mean_ssm7,mean_ssm8,mean_ssm12,yield
PT15,14.07,1.483,2003,0.0,137.224,417.294,709.014,1128.056,1608.739,2130.64,2283.006,0.0,0.0,75.17,147.86,224.613,237.204,239.325,240.569,240.791,0.0,0.0,6.542550000000001,18.156903225806452,21.92896666666667,-48.29290322580644,-208.98416666666665,-377.3279677419355,-490.46871428571427,0.0,0.0,3.7585,2.3448387096774193,2.5584333333333333,0.40616129032258064,0.0707,0.040129032258064516,0.031714285714285716,0.0,0.0,11640616.65,15687592.14516129,20047905.966666665,26560987.612903226,27711234.8,28007118.70967742,26050915.42857143,0.0,0.0,11.8612,14.034516129032259,14.723999999999998,18.517483870967745,21.022766666666666,21.835516129032257,26.76657142857143,0.0,0.0,14.8084,17.203516129032256,17.729733333333336,22.956290322580646,25.046633333333332,26.45716129032258,31.191,0.0,0.0,9.16095,11.042516129032258,11.829133333333335,14.298064516129033,17.309199999999997,17.77738709677419,22.255428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,21.0,22.0,29.0,30.0,31.0,7.0,0.0,0.0,88.074,229.846,396.55733333333336,553.49,689.035,812.3956666666667,893.3100000000001,0.0,1.2076666666666667,3.3055,5.356999999999999,7.24975,9.1045,10.79375,11.801,0.0,6.708450000000001,6.633258064516129,6.647533333333333,6.024483870967742,5.3506,4.932516129032258,4.388142857142857,0.0,5.562
PT17,16.711,1.353,2003,0.0,117.717,383.691,669.063,1100.418,1600.31,2138.388,2305.554,0.0,0.0,81.882,139.944,216.658,218.517,226.683,233.96,234.759,0.0,0.0,10.952666666666667,30.537645161290325,18.9433,-64.42299999999999,-243.10416666666666,-409.6641935483871,-530.7415714285714,0.0,0.0,3.8991428571428575,1.8729677419354838,2.5571333333333333,0.05996774193548387,0.2722,0.23474193548387098,0.11414285714285714,0.0,0.0,10152135.904761905,14854830.306451613,18620434.283333335,27026894.16129032,26764374.466666665,26742324.83870968,26107278.0,0.0,0.0,10.605571428571428,13.579806451612903,14.512400000000001,18.914677419354838,21.66306666666667,22.357354838709675,28.880857142857142,0.0,0.0,14.509333333333334,18.41616129032258,19.052200000000003,25.438741935483872,28.0713,29.03541935483871,36.74585714285714,0.0,0.0,6.897666666666667,9.187806451612904,10.2682,12.942870967741936,15.947466666666665,16.59116129032258,20.95357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,11.0,24.0,17.0,31.0,28.0,29.0,7.0,0.0,0.0,73.96350000000001,193.25266666666667,330.0216666666667,454.7616666666667,565.7779999999999,686.6976666666666,777.583,0.0,1.0510000000000002,2.7865,4.6066666666666665,6.2585,7.79075,9.3975,10.433,0.0,5.006380952380953,4.853161290322581,4.8266,4.090677419354839,3.6824999999999997,3.5159032258064515,2.9175714285714287,0.0,9.58
PT18,14.978,1.496,2003,0.0,131.942,395.127,678.0889999999999,1122.24,1646.048,2203.935,2304.694,0.0,0.0,88.48,155.858,223.654,227.681,235.363,241.421,243.087,0.0,0.0,7.957884615384614,32.096709677419355,24.432833333333335,-64.07832258064516,-241.3981333333333,-414.28712903225806,-525.0,0.0,0.0,3.4030769230769233,2.173483870967742,2.2598666666666665,0.12990322580645158,0.25606666666666666,0.19541935483870967,0.4165,0.0,0.0,9723717.25,14651394.935483871,18313332.716666665,26629051.35483871,26892379.6,27105652.967741936,26152792.0,0.0,0.0,10.074692307692308,13.48983870967742,14.432066666666666,19.327451612903225,22.460266666666666,22.996354838709674,30.18975,0.0,0.0,14.34596153846154,18.607225806451613,19.35526666666667,26.102999999999998,29.317933333333333,30.01593548387097,38.829750000000004,0.0,0.0,6.244461538461538,8.88125806451613,9.780966666666666,12.780645161290321,16.127066666666668,16.623451612903224,22.12875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,15.0,21.0,16.0,28.0,27.0,29.0,3.0,0.0,0.0,67.3675,177.73666666666668,307.714,430.4013333333333,551.7183333333334,690.2733333333332,788.036,0.0,1.0826666666666667,2.9299999999999997,4.788,6.5215,8.2055,9.98325,0.0,0.0,5.917423076923077,5.791225806451613,5.7960666666666665,5.114193548387097,4.5197666666666665,4.211516129032258,3.523,0.0,8.928
PT11,15.187,1.25,2004,167.339,296.622,457.55,681.903,1009.648,1477.781,1582.221,0.0,13.941,142.46699999999998,167.725,259.756,342.456,394.29,420.524,434.206,0.0,4.796,43.52832258064516,98.41924137931034,105.7816129032258,121.04586666666665,79.43106451612903,-31.74126666666667,-105.062875,0.0,2.496,4.441,0.8709655172413793,2.9687419354838713,2.756666666666667,1.6720645161290322,0.8744666666666666,1.71025,0.0,2.398,5637202.983870967,11479928.76724138,14587161.685483871,20899160.333333332,22474442.532258064,26529544.5,26269530.0,0.0,2463702.219,9.948322580645161,9.458034482758622,10.191225806451612,12.478433333333333,15.57241935483871,20.604433333333336,18.055,0.0,11.970500000000001,13.16125806451613,13.84751724137931,14.298322580645161,17.012933333333333,19.78974193548387,25.185366666666667,22.659875,0.0,13.729,6.7824193548387095,5.908931034482759,6.196516129032259,7.890533333333334,11.262032258064515,16.0951,13.761125,0.0,10.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,22.0,22.0,20.0,26.0,7.0,0.0,0.0,125.50100000000002,316.291,504.77433333333335,686.199,848.7803333333333,1007.9963333333334,1126.633,0.0,1.67575,4.281750000000001,6.7475000000000005,9.207,11.222666666666667,13.20075,14.746,0.0,6.289032258064516,6.1948965517241374,5.934612903225806,5.717633333333334,5.420967741935484,4.776366666666666,4.5255,0.0,6.1425,3.261
PT15,14.07,1.483,2004,0.0,137.679,381.606,677.1129999999999,1031.949,1551.771,2108.486,2214.851,0.0,0.0,82.356,117.27199999999999,137.474,175.603,175.897,175.927,176.025,0.0,0.0,9.29004761904762,19.454806451612903,-45.4247,-128.88206451612902,-272.4389,-461.34487096774194,-574.3116666666666,0.0,0.0,3.9217142857142853,1.126322580645161,0.6733999999999999,1.2299677419354837,0.0098,0.000967741935483871,0.016333333333333335,0.0,0.0,12090956.023809524,17511803.93548387,22855040.866666667,23181551.241935484,28313035.733333334,28649472.83870968,26398867.0,0.0,0.0,11.556142857142857,12.868612903225808,14.850233333333334,16.446322580645163,22.3274,22.958548387096776,22.727500000000003,0.0,0.0,14.583619047619047,16.524290322580647,18.81116666666667,19.96351612903226,26.991866666666667,27.699935483870966,26.981166666666667,0.0,0.0,8.848095238095238,9.45516129032258,11.044066666666668,13.348806451612903,18.14943333333333,18.79206451612903,19.245166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,24.0,26.0,19.0,30.0,31.0,6.0,0.0,0.0,92.65549999999999,243.89700000000002,415.5586666666666,565.9143333333333,693.6616666666667,810.2153333333334,885.837,0.0,1.2323333333333333,3.2875,5.54275,7.281666666666666,8.74225,10.23125,11.148,0.0,6.207333333333334,5.985290322580646,5.6559333333333335,5.61983870967742,4.872833333333333,4.146548387096774,4.1785000000000005,0.0,5.874
PT16,15.134,1.382,2004,73.675,221.776,403.164,650.294,1000.506,1495.913,1818.465,0.0,0.0,75.894,114.503,168.642,219.371,267.961,277.709,282.018,0.0,0.0,7.092062500000001,47.70437931034483,41.39832258064516,14.3963,-51.77106451612903,-177.9965,-307.0334285714286,0.0,0.0,4.743375,1.331344827586207,1.7464193548387095,1.6909666666666667,1.5674193548387096,0.32493333333333335,0.2051904761904762,0.0,0.0,7081404.890625,11269603.77586207,15387478.951612903,21011779.15,22894841.903225806,26769898.733333334,26640766.38095238,0.0,0.0,9.6046875,10.10693103448276,10.851225806451612,13.237666666666666,16.29716129032258,21.51356666666667,20.35961904761905,0.0,0.0,13.4014375,14.603689655172413,15.488838709677418,18.218966666666667,20.912387096774193,27.0933,25.955,0.0,0.0,5.9513125,6.502551724137931,6.410935483870968,8.3417,11.682,16.3436,15.253904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,22.0,23.0,22.0,26.0,20.0,0.0,0.0,55.8,166.05633333333333,324.147,470.36733333333336,604.0266666666666,743.967,911.4276666666666,0.0,0.9415,2.75275,4.9885,7.1515,8.948,10.74825,12.64,0.0,5.0170625,4.819827586206896,4.558967741935484,4.3656,4.275516129032258,3.7104666666666666,3.4723809523809526,0.0,0.0,4.356
PT17,16.711,1.353,2004,0.0,108.36200000000001,323.884,613.346,1004.873,1550.256,2119.528,2228.38,0.0,0.0,34.161,75.799,97.111,119.493,121.526,122.051,122.769,0.0,0.0,-8.503045454545456,-28.945580645161293,-84.93263333333334,-190.63467741935486,-355.10909999999996,-556.3078064516129,-674.8695,0.0,0.0,1.5527727272727274,1.3431612903225807,0.7103999999999999,0.7220000000000001,0.06776666666666667,0.016935483870967744,0.11966666666666666,0.0,0.0,11747358.590909092,16597001.564516129,21896524.783333335,24221511.225806452,27714186.466666665,28222911.096774194,26146383.0,0.0,0.0,9.925545454545455,11.952322580645161,14.648733333333332,17.62990322580645,23.179433333333336,23.363612903225803,23.142,0.0,0.0,14.451772727272727,16.96,20.406466666666667,23.27332258064516,30.383733333333335,30.551354838709678,29.621,0.0,0.0,6.207999999999999,7.521096774193548,9.208966666666667,12.390612903225806,16.873633333333334,17.207354838709676,17.675333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,18.0,26.0,26.0,24.0,29.0,31.0,6.0,0.0,0.0,81.247,209.81566666666666,350.763,472.1336666666666,585.9006666666667,714.1543333333334,805.471,0.0,1.1133333333333333,2.91425,4.89975,6.406666666666666,7.75675,9.338000000000001,10.351,0.0,4.717045454545455,4.440129032258064,4.091833333333333,3.915161290322581,3.304866666666667,2.9775806451612907,3.1391666666666667,0.0,9.996
PT18,14.978,1.496,2004,0.0,142.422,352.123,637.623,1023.923,1595.076,2190.571,2247.094,0.0,0.0,44.868,85.55799999999999,108.684,147.198,149.022,149.599,150.226,0.0,0.0,-11.305259259259257,-23.885548387096772,-76.9828,-171.83270967741936,-324.88506666666666,-526.3250967741935,-638.182,0.0,0.0,1.6617777777777778,1.3125806451612902,0.7708666666666667,1.2423870967741937,0.06079999999999999,0.01861290322580645,0.209,0.0,0.0,11665515.666666666,16276691.741935484,21410516.266666666,23093879.903225806,27589717.333333332,28294516.19354839,25304624.666666668,0.0,0.0,10.27488888888889,11.764548387096776,14.516666666666667,17.461290322580645,24.038433333333334,24.20951612903226,23.840999999999998,0.0,0.0,15.286074074074074,17.033096774193545,20.538133333333334,23.07535483870968,31.52423333333333,31.684032258064516,30.72066666666667,0.0,0.0,6.329814814814815,6.956645161290322,8.763933333333334,12.161677419354838,17.26813333333333,17.438709677419357,18.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,20.0,25.0,25.0,20.0,30.0,31.0,3.0,0.0,0.0,75.614,198.17566666666667,337.01500000000004,462.5063333333333,588.6793333333334,729.8826666666668,824.793,0.0,1.148,3.04675,5.124750000000001,6.728999999999999,8.20875,9.945,0.0,0.0,5.518666666666666,5.228419354838709,4.885766666666667,4.766064516129032,3.9713,3.48341935483871,3.542666666666667,0.0,9.355
PT11,15.187,1.25,2005,94.176,149.337,338.705,566.07,883.649,1333.795,1480.8,0.0,7.089,22.526,33.335,174.374,258.623,357.906,401.89300000000003,401.918,0.0,0.0,-3.883677419354839,-35.34746428571429,-53.026387096774194,18.486766666666664,27.402677419354834,-64.1562,-127.14166666666668,0.0,-1.4220000000000002,0.7266451612903225,0.38603571428571426,4.549645161290322,2.8083,3.202677419354839,1.4662333333333335,0.002777777777777778,0.0,0.0,8339264.760064516,12974715.55357143,14523963.887096774,18714357.7,23345133.677419353,25936203.266666666,28913121.555555556,0.0,8224022.25,7.769225806451613,6.820821428571429,11.016612903225806,12.578833333333334,15.244483870967743,20.004866666666665,21.33388888888889,0.0,8.5445,12.30358064516129,11.962035714285715,15.631064516129031,16.457633333333334,19.27596774193548,24.543766666666667,26.73522222222222,0.0,13.867,4.328387096774194,2.545321428571429,6.770774193548387,8.7384,11.090387096774194,15.543666666666667,16.019,0.0,5.0095,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,18.0,16.0,17.0,23.0,9.0,0.0,2.0,120.75533333333334,304.6426666666667,483.26000000000005,657.7753333333334,817.3796666666667,973.1723333333333,1089.5430000000001,0.0,1.595,4.05425,6.403,8.538333333333334,10.48225,12.6825,14.209,0.0,5.440322580645161,5.3173571428571424,5.406387096774194,5.643533333333334,5.481967741935484,4.738233333333333,4.454666666666666,0.0,5.4505,2.77
PT15,14.07,1.483,2005,0.0,106.318,368.54200000000003,683.973,1089.063,1593.616,2127.039,2264.297,0.0,0.0,21.499000000000002,53.751,58.617000000000004,79.181,80.477,82.4,82.46900000000001,0.0,0.0,-25.669549999999997,-55.47193548387097,-131.84926666666667,-251.6052258064516,-402.6777,-577.3275806451612,-684.4704285714286,0.0,0.0,1.07495,1.0403870967741937,0.16219999999999998,0.6633548387096774,0.0432,0.06203225806451613,0.009857142857142858,0.0,0.0,14200703.425,15434992.709677419,22613620.2,25547832.48387097,27966451.666666668,27952971.225806452,27117849.42857143,0.0,0.0,10.315900000000001,13.45883870967742,15.514366666666666,18.067419354838712,21.818433333333335,22.207193548387096,24.608285714285717,0.0,0.0,14.792750000000002,16.831870967741935,19.4191,22.12858064516129,25.943766666666665,26.6328064516129,29.643714285714285,0.0,0.0,6.42065,10.305387096774194,11.828666666666667,14.374967741935485,17.9776,18.39548387096774,20.171142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,28.0,26.0,30.0,30.0,7.0,0.0,0.0,73.9865,191.56733333333332,329.06733333333335,453.12166666666667,560.185,662.5366666666667,730.136,0.0,0.9953333333333333,2.75425,4.4,5.8012500000000005,7.2595,8.618,9.455,0.0,5.28015,5.522870967741936,5.107866666666666,4.949741935483871,4.251833333333333,3.811870967741936,3.5142857142857147,0.0,6.345
