country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,qwen_rag,ridge,rag1_rag_local_profile,60,1,42,train,0.0882,10.481,0.9684,0.9372,0.9102
PT,qwen_rag,ridge,rag1_rag_local_profile,60,1,42,test,0.2235,26.7009,0.8438,0.4005,0.7232
PT,qwen_rag,ridge,rag1_rag_local_profile,60,2,1051,train,0.0882,10.481,0.9684,0.9372,0.9102
PT,qwen_rag,ridge,rag1_rag_local_profile,60,2,1051,test,0.2235,26.7009,0.8438,0.4005,0.7232
PT,qwen_rag,ridge,rag1_rag_local_profile,60,3,2060,train,0.0882,10.481,0.9684,0.9372,0.9102
PT,qwen_rag,ridge,rag1_rag_local_profile,60,3,2060,test,0.2235,26.7009,0.8438,0.4005,0.7232
PT,qwen_rag,ridge,rag1_rag_local_profile,60,4,3069,train,0.0882,10.481,0.9684,0.9372,0.9102
PT,qwen_rag,ridge,rag1_rag_local_profile,60,4,3069,test,0.2235,26.7009,0.8438,0.4005,0.7232
PT,qwen_rag,ridge,rag1_rag_local_profile,60,5,4078,train,0.0882,10.481,0.9684,0.9372,0.9102
PT,qwen_rag,ridge,rag1_rag_local_profile,60,5,4078,test,0.2235,26.7009,0.8438,0.4005,0.7232
