country,advisor,model,candidate_id,selected_k,split,mape_mean,normalized_rmse_mean,r_mean,r2_mean,kge_mean,mape_variance,normalized_rmse_variance,r_variance,r2_variance,kge_variance
CN,fixed,cnn1d,baseline,60,test,0.11128,13.5857,0.7383,0.46582,0.68486,7.011999999999992e-06,0.0726997849999998,0.00022581499999999917,0.00044230700000000013,0.00033485299999999965
CN,fixed,cnn1d,baseline,60,train,0.10504,12.75016,0.84296,0.6979,0.73284,9.790299999999988e-05,1.0555425829999991,0.0007205930000000031,0.0024274350000000025,0.0032216630000000026
CN,fixed,ridge,baseline,60,test,0.1103,13.3582,0.804,0.48369999999999996,0.7491,0.0,0.0,0.0,0.0,0.0
CN,fixed,ridge,baseline,60,train,0.10600000000000001,13.0187,0.829,0.6867,0.7436,0.0,0.0,0.0,0.0,0.0
CN,fixed,svr,baseline,60,test,0.0949,11.7441,0.8436999999999999,0.601,0.7881,0.0,0.0,0.0,0.0,0.0
CN,fixed,svr,baseline,60,train,0.059399999999999994,9.026,0.9242000000000001,0.8493999999999999,0.8391,0.0,0.0,0.0,0.0,0.0
CN,fixed,transformer_flat,baseline,60,test,0.10302,13.078820000000002,0.7646200000000001,0.5048,0.67098,7.237000000000019e-06,0.1328734170000001,0.0001688269999999994,0.0007637600000000017,0.0014915019999999996
CN,fixed,transformer_flat,baseline,60,train,0.14676,17.506700000000002,0.6841,0.43187999999999993,0.5122,0.0001747880000000001,1.0334052450000004,0.0011909499999999994,0.004396476999999999,0.002992474999999999
CN,fixed,xgboost,baseline,60,test,0.09214,11.48866,0.8764,0.618,0.8051,3.1879999999999956e-06,0.04977058299999982,3.194499999999981e-05,0.00022359500000000078,2.075000000000069e-06
CN,fixed,xgboost,baseline,60,train,0.01582,1.8874600000000001,0.99718,0.9934200000000001,0.9667600000000001,6.2e-08,0.0004516529999999991,6.999999999997902e-09,2.7000000000023476e-08,1.28000000000036e-07
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.10593999999999999,12.787,0.77822,0.5263199999999999,0.72332,2.1533e-05,0.2729601849999999,0.0003143420000000007,0.001461767000000001,0.0014292470000000007
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.12608000000000003,14.814160000000001,0.79326,0.5893200000000001,0.68144,0.0004103319999999999,3.370264028,0.0023532829999999964,0.010219596999999997,0.011200392999999998
CN,qwen_rag,ridge,rag1_rag_local_profile,60,test,0.1136,13.746100000000002,0.8045,0.4532999999999999,0.7287,0.0,0.0,0.0,0.0,0.0
CN,qwen_rag,ridge,rag1_rag_local_profile,60,train,0.10979999999999998,13.7396,0.8074999999999999,0.651,0.7075,0.0,0.0,0.0,0.0,0.0
CN,qwen_rag,svr,rag1_rag_historical_regime,60,test,0.0895,11.1588,0.8591999999999999,0.6397,0.8059,0.0,0.0,0.0,0.0,0.0
CN,qwen_rag,svr,rag1_rag_historical_regime,60,train,0.0635,9.93,0.9071999999999999,0.8177,0.8124,0.0,0.0,0.0,0.0,0.0
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,test,0.09994,12.38776,0.77792,0.55582,0.67856,3.5930000000000065e-06,0.08485299799999985,0.00015665699999999825,0.0004398120000000009,0.0007753429999999996
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,train,0.1427,16.28582,0.7432000000000001,0.50944,0.60052,4.820499999999992e-05,0.16677517699999944,0.00016631500000000065,0.0006165380000000002,0.0030287119999999968
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,test,0.09382,11.7862,0.87546,0.59806,0.7864,4.570000000000015e-07,0.008102224999999939,2.2848000000000287e-05,3.7662999999999866e-05,9.489999999999931e-06
CN,qwen_rag,xgboost,rag1_rag_robust_hybrid,60,train,0.01642,1.9694600000000002,0.99692,0.99284,0.96588,3.700000000000017e-08,0.0005082979999999977,1.1999999999994534e-08,2.7999999999994388e-08,1.19999999999968e-08
PT,fixed,cnn1d,baseline,60,test,0.25552,30.7163,0.8999600000000001,0.20461999999999997,0.58876,0.00021130700000000042,2.961394235000001,0.00018415300000000054,0.008109607,0.000995343000000001
PT,fixed,cnn1d,baseline,60,train,0.14454,17.90018,0.9058400000000001,0.81676,0.8145,0.00011873300000000004,0.28684552699999993,3.956799999999986e-05,0.00012056300000000041,0.00027232499999999904
PT,fixed,ridge,baseline,60,test,0.2452,27.590899999999998,0.8606999999999999,0.3599,0.7187,0.0,0.0,0.0,0.0,0.0
PT,fixed,ridge,baseline,60,train,0.0893,10.3172,0.9694,0.9391999999999999,0.9122999999999999,0.0,0.0,0.0,0.0,0.0
PT,fixed,svr,baseline,60,test,0.2089,27.074400000000004,0.8385,0.3836,0.6659,0.0,0.0,0.0,0.0,0.0
PT,fixed,svr,baseline,60,train,0.057699999999999994,11.4296,0.9631000000000001,0.9253,0.89,0.0,0.0,0.0,0.0,0.0
PT,fixed,transformer_flat,baseline,60,test,0.2963,34.604499999999994,0.81592,-0.0128,0.5362600000000001,0.0008129199999999988,8.665533989999998,0.01309143699999999,0.031993320000000006,0.016304283000000006
PT,fixed,transformer_flat,baseline,60,train,0.27756,32.59258,0.66486,0.39216,0.41432,7.100299999999992e-05,1.796902072000004,0.00016278800000000005,0.0026264680000000007,0.003035456999999999
PT,fixed,xgboost,baseline,60,test,0.221,28.51206,0.8299,0.31626000000000004,0.6611800000000001,3.570499999999997e-05,0.19412241799999977,1.7194999999999902e-05,0.00044582300000000014,9.443700000000041e-05
PT,fixed,xgboost,baseline,60,train,0.00098,0.09788,1.0,1.0,0.99922,7.000000000000007e-09,6.048199999999993e-05,0.0,0.0,6.999999999997486e-09
PT,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.26348,31.16732,0.89056,0.18264,0.58298,3.4451999999999934e-05,0.7727739770000013,0.0002756929999999998,0.002117893000000001,0.0002854520000000008
PT,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.14938,17.95384,0.9072000000000001,0.8157,0.8188599999999999,0.000304992,0.199845343,2.084500000000008e-05,8.520999999999988e-05,0.0002867429999999991
PT,qwen_rag,ridge,rag1_rag_local_profile,60,test,0.22349999999999998,26.7009,0.8438000000000001,0.40049999999999997,0.7232,0.0,0.0,0.0,0.0,0.0
