adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,tmin<-4.027p1,tmin<-4.027p2,tmin<-4.027p3,tmin<-4.027p4,tmin<-4.027p5,tmin<-4.027p6,tmin<-4.027p7,tmax>31.246p1,tmax>31.246p2,tmax>31.246p3,tmax>31.246p4,tmax>31.246p5,tmax>31.246p6,tmax>31.246p7,prec<0.037p1,prec<0.037p2,prec<0.037p3,prec<0.037p4,prec<0.037p5,prec<0.037p6,prec<0.037p7,median_cum_fpar1,median_cum_fpar2,median_cum_fpar3,median_cum_fpar4,median_cum_fpar5,median_cum_fpar6,median_cum_fpar7,median_cum_ndvi1,median_cum_ndvi2,median_cum_ndvi3,median_cum_ndvi4,median_cum_ndvi5,median_cum_ndvi6,median_cum_ndvi7,mean_ssm1,mean_ssm2,mean_ssm3,mean_ssm4,mean_ssm5,mean_ssm6,mean_ssm7,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
CN011,14.819,1.511,2022,0.0,0.0,32.133,266.398,679.199,1210.757,1464.276,0.0,5.802,32.974,41.967,55.565,167.529,265.987,0.0,-14.736,-58.70396774193548,-135.19503333333333,-257.67629032258066,-363.4060666666667,-326.2236923076923,0.0,0.2231538461538461,0.8765161290322581,0.2997666666666667,0.4386451612903226,3.732133333333333,7.5736923076923075,0.0,12905914.23076923,15870369.016129032,21090152.366666667,23361762.16129032,19454509.716666665,18585141.230769232,0.0,-3.913884615384615,4.380387096774194,12.808833333333332,18.316161290322583,22.7186,24.501461538461538,0.0,2.7275,10.69841935483871,19.701833333333333,25.503612903225804,28.0513,29.098230769230767,0.0,-9.152884615384616,-1.2588064516129034,5.660966666666667,10.477290322580645,17.442166666666665,20.11692307692308,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,21.0,19.0,21.0,14.0,5.0,2.0,0.0,22.285,60.702,128.039,241.033,387.645,534.5755,0.0,0.473,1.2825,2.297,4.038,6.28,8.2285,0.0,3.93,3.832064516129032,3.205366666666667,2.986870967741936,3.917566666666666,4.745692307692308,6.557,6.67746024,0.0001179099905030069,0.010858636677917118,5,test,6.657048040000001,0.0001156338991630035,0.010753320378515814,5,test
CN012,14.794,1.439,2022,0.0,2.35,71.34700000000001,386.836,867.062,1461.349,1736.229,0.0,4.549,22.012,29.973,55.512,159.006,300.159,0.0,-16.81548,-70.37377419354839,-170.94696666666667,-303.0245161290323,-433.42876666666666,-392.8017692307692,0.0,0.1819599999999999,0.5633225806451613,0.2653666666666667,0.8238387096774195,3.4498,10.857923076923075,0.0,12786856.98,15874172.79032258,21114486.933333334,22987219.451612905,20773946.266666666,17342793.423076924,0.0,-1.47544,6.48016129032258,15.5163,20.49116129032258,24.80956666666667,26.144615384615385,0.0,4.7069600000000005,12.687161290322582,22.07183333333333,27.449548387096776,30.28943333333333,30.38423076923077,0.0,-6.27696,0.8216129032258064,8.812133333333334,13.319225806451614,19.7172,22.226923076923075,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,6.0,0.0,20.0,17.0,22.0,18.0,12.0,4.0,0.0,17.061,51.838,138.46800000000002,287.757,445.882,578.658,0.0,0.386,1.0545,2.124,3.979,6.0035,7.696,0.0,4.314,4.198870967741935,3.3772,3.3766451612903228,4.1683666666666666,5.524769230769231,6.613,5.9454015,0.0018944479948750075,0.043525256976553364,5,test,5.95872694,0.0008355252642579982,0.028905453884310452,5,test
CN013,14.781,1.481,2022,0.0,2.273,62.38,327.854,748.763,1324.795,1581.494,0.0,4.758,27.599,38.356,63.145,173.373,267.887,0.0,-14.826479999999998,-67.29296774193548,-157.4173,-282.6710967741936,-416.1689666666667,-396.3731538461538,0.0,0.19032,0.7368064516129033,0.3585666666666666,0.7996451612903226,3.6742666666666666,7.270307692307692,0.0,13296345.82,16031630.41935484,21173283.366666667,22959055.612903222,22018506.366666667,18219127.384615384,0.0,-2.70204,6.035677419354839,13.849133333333333,18.577709677419357,24.20106666666667,24.746076923076924,0.0,3.69888,12.162290322580644,20.546066666666665,25.464935483870967,29.973866666666662,29.349153846153847,0.0,-7.69016,0.4958064516129032,7.067233333333333,11.395387096774192,18.5363,20.54853846153846,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,19.0,14.0,12.0,8.0,4.0,0.0,0.0,25.87,76.404,167.769,291.051,423.198,560.508,0.0,0.458,1.3285,2.572,4.21,5.9915,7.742000000000001,0.0,4.13632,3.925548387096774,3.2825333333333333,3.2576129032258065,3.5904666666666665,4.892230769230769,6.061,5.80533182,0.0003207361928569981,0.017909109214503054,5,test,5.77785354,0.0002565687538879999,0.016017763698094684,5,test
CN014,14.597,1.473,2022,0.0,0.0,59.098,270.267,609.697,1139.671,1391.289,0.0,6.408,27.416,50.375,91.235,153.211,259.205,0.0,-13.758919999999998,-64.9738064516129,-150.7388,-241.2944516129032,-375.31596666666667,-399.8409285714286,0.0,0.25632,0.6776774193548387,0.7653,1.3180645161290323,2.0658666666666665,7.571,0.0,13486029.52,16358030.225806452,21008922.9,22919877.25806452,24216609.03333333,19636183.535714287,0.0,-3.3275200000000003,5.957,12.038966666666663,15.949354838709676,22.6658,22.97271428571429,0.0,2.84268,12.286935483870968,18.9816,22.68916129032258,29.1253,28.026357142857144,0.0,-8.40108,0.035516129032258,4.8978,8.866483870967741,15.872266666666668,18.07542857142857,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,12.0,15.0,14.0,8.0,7.0,1.0,0.0,17.985,49.812,94.991,157.586,259.048,397.494,0.0,0.374,1.0055,1.753,2.779,4.3225,6.1015,0.0,4.222,4.019032258064517,3.448,3.9245806451612895,3.4605,4.644928571428571,5.629,5.5189704200000005,4.014851519200015e-05,0.0063362855989925315,5,test,5.51221246,2.755436440299982e-05,0.005249225124054008,5,test
CN015,13.312,1.479,2022,0.0,0.0,1.4340000000000002,123.85,432.014,887.146,1141.695,0.0,4.077999999999999,20.917,36.07,63.957,180.057,229.659,0.0,-8.634217391304347,-46.61835483870968,-133.4389,-258.69303225806453,-339.33253333333334,-364.9626428571429,0.0,0.1773043478260869,0.5431935483870968,0.5051,0.8995806451612903,3.87,3.543,0.0,12344463.52173913,16398833.806451611,20169225.1,23221638.93548387,20534333.066666663,20676534.785714287,0.0,-9.932956521739133,0.1173870967741935,8.955833333333334,14.940774193548387,20.17106666666667,23.182071428571422,0.0,-3.893739130434783,5.899709677419355,15.7588,21.632193548387097,25.584433333333333,28.226357142857143,0.0,-14.91508695652174,-5.377935483870968,1.9709,7.691806451612903,14.8031,18.25257142857143,0.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,8.0,3.0,0.0,0.0,0.0,19.3615,53.465,96.227,148.211,242.525,386.8775,0.0,0.346,1.003,1.714,2.5620000000000003,3.99,5.785,0.0,4.261260869565217,4.2975161290322585,4.060066666666667,3.926741935483871,4.441633333333333,4.545571428571429,7.387,6.7196263599999995,0.0011329062537429988,0.03365867278641567,5,test,6.704819179999999,0.0013972705875569833,0.0373800827655181,5,test
CN021,14.162,1.52,2022,0.0,0.0,8.986999999999998,198.539,557.262,1017.015,1262.602,0.0,4.577999999999999,40.7,54.944,99.405,304.34,436.807,0.0,-13.227615384615383,-48.99796774193548,-119.2162,-247.8043225806452,-268.88173333333333,-155.00292307692308,0.0,0.176076923076923,1.165225806451613,0.4748,1.434225806451613,6.831166666666666,10.18976923076923,0.0,12852401.153846154,16122655.91935484,21092825.03333333,23466725.48387097,17348746.65,16524162.153846154,0.0,-7.281807692307693,2.133032258064516,11.245933333333332,16.571709677419353,20.325100000000003,23.89130769230769,0.0,-1.3452692307692309,7.551161290322581,17.538966666666667,22.940193548387096,24.502666666666663,27.62069230769231,0.0,-12.110884615384617,-2.839806451612904,4.5364,10.174806451612902,16.7093,20.69807692307692,0.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,16.0,6.0,1.0,0.0,0.0,21.307,57.448,104.905,173.098,292.798,450.922,0.0,0.413,1.1985,2.062,3.2075,5.1005,7.269,0.0,5.105884615384616,5.137290322580645,4.910833333333333,4.569290322580645,5.493366666666666,5.916461538461538,7.104,6.736215540000001,0.0015821985943980047,0.039776860036936104,5,test,6.6477314000000005,0.0018127937597249906,0.04257691580804075,5,test
CN022,13.895,1.483,2022,0.0,0.0,1.0090000000000003,132.375,429.427,863.151,1118.085,0.0,5.635,35.365,65.44200000000001,129.91,341.708,446.753,0.0,-7.225357142857143,-30.04267741935484,-90.5865,-191.05770967741933,-165.24836666666667,-93.93242857142856,0.0,0.2012499999999999,0.9590322580645162,1.0025666666666666,2.0796129032258066,7.059933333333333,7.503214285714286,0.0,11643051.857142856,15321077.887096774,20291977.316666663,22340557.51612903,18628026.23333333,17174947.75,0.0,-11.769785714285714,-0.7326774193548388,9.0708,14.582322580645162,19.45746666666667,23.209571428571422,0.0,-6.064285714285715,4.184677419354839,15.4027,20.66058064516129,23.8035,27.13471428571429,0.0,-16.62035714285714,-5.715806451612903,2.1213333333333333,8.299870967741935,15.626066666666668,19.906214285714288,0.0,28.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,13.0,3.0,0.0,1.0,0.0,20.516,58.269,102.921,160.505,265.223,423.271,0.0,0.4615,1.2625,2.082,3.0605,4.547000000000001,6.613,0.0,5.516392857142857,5.578322580645161,5.378533333333333,5.195290322580645,6.004499999999999,6.050571428571429,7.289,7.11290672,0.0023617096250370378,0.04859742405762921,5,test,7.122960739999999,0.002941622769172998,0.054236728968227774,5,test
CN023,14.269,1.486,2022,0.0,0.0,0.0,71.574,322.884,753.403,975.517,0.0,6.28,26.265,67.956,134.989,236.723,277.54,0.0,-3.875857142857143,-23.179677419354835,-75.91843333333333,-139.31606451612902,-175.93086666666667,-187.4416666666667,0.0,0.2242857142857142,0.6446774193548387,1.3897000000000002,2.1623548387096774,3.3911333333333333,3.4014166666666665,0.0,10508054.25,14953499.967741936,18961269.83333333,21307877.774193548,20302335.03333333,19518235.08333333,0.0,-13.766357142857142,-2.479935483870968,6.729133333333333,13.106774193548388,19.35063333333333,23.5095,0.0,-8.06325,2.544064516129032,12.899466666666664,19.028419354838707,24.288433333333334,27.74508333333333,0.0,-18.711714285714287,-7.870645161290323,0.1696666666666666,6.860387096774193,14.694366666666667,19.746,0.0,28.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,8.0,1.0,0.0,0.0,0.0,7.987,29.755,65.249,115.175,215.476,377.98,0.0,0.4549999999999999,1.206,2.0,2.9895,4.654999999999999,6.832000000000001,0.0,5.735071428571429,5.855903225806452,5.6891,5.618548387096775,5.709033333333333,5.681916666666667,6.764,6.01395836,0.00265673154456299,0.05154349177697404,5,test,6.056894659999999,0.002547902002597987,0.05047674714755287,5,test
CN031,12.706,1.42,2022,13.652,34.822,251.123,575.671,1021.399,1628.671,0.0,52.686,105.96,262.91,428.543,474.328,605.961,0.0,21.481416666666664,56.057857142857145,71.20341935483872,139.2704666666667,139.40506451612902,112.52576666666666,0.0,4.3905,1.902642857142857,5.062903225806451,5.5211,1.4769354838709678,4.387766666666667,0.0,6377139.302083333,10424738.39732143,14928045.588709677,18585200.491666667,19393008.870967746,19542269.766666666,0.0,5.6295,4.923785714285714,11.977451612903224,15.818266666666666,19.37832258064516,25.2424,0.0,8.287333333333335,8.451607142857144,16.40593548387097,20.307133333333333,23.34303225806452,28.7335,0.0,3.011083333333333,1.5890000000000002,8.063516129032259,11.607666666666669,15.701290322580643,22.218166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,13.0,11.0,17.0,14.0,6.0,0.0,22.792,73.18900000000001,166.782,283.001,397.302,498.907,0.0,0.38,1.3375,2.849,4.476,6.1295,7.91,0.0,6.96975,6.964535714285715,7.078709677419355,7.119133333333334,6.770258064516129,6.6437333333333335,0.0,6.344,6.598552580000001,0.0007055516523869872,0.0265622222787738,5,test,6.57271614,7.471859237300312e-05,0.008643991692094753,5,test
CN032,13.994,1.439,2022,0.0,15.227,199.081,533.849,1018.848,1684.967,1973.628,0.0,16.102,111.512,172.756,181.106,317.924,384.814,-1.457,-11.53075,-39.20938709677419,-63.92673333333333,-151.05006451612903,-270.7502333333333,-254.0640833333333,0.0,0.5750714285714286,3.077741935483871,2.0414666666666665,0.2693548387096774,4.5606,5.574166666666667,12272831.0,12154834.285714284,15870602.137096774,19814389.683333334,22106182.90322581,21732913.53333333,19010838.33333333,2.112,3.274857142857143,10.93058064516129,16.158933333333334,20.645129032258065,27.203966666666663,29.05508333333333,7.859,8.212928571428572,16.371451612903225,21.794766666666664,26.22835483870968,32.224000000000004,32.748333333333335,-3.109,-1.2613928571428572,6.060193548387097,10.6375,14.911129032258064,22.45603333333333,25.614666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,1.0,10.0,10.0,14.0,18.0,5.0,0.0,0.0,72.425,207.13,389.738,574.127,699.248,810.119,0.0,1.115,3.0385,5.264,7.4905,8.9975,10.4815,5.573,5.588178571428571,5.652322580645161,5.386866666666666,4.858774193548387,4.875866666666667,5.544999999999999,5.976,5.68867488,0.0014954044762069873,0.03867045999476845,5,test,5.68612148,0.0007951592980919937,0.02819856907880245,5,test
