adm_id,year,feature,feature_role,from_value,to_value,predicted_increment
CN011,2022,prec<0.037p6,water_proxy,5.0,7.5,0.0022572222222221328
CN011,2022,mean_cum_cwb7,water_proxy,-326.2236923076923,-376.49105448717944,0.00138333333333307
CN011,2022,mean_cum_cwb2,water_proxy,-14.736,-17.037884615384616,0.0007555555555569526
CN012,2022,mean_ssm7,water_proxy,5.524769230769231,4.878801282051282,0.005406666666669224
CN012,2022,mean_ssm3,water_proxy,4.198870967741935,3.88508064516129,0.011240000000000805
CN012,2022,mean_ssm6,water_proxy,4.1683666666666666,3.9045166666666664,0.01632833333333128
CN012,2022,mean_prec6,water_proxy,3.4498,2.608216666666667,0.004071111111112913
CN012,2022,max_cum_prec6,water_proxy,159.006,142.7365,0.002071111111107804
CN013,2022,mean_ssm3,water_proxy,3.925548387096774,3.690225806451613,0.00846444444444483
CN013,2022,mean_prec3,water_proxy,0.7368064516129033,0.5939193548387097,0.009678333333332567
CN014,2022,prec<0.037p7,water_proxy,1.0,0.5,0.0022611111111121573
CN014,2022,prec<0.037p5,water_proxy,8.0,9.5,0.008489444444443883
CN014,2022,mean_prec3,water_proxy,0.6776774193548387,0.5740645161290323,0.00255722222222321
CN015,2022,mean_cum_cwb2,water_proxy,-8.634217391304347,-10.190043478260868,0.0038066666666658477
CN015,2022,mean_ssm3,water_proxy,4.2975161290322585,4.118451612903226,0.0010399999999997078
CN015,2022,mean_ssm7,water_proxy,4.545571428571429,4.378535714285714,0.0026538888888891776
CN015,2022,prec<0.037p2,water_proxy,9.0,10.5,0.0013066666666672333
CN021,2022,prec<0.037p6,water_proxy,1.0,3.0,0.00733055555555584
CN021,2022,mean_prec6,water_proxy,6.831166666666666,4.983933333333333,0.005477777777778137
CN021,2022,prec<0.037p3,water_proxy,12.0,14.0,0.0007566666666667388
CN021,2022,mean_cum_cwb6,water_proxy,-268.88173333333333,-308.35445000000004,0.0011799999999988486
CN022,2022,mean_ssm6,water_proxy,6.004499999999999,5.685133333333333,0.012151666666667893
CN022,2022,mean_ssm3,water_proxy,5.578322580645161,5.396483870967742,0.017295555555554287
CN022,2022,mean_ssm4,water_proxy,5.378533333333333,5.175966666666667,0.004398333333333504
CN022,2022,prec<0.037p6,water_proxy,0.0,1.0,0.0035311111111120397
CN022,2022,mean_cum_cwb5,water_proxy,-191.05770967741933,-171.0954193548387,0.000945000000001528
CN023,2022,mean_ssm4,water_proxy,5.6891,5.4689499999999995,0.0037577777777757504
CN023,2022,mean_ssm2,water_proxy,5.735071428571429,5.617625,0.00046055555555657435
CN023,2022,mean_prec3,water_proxy,0.6446774193548387,0.5107741935483872,0.0016399999999991977
CN031,2022,mean_ssm2,water_proxy,6.964535714285715,6.828660714285714,0.011297777777776297
CN031,2022,mean_ssm5,water_proxy,6.770258064516129,6.587677419354838,0.0022811111111122884
CN031,2022,mean_ssm3,water_proxy,7.078709677419355,6.933177419354839,0.004188333333334349
CN031,2022,mean_ssm4,water_proxy,7.119133333333334,6.840283333333334,0.00693333333333257
CN032,2022,prec<0.037p3,water_proxy,10.0,11.0,0.008168333333334665
CN032,2022,mean_ssm3,water_proxy,5.652322580645161,5.541741935483871,0.0076922222222224335
CN032,2022,prec<0.037p2,water_proxy,10.0,12.0,0.010248888888889418
CN032,2022,max_cum_prec4,water_proxy,172.756,156.692,0.0018094444444445301
CN033,2022,mean_ssm2,water_proxy,7.941357142857143,7.589037931034483,0.015057777777778725
CN033,2022,prec<0.037p4,water_proxy,8.0,7.0,0.008186111111109895
CN033,2022,mean_ssm3,water_proxy,7.966032258064517,7.644151612903225,0.000553888888889631
CN033,2022,mean_cum_cwb2,water_proxy,123.54042857142858,23.36734642857142,0.007293333333333152
CN033,2022,max_cum_prec1,water_proxy,83.321,45.164199999999994,0.0059600000000008535
CN034,2022,mean_cum_cwb6,water_proxy,-169.36403333333334,-126.89541666666668,0.00011999999999900979
CN035,2022,mean_prec5,water_proxy,12.092322580645162,7.315567741935483,0.0287266666666679
CN035,2022,mean_ssm5,water_proxy,8.59751612903226,7.659529032258064,0.02395666666666818
CN035,2022,max_cum_prec6,water_proxy,992.058,735.0754999999999,0.0015016666666660683
CN036,2022,mean_ssm6,water_proxy,8.775666666666666,7.893598571428571,0.021880000000002564
CN036,2022,mean_prec2,water_proxy,4.617714285714285,3.071149137931034,0.001447222222219935
CN037,2022,mean_ssm7,water_proxy,5.591428571428572,5.016785714285714,0.019750555555555493
CN037,2022,mean_prec6,water_proxy,5.245966666666667,3.879716666666667,0.006371666666666442
CN037,2022,mean_ssm6,water_proxy,4.020566666666666,3.911383333333333,0.004388888888890996
CN037,2022,mean_cum_cwb4,water_proxy,-167.95416666666668,-157.40373333333335,0.0015116666666648015
CN041,2022,prec<0.037p3,water_proxy,11.0,14.0,0.02079888888888881
CN041,2022,mean_ssm2,water_proxy,4.919925925925925,4.723648148148148,0.029686111111111302
CN041,2022,mean_prec7,water_proxy,7.803083333333333,6.03875,0.0022133333333336225
CN042,2022,mean_ssm2,water_proxy,6.704785714285714,6.441535714285714,0.0081327777777771
CN042,2022,mean_ssm4,water_proxy,6.899933333333333,6.427899999999999,0.006038888888888927
CN042,2022,mean_ssm3,water_proxy,6.789870967741935,6.416629032258064,0.0023277777777774844
CN042,2022,mean_ssm7,water_proxy,6.91525,6.4985,0.005495555555556031
CN043,2022,mean_ssm2,water_proxy,7.741178571428571,7.555857142857143,0.012496666666667267
CN043,2022,mean_ssm6,water_proxy,8.258928571428571,7.893598571428571,0.019319444444444223
CN043,2022,mean_ssm1,water_proxy,7.6687391304347825,7.425434782608695,3.611111111112564e-05
CN043,2022,mean_ssm3,water_proxy,7.806,7.644151612903225,0.008379999999999832
CN043,2022,mean_cum_cwb2,water_proxy,113.13835714285712,23.36734642857142,0.008423333333333005
CN044,2022,mean_ssm2,water_proxy,7.157392857142858,6.998868842364532,0.0066161111111116
CN044,2022,prec<0.037p2,water_proxy,5.0,3.0,0.0077527777777772755
CN044,2022,mean_prec5,water_proxy,10.141193548387095,7.315567741935483,0.008766666666669032
CN045,2022,mean_prec5,water_proxy,10.39774193548387,7.315567741935483,0.010871666666666613
CN045,2022,mean_cum_cwb2,water_proxy,129.88739285714286,23.36734642857142,0.004082777777778546
CN046,2013,mean_ssm5,water_proxy,6.283774193548387,6.118516129032258,0.028396666666666626
CN046,2013,mean_ssm4,water_proxy,6.0812333333333335,5.967766666666666,0.003197777777777411
CN046,2013,prec<0.037p2,water_proxy,2.0,5.0,0.011803333333332944
CN046,2013,max_cum_prec2,water_proxy,28.808,24.002499999999998,0.003203888888888784
CN050,2022,mean_ssm1,water_proxy,7.436400000000001,7.19005,0.04952277777777603
CN050,2022,mean_ssm2,water_proxy,7.376214285714285,7.15525,0.0033661111111094044
CN050,2022,mean_ssm3,water_proxy,7.280741935483871,7.124129032258065,0.008501111111113069
CN050,2022,mean_ssm6,water_proxy,7.2763,7.13465,0.000886111111110921
CN050,2022,mean_prec7,water_proxy,9.648,4.9955,0.0076550000000006335
CN051,2022,mean_ssm2,water_proxy,7.11075,6.900081896551724,0.010829999999998563
CN051,2022,mean_ssm6,water_proxy,6.952299999999999,6.7347166666666665,0.01035833333333347
CN051,2022,mean_prec2,water_proxy,1.9507142857142856,1.5655535714285715,0.015587222222222863
