adm_id,year,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
CN011,2022,6.557,6.67746024,0.0001179099905030069,0.010858636677917118,5,test,6.657048040000001,0.0001156338991630035,0.010753320378515814,5,test
CN012,2022,6.613,5.9454015,0.0018944479948750075,0.043525256976553364,5,test,5.95872694,0.0008355252642579982,0.028905453884310452,5,test
CN013,2022,6.061,5.80533182,0.0003207361928569981,0.017909109214503054,5,test,5.77785354,0.0002565687538879999,0.016017763698094684,5,test
CN014,2022,5.629,5.5189704200000005,4.014851519200015e-05,0.0063362855989925315,5,test,5.51221246,2.755436440299982e-05,0.005249225124054008,5,test
CN015,2022,7.387,6.7196263599999995,0.0011329062537429988,0.03365867278641567,5,test,6.704819179999999,0.0013972705875569833,0.0373800827655181,5,test
CN021,2022,7.104,6.736215540000001,0.0015821985943980047,0.039776860036936104,5,test,6.6477314000000005,0.0018127937597249906,0.04257691580804075,5,test
CN022,2022,7.289,7.11290672,0.0023617096250370378,0.04859742405762921,5,test,7.122960739999999,0.002941622769172998,0.054236728968227774,5,test
CN023,2022,6.764,6.01395836,0.00265673154456299,0.05154349177697404,5,test,6.056894659999999,0.002547902002597987,0.05047674714755287,5,test
CN031,2022,6.344,6.598552580000001,0.0007055516523869872,0.0265622222787738,5,test,6.57271614,7.471859237300312e-05,0.008643991692094753,5,test
CN032,2022,5.976,5.68867488,0.0014954044762069873,0.03867045999476845,5,test,5.68612148,0.0007951592980919937,0.02819856907880245,5,test
CN033,2022,4.351,4.37076198,3.2608451020000365e-06,0.001805781022715666,5,test,4.38479814,1.1625534933000785e-05,0.0034096238697253374,5,test
CN034,2022,5.398,5.2172591,0.0011758110045499881,0.034290100678621344,5,test,5.2482289,0.0006632984032999945,0.025754580239250542,5,test
CN035,2022,4.505,4.23925902,0.00012471772074699834,0.011167708840536555,5,test,4.272206939999999,6.618007044800006e-05,0.008135113425638272,5,test
CN036,2022,3.975,4.35459806,1.6998643448000267e-05,0.0041229411162421745,5,test,4.373287599999999,3.2311648879999824e-05,0.005684333635528427,5,test
CN037,2022,6.779,6.568115059999999,7.644495070800414e-05,0.008743280317363966,5,test,6.551404440000001,0.00015235892538799448,0.012343375769537056,5,test
CN041,2022,5.898,5.66285812,0.0002502504532770002,0.015819306346265636,5,test,5.65311872,0.0002827832945520003,0.016816161706881876,5,test
CN042,2022,4.026,4.5497867,9.892995254500244e-05,0.009946353731142003,5,test,4.56692396,0.00018083927670299816,0.013447649486174086,5,test
CN043,2022,5.734,5.6290762999999995,4.8247977219994175e-05,0.0069460763903079975,5,test,5.60973128,7.022852957199588e-05,0.00838024639088827,5,test
CN044,2022,4.807,4.55769262,1.3396258521999484e-05,0.003660089960916191,5,test,4.57050736,2.0888859813000787e-05,0.0045704332194006275,5,test
CN045,2022,4.55,4.55331962,1.1339234221998031e-05,0.003367377944632594,5,test,4.55506304,7.756300683000728e-06,0.002785013587579193,5,test
CN046,2013,4.362,4.278840000000001,3.195183215500018e-05,0.005652595169919759,5,train,4.3061492999999995,2.3665341200002738e-05,0.004864703608649014,5,train
CN050,2022,5.725,5.688947059999999,4.29339353579962e-05,0.006552399206244702,5,test,5.66771162,3.440964738199882e-05,0.005865973694281182,5,test
CN051,2022,5.64,5.7241377799999995,0.00012199684748699706,0.011045218308707033,5,test,5.69691164,9.193894967300187e-05,0.009588480050195749,5,test
CN052,2022,4.818,4.24061058,0.00023691464673198368,0.015392031923433101,5,test,4.2874955,0.00019295208933000566,0.013890719539678485,5,test
CN053,2022,5.352,5.06708154,0.00022778817264799918,0.015092652936048029,5,test,5.0968938800000005,0.000364415082017006,0.019089659033544995,5,test
CN054,2022,6.221,5.66562566,0.0036320738522279956,0.06026668940822945,5,test,5.76168206,0.001837705047497988,0.04286846215457219,5,test
CN061,2022,5.19,4.80411126,0.0002351136456380042,0.015333415980726675,5,test,4.85291312,7.082068432700441e-05,0.0084155026187985,5,test
CN062,2022,6.182,5.69164914,0.00022451961747801158,0.014983978693191324,5,test,5.66040992,0.0004640570614670144,0.02154198369387124,5,test
CN063,2022,6.542,6.70179132,0.001077258230612013,0.03282161224882186,5,test,6.7201948,0.0005600644303449967,0.023665680432748953,5,test
CN064,2022,7.567,7.600231120000001,7.90092665719999e-05,0.008888715687432009,5,test,7.59889066,0.00018543569951800167,0.013617477722324413,5,test
CN065,2022,9.432,9.3060516,0.015520925756300026,0.12458300749420054,5,test,9.3027208,0.014133950859700008,0.11888629382607571,5,test
