           model   advisor  mean_nrmse  median_nrmse  mean_r2  mean_mape  mean_kge
           cnn1d  hardcode   30.002835      26.07704 0.438765   0.307475  0.613030
           cnn1d qwen_base   31.465620      27.54292 0.392175   0.321770  0.643390
           cnn1d  qwen_rag   29.050270      26.46579 0.453230   0.276105  0.643520
           ridge  hardcode   25.206850      23.76630 0.566900   0.249900  0.712600
           ridge qwen_base   29.467200      24.27080 0.477675   0.281575  0.710950
           ridge  qwen_rag   26.820375      24.94285 0.512650   0.258175  0.684350
             svr  hardcode   25.050850      24.30030 0.573500   0.239750  0.714750
             svr qwen_base   25.873425      25.05015 0.544900   0.255050  0.710550
             svr  qwen_rag   23.619375      23.19375 0.614975   0.223800  0.726250
transformer_flat  hardcode   36.185835      28.27616 0.264655   0.353780  0.395445
transformer_flat qwen_base   36.268295      28.53581 0.264190   0.355070  0.380225
transformer_flat  qwen_rag   35.633380      28.05474 0.288215   0.356460  0.446905
         xgboost  hardcode   27.909920      26.28726 0.495135   0.273545  0.683730
         xgboost qwen_base   27.479260      24.88600 0.515645   0.272260  0.685900
         xgboost  qwen_rag   26.747045      25.00538 0.534730   0.262545  0.690030
