CN tabpfn_base (100 RAG-selected features)
  checkpoint written
CN tabpfn_cn_finetuned (100 RAG-selected features)
  checkpoint written
ZA tabpfn_base (112 RAG-selected features)
  checkpoint written
ZA tabpfn_cn_finetuned (112 RAG-selected features)
  checkpoint written
MX tabpfn_base (126 RAG-selected features)
  checkpoint written
MX tabpfn_cn_finetuned (126 RAG-selected features)
  checkpoint written
PT tabpfn_base (126 RAG-selected features)
  checkpoint written
PT tabpfn_cn_finetuned (126 RAG-selected features)
  checkpoint written
country               model                                                checkpoint_sha256                    test_years  n_features split  mape_mean  normalized_rmse_mean  r_mean  r2_mean  kge_mean  mape_variance  normalized_rmse_variance   r_variance  r2_variance  kge_variance
     CN         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301                2020;2021;2022         100  test    0.05920               7.04646 0.95498  0.86334   0.92554   4.200000e-07                  0.013781 2.807000e-06 2.065300e-05  4.278000e-06
     CN         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301                2020;2021;2022         100 train    0.02290               3.48630 0.98840  0.97602   0.95976   7.650000e-07                  0.026233 1.250000e-06 4.777000e-06  4.608000e-06
     CN tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630                2020;2021;2022         100  test    0.05764               6.89936 0.95492  0.86902   0.92412   4.030000e-07                  0.014618 2.832000e-06 2.136200e-05  4.027000e-06
     CN tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630                2020;2021;2022         100 train    0.02358               3.73328 0.98702  0.97252   0.95326   6.270000e-07                  0.010514 4.520000e-07 2.342000e-06  1.130800e-05
     MX         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301                          2022         126  test    0.31746              28.62632 0.94346  0.85982   0.77788   2.709080e-04                  0.853173 2.351300e-05 8.114200e-05  8.442000e-06
     MX         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301                          2022         126 train    0.01530               1.95476 0.99966  0.99906   0.98398   9.050000e-07                  0.017797 3.000000e-09 1.300000e-08  3.262000e-06
     MX tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630                          2022         126  test    0.31396              28.30110 0.94646  0.86304   0.77552   1.372630e-04                  0.378093 1.232300e-05 3.553800e-05  9.512000e-06
     MX tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630                          2022         126 train    0.02030               2.24406 0.99970  0.99874   0.97374   2.800000e-07                  0.004642 0.000000e+00 8.000000e-09  8.680000e-07
     PT         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301      2016;2017;2018;2019;2020         126  test    0.20228              25.61578 0.87456  0.44802   0.68618   2.244700e-05                  0.306641 1.835800e-05 5.752870e-04  8.763200e-05
     PT         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301      2016;2017;2018;2019;2020         126 train    0.00984               1.73488 0.99920  0.99828   0.98778   1.280000e-07                  0.009465 5.000000e-09 4.700000e-08  3.470000e-07
     PT tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630      2016;2017;2018;2019;2020         126  test    0.19670              25.07390 0.88300  0.47116   0.68914   1.596500e-05                  0.252116 2.429500e-05 4.521330e-04  8.352300e-05
     PT tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630      2016;2017;2018;2019;2020         126 train    0.01304               1.98498 0.99908  0.99776   0.97826   8.680000e-07                  0.008821 1.200000e-08 4.800000e-08  1.273000e-06
     ZA         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301 2017;2018;2019;2020;2021;2022         112  test    0.16198              18.34962 0.94202  0.65702   0.72288   3.717000e-06                  0.057406 1.418700e-05 8.055200e-05  1.462700e-05
     ZA         tabpfn_base 311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301 2017;2018;2019;2020;2021;2022         112 train    0.01568               2.29338 0.99874  0.99734   0.97752   2.882000e-06                  0.058692 9.300000e-08 3.430000e-07  3.717000e-06
     ZA tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630 2017;2018;2019;2020;2021;2022         112  test    0.15682              17.83746 0.94162  0.67592   0.73570   2.117000e-06                  0.030693 2.300200e-05 4.072200e-05  5.947500e-05
     ZA tabpfn_cn_finetuned 53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630 2017;2018;2019;2020;2021;2022         112 train    0.01548               2.12548 0.99916  0.99770   0.97492   2.457000e-06                  0.038469 4.300000e-08 2.050000e-07  2.522000e-06
