country,advisor,model,r2_mean_original,mape_mean_original,r2_mean_aligned,mape_mean_aligned,r2_delta
CN,hardcode,cnn1d,0.4696399999999999,0.11202,0.52064,0.11394,0.0510000000000001
CN,hardcode,ridge,0.4836999999999999,0.1103,0.6043,0.1006,0.12060000000000004
CN,hardcode,svr,0.601,0.0949,0.6632,0.0921,0.06220000000000003
CN,hardcode,transformer_flat,0.5024599999999999,0.10166,0.51478,0.10116,0.012320000000000109
CN,hardcode,xgboost,0.61798,0.09204,0.64316,0.09488,0.02517999999999998
CN,qwen_base,cnn1d,0.48414,0.11176,0.54714,0.10747999999999999,0.06299999999999994
CN,qwen_base,ridge,0.4524,0.1131,0.5418,0.1068,0.08939999999999992
CN,qwen_base,svr,0.5956,0.0954,0.6393,0.0948,0.04369999999999996
CN,qwen_base,transformer_flat,0.49588,0.10374,0.55924,0.09853999999999999,0.06335999999999997
CN,qwen_base,xgboost,0.5957399999999999,0.0941999999999999,0.60136,0.0999,0.005620000000000069
CN,qwen_rag,cnn1d,0.53392,0.10402,0.5423199999999999,0.10777999999999999,0.008399999999999963
CN,qwen_rag,ridge,0.4722,0.1106,0.5358,0.1081,0.06360000000000005
CN,qwen_rag,svr,0.6397,0.0895,0.6978,0.0829,0.05809999999999993
CN,qwen_rag,transformer_flat,0.5442,0.10064,0.5818,0.09778,0.03759999999999997
CN,qwen_rag,xgboost,0.61928,0.09146,0.64968,0.09444,0.030399999999999983
MX,hardcode,cnn1d,0.4580599999999999,0.73894,0.48407999999999995,0.68544,0.026020000000000043
MX,hardcode,ridge,0.7084,0.4756,0.7084,0.4756,0.0
MX,hardcode,svr,0.7191,0.4764,0.7191,0.47640000000000005,0.0
MX,hardcode,transformer_flat,0.0238,0.85716,0.03608,0.8304600000000001,0.01228
MX,hardcode,xgboost,0.64036,0.5789799999999999,0.61104,0.60182,-0.029320000000000013
MX,qwen_base,cnn1d,0.41492,0.67278,0.42594000000000004,0.72778,0.01102000000000003
MX,qwen_base,ridge,0.4559,0.5895,0.4559,0.5895,0.0
MX,qwen_base,svr,0.6993,0.5313,0.6993,0.5313,0.0
MX,qwen_base,transformer_flat,-3.999999999999996e-05,0.8746600000000001,0.030160000000000003,0.84168,0.0302
MX,qwen_base,xgboost,0.60682,0.599,0.60384,0.6,-0.0029799999999999827
MX,qwen_rag,cnn1d,0.55186,0.58724,0.56466,0.54972,0.012800000000000034
MX,qwen_rag,ridge,0.6629,0.5017,0.6629,0.5017,0.0
MX,qwen_rag,svr,0.7582,0.434,0.7582,0.434,0.0
MX,qwen_rag,transformer_flat,0.0492399999999999,0.8519,0.06526,0.84062,0.016020000000000097
MX,qwen_rag,xgboost,0.62824,0.59286,0.64286,0.57684,0.014619999999999966
PT,hardcode,cnn1d,0.1739,0.25676,0.20736,0.25632,0.03345999999999999
PT,hardcode,ridge,0.3599,0.2452,0.3599,0.2452,0.0
PT,hardcode,svr,0.3836,0.2089,0.3836,0.2089,0.0
PT,hardcode,transformer_flat,-0.06722,0.29906,-0.0128,0.2963,0.05442
PT,hardcode,xgboost,0.33264,0.21492,0.31626000000000004,0.221,-0.01637999999999995
PT,qwen_base,cnn1d,0.11332,0.26544,0.16419999999999998,0.25886,0.05087999999999998
PT,qwen_base,ridge,0.3615,0.2382,0.3615,0.23820000000000002,0.0
PT,qwen_base,svr,0.3085,0.2118,0.3085,0.2118,0.0
PT,qwen_base,transformer_flat,-0.00666,0.28558,-0.010619999999999996,0.28568,-0.003959999999999996
PT,qwen_base,xgboost,0.31638,0.2129,0.34102,0.20987999999999998,0.024639999999999995
PT,qwen_rag,cnn1d,0.2038999999999999,0.25334,0.18222,0.26349999999999996,-0.021679999999999894
PT,qwen_rag,ridge,0.3266,0.2374,0.3266,0.2374,0.0
PT,qwen_rag,svr,0.3853,0.2113999999999999,0.3853,0.21139999999999998,0.0
PT,qwen_rag,transformer_flat,-0.04606,0.29602,-0.00272,0.296,0.04334
PT,qwen_rag,xgboost,0.4088199999999999,0.20354,0.40793999999999997,0.20568,-0.0008799999999999364
ZA,hardcode,cnn1d,0.4814999999999999,0.17924,0.50456,0.18153999999999998,0.023060000000000136
ZA,hardcode,ridge,0.595,0.1782,0.595,0.1782,0.0
ZA,hardcode,svr,0.5281,0.1816,0.5281,0.1816,0.0
ZA,hardcode,transformer_flat,0.53092,0.18678,0.5093,0.18774000000000002,-0.021619999999999973
ZA,hardcode,xgboost,0.4246,0.17704,0.41008000000000006,0.17648,-0.014519999999999922
ZA,qwen_base,cnn1d,0.4253999999999999,0.18872,0.4236,0.19408,-0.0017999999999999128
ZA,qwen_base,ridge,0.5515,0.1918,0.5515,0.1918,0.0
ZA,qwen_base,svr,0.5325,0.1823,0.5325,0.1823,0.0
ZA,qwen_base,transformer_flat,0.4753199999999999,0.1920599999999999,0.47788,0.194,0.0025600000000001177
ZA,qwen_base,xgboost,0.51536,0.1792,0.5163599999999999,0.17926,0.0009999999999998899
ZA,qwen_rag,cnn1d,0.5396599999999999,0.18258,0.51736,0.18436,-0.022299999999999875
ZA,qwen_rag,ridge,0.5253,0.1855,0.5253,0.1855,0.0
ZA,qwen_rag,svr,0.6186,0.1669,0.6186,0.1669,0.0
ZA,qwen_rag,transformer_flat,0.4892999999999999,0.18988,0.5205200000000001,0.18974,0.031220000000000192
ZA,qwen_rag,xgboost,0.45244,0.17418,0.43844000000000005,0.17321999999999999,-0.013999999999999957
