model,advisor,mean_nrmse,median_nrmse,mean_r2,mean_mape,mean_kge
cnn1d,hardcode,30.002834999999997,26.07704,0.438765,0.307475,0.61303
cnn1d,qwen_base,31.46562,27.542920000000002,0.392175,0.32177,0.64339
cnn1d,qwen_rag,29.050269999999998,26.46579,0.45322999999999997,0.27610500000000004,0.6435200000000001
ridge,hardcode,25.20685,23.7663,0.5669,0.2499,0.7126
ridge,qwen_base,29.4672,24.2708,0.47767499999999996,0.281575,0.71095
ridge,qwen_rag,26.820375000000002,24.94285,0.51265,0.258175,0.68435
svr,hardcode,25.05085,24.3003,0.5735,0.23975000000000002,0.71475
svr,qwen_base,25.873424999999997,25.05015,0.5448999999999999,0.25505,0.71055
svr,qwen_rag,23.619374999999998,23.19375,0.614975,0.2238,0.7262500000000001
transformer_flat,hardcode,36.185835,28.276159999999997,0.264655,0.35378000000000004,0.395445
transformer_flat,qwen_base,36.268295,28.53581,0.26419,0.35507,0.38022500000000004
transformer_flat,qwen_rag,35.63338,28.054740000000002,0.28821500000000005,0.35646,0.446905
xgboost,hardcode,27.90992,26.28726,0.495135,0.273545,0.6837300000000001
xgboost,qwen_base,27.47926,24.886000000000003,0.515645,0.27226,0.6859
xgboost,qwen_rag,26.747045,25.005380000000002,0.53473,0.262545,0.6900299999999999
