adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,tmin<0.94p1,tmin<0.94p2,tmin<0.94p3,tmin<0.94p4,tmin<0.94p5,tmin<0.94p6,tmin<0.94p7,tmax>31.25p1,tmax>31.25p2,tmax>31.25p3,tmax>31.25p4,tmax>31.25p5,tmax>31.25p6,tmax>31.25p7,prec<1p1,prec<1p2,prec<1p3,prec<1p4,prec<1p5,prec<1p6,prec<1p7,mean_cum_fpar1,mean_cum_fpar2,mean_cum_fpar3,mean_cum_fpar4,mean_cum_fpar5,mean_cum_fpar6,mean_cum_fpar7,mean_cum_ndvi1,mean_cum_ndvi2,mean_cum_ndvi3,mean_cum_ndvi4,mean_cum_ndvi5,mean_cum_ndvi6,mean_cum_ndvi7,mean_ssm1,mean_ssm2,mean_ssm3,mean_ssm4,mean_ssm5,mean_ssm6,mean_ssm7,yield
CN011,14.819,1.511,2003,0.0,5.902000000000001,106.676,450.735,1013.786,1664.984,1969.532,0.0,4.736,41.976,71.562,136.004,214.084,228.922,0.0,-18.65796153846154,-44.06345161290322,-98.94183333333334,-180.7540322580645,-250.20016666666666,-317.78776923076924,0.0,0.18215384615384614,1.2012903225806453,0.9862,2.078774193548387,2.6026666666666665,1.1413846153846154,0.0,11951791.634615384,14918232.951612903,18496295.7,20248575.580645163,22948688.233333334,21701670.846153848,0.0,-0.6701923076923078,3.9568387096774194,12.408633333333334,19.10293548387097,22.6466,24.366769230769233,0.0,5.167653846153846,9.11358064516129,18.5317,25.17667741935484,28.415733333333332,29.52123076923077,0.0,-5.548461538461538,-0.8430645161290323,5.9351666666666665,12.960709677419354,16.77413333333333,18.97646153846154,0.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,25.0,24.0,23.0,21.0,19.0,10.0,0.0,14.736,41.95033333333333,87.28533333333333,162.37933333333334,274.3126666666667,397.48199999999997,0.0,0.361,1.0315,1.8326666666666664,3.11375,5.11125,6.8605,0.0,3.522384615384615,3.809516129032258,3.739833333333333,3.8140645161290325,3.7395666666666667,3.758076923076923,4.281
CN012,14.794,1.439,2003,0.0,23.625,169.555,587.425,1206.998,1901.975,2221.091,0.0,8.575999999999999,38.587,75.2,132.646,217.905,237.075,0.0,-19.23428,-49.12445161290322,-125.9233,-223.06106451612902,-309.5468,-372.7941538461538,0.0,0.34303999999999996,0.9680967741935483,1.2204333333333333,1.8530967741935482,2.8419666666666665,1.4746153846153844,0.0,11645279.46,15126127.14516129,18701313.766666666,21646023.032258064,23143531.233333334,21385271.846153848,0.0,1.0858400000000001,5.566096774193548,14.869,20.926225806451612,24.105900000000002,25.487384615384617,0.0,6.689439999999999,11.18909677419355,20.85986666666667,26.962935483870968,29.7115,30.343076923076925,0.0,-3.61512,0.6551612903225807,8.786399999999999,15.336741935483872,18.8002,20.728,0.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,22.0,23.0,24.0,21.0,21.0,10.0,0.0,12.936,38.56666666666667,90.15833333333335,171.066,265.8096666666667,369.4255,0.0,0.306,0.9005,1.7053333333333331,2.638666666666667,3.9217500000000003,5.2865,0.0,3.52728,3.8853225806451617,3.5328333333333335,3.918709677419355,3.9851666666666667,3.737153846153846,5.189
CN013,14.781,1.481,2003,0.0,9.072000000000001,127.84400000000001,474.101,1034.341,1681.657,1976.067,0.0,7.256,38.873000000000005,84.172,136.013,216.553,244.238,0.0,-15.012039999999999,-43.28487096774193,-101.31223333333334,-178.03203225806453,-259.9300333333333,-322.2973846153846,0.0,0.29024,1.0199032258064515,1.509966666666667,1.6722903225806451,2.6846666666666663,2.1296153846153847,0.0,12046949.7,15431827.064516129,18795010.4,21057764.322580647,22549924.0,21418213.384615384,0.0,-0.45764000000000005,4.511483870967742,12.4819,19.01225806451613,22.5172,23.586923076923078,0.0,5.29628,9.873354838709679,18.401633333333333,24.945709677419355,28.1247,28.682923076923075,0.0,-5.3493200000000005,-0.33012903225806456,6.6800999999999995,13.314612903225806,17.113,18.707692307692305,0.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,22.0,22.0,18.0,20.0,12.0,5.0,0.0,15.07,46.663000000000004,106.17933333333333,192.359,292.28133333333335,400.649,0.0,0.33966666666666673,0.9974999999999999,1.9056666666666666,3.1094999999999997,4.68075,6.087999999999999,0.0,3.78964,3.9716774193548385,3.9410666666666665,4.063290322580645,3.8573333333333335,3.8928461538461536,4.314
CN014,14.597,1.473,2003,0.0,8.525,94.366,361.15500000000003,847.641,1406.075,1676.442,0.0,15.511000000000001,49.038,90.406,139.355,243.481,288.756,0.0,-8.81472,-29.20864516129032,-75.39963333333334,-146.07487096774193,-206.65716666666668,-242.55642857142857,0.0,0.62044,1.0815161290322581,1.3789333333333333,1.579,3.4708666666666668,3.2339285714285713,0.0,12418975.36,15682172.790322581,18355743.283333335,20566035.080645163,22474873.4,20383089.785714287,0.0,-1.30768,2.9738709677419353,9.832966666666666,16.633096774193547,19.554466666666666,20.25192857142857,0.0,4.30276,8.129548387096774,15.866800000000001,22.520387096774197,25.219866666666668,25.208642857142856,0.0,-6.217280000000001,-1.7554193548387096,4.068866666666667,10.668451612903224,14.155666666666667,15.658714285714286,0.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,18.0,18.0,9.0,6.0,0.0,13.2515,36.766333333333336,72.30966666666666,123.594,200.232,297.9305,0.0,0.28800000000000003,0.8365,1.4776666666666667,2.3985000000000003,3.73875,5.0995,0.0,4.36424,4.473903225806452,4.5168333333333335,4.473032258064515,4.556866666666666,4.514214285714286,5.21
CN015,13.312,1.479,2003,0.0,0.0,34.092,265.89300000000003,725.187,1295.7069999999999,1586.86,0.0,5.206,24.55,47.364,79.307,165.015,201.577,0.0,-10.256,-40.49,-105.26146666666666,-224.72022580645162,-339.3516,-386.88442857142854,0.0,0.22634782608695653,0.6239999999999999,0.7604666666666666,1.0304193548387095,2.856933333333333,2.611571428571428,0.0,11880034.304347826,16202975.35483871,18887444.433333334,22650063.096774194,22414397.3,22173922.14285714,0.0,-7.303826086956522,-0.684,8.666699999999999,15.755935483870967,19.957333333333334,21.736642857142858,0.0,-1.0674347826086956,5.437612903225807,15.205533333333333,22.447032258064514,26.003600000000002,27.291500000000003,0.0,-12.869608695652174,-6.206838709677419,1.9616000000000002,8.843032258064516,13.9697,16.409214285714288,0.0,23.0,31.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,21.0,21.0,11.0,4.0,0.0,19.3675,52.416,92.60133333333333,138.51,207.74733333333333,303.8405,0.0,0.35833333333333334,1.0125,1.6973333333333336,2.42425,3.5705,4.843,0.0,3.830391304347826,3.8621612903225806,3.641433333333333,3.2528709677419356,3.5882,3.8682857142857143,5.585
CN021,14.162,1.52,2003,0.0,0.18799999999999994,56.283,349.945,857.671,1447.17,1731.3129999999999,0.0,3.162,22.534,58.012,99.575,226.175,278.042,0.0,-16.73723076923077,-54.948,-128.43283333333335,-225.6082258064516,-285.48363333333333,-299.1335384615385,0.0,0.12161538461538461,0.6249032258064516,1.1825999999999999,1.340741935483871,4.22,3.9897692307692307,0.0,12077325.923076924,15749266.709677419,18478672.733333334,21888294.16129032,21593864.433333334,21734084.0,0.0,-3.5243076923076924,1.532258064516129,10.728733333333334,17.31825806451613,20.589966666666665,22.797153846153847,0.0,2.3380384615384617,7.047193548387097,16.6368,23.41245161290323,25.691066666666664,27.627769230769232,0.0,-8.476269230769232,-3.410516129032258,4.668866666666667,11.503806451612903,15.8798,18.455615384615385,0.0,26.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,28.0,24.0,19.0,13.0,8.0,0.0,17.130000000000003,47.044333333333334,87.04233333333333,142.16233333333332,236.875,364.3085,0.0,0.38366666666666666,1.07225,1.817,2.85725,4.44175,6.167999999999999,0.0,4.7065769230769225,4.727903225806451,4.419,4.3351612903225805,4.822333333333333,4.891076923076923,6.322
CN022,13.895,1.483,2003,0.0,0.0,28.651,274.423,731.12,1303.437,1596.9669999999999,0.0,4.929,21.274,48.081,88.646,225.056,295.606,0.0,-9.526,-43.64525806451613,-108.85106666666667,-213.23174193548388,-279.84293333333335,-264.66364285714286,0.0,0.1760357142857143,0.527258064516129,0.8935666666666666,1.308548387096774,4.547,5.039285714285714,0.0,11554834.44642857,16012679.35483871,18727485.133333333,22135077.870967742,20774946.766666666,21211712.785714287,0.0,-7.685285714285714,-0.7134838709677419,9.132399999999999,15.672161290322581,20.017233333333333,21.90642857142857,0.0,-1.622642857142857,5.231483870967741,15.229433333333333,21.970290322580645,25.0337,26.374785714285714,0.0,-13.388535714285714,-6.287129032258065,2.7847,9.37183870967742,15.173666666666666,17.717428571428574,0.0,28.0,31.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,25.0,21.0,20.0,11.0,7.0,0.0,21.387,57.425000000000004,98.37033333333333,151.43966666666665,243.3803333333333,376.681,0.0,0.45975,1.24525,2.0003333333333333,2.8594999999999997,4.30975,6.038,0.0,5.174,5.101322580645161,4.8,4.418709677419354,5.158766666666667,5.509714285714286,6.148
CN023,14.269,1.486,2003,0.0,0.0,21.688,225.737,638.065,1209.554,1448.9859999999999,0.0,5.349,17.252000000000002,44.114,72.173,151.622,220.773,0.0,-4.087714285714286,-33.72690322580645,-87.64623333333334,-197.09483870967745,-306.1722,-316.4433333333333,0.0,0.19103571428571428,0.3839677419354839,0.8954,0.9051290322580645,2.6483,5.762583333333333,0.0,10748374.267857144,15724355.225806452,19045560.133333333,23050600.129032258,21082009.1,19226896.333333332,0.0,-12.502107142857144,-1.8124193548387098,7.710533333333333,14.240903225806452,19.989633333333334,20.892666666666667,0.0,-5.6355,4.426451612903226,14.068766666666667,20.946645161290324,25.503800000000002,25.371583333333334,0.0,-18.996285714285712,-7.920645161290322,0.8615999999999999,7.134612903225807,14.468866666666667,16.796833333333336,0.0,28.0,31.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,23.0,24.0,10.0,3.0,0.0,16.980666666666668,48.41433333333333,86.332,135.45333333333335,219.04933333333335,340.0375,0.0,0.47,1.28875,2.1016666666666666,3.11775,4.686,6.437,0.0,5.314214285714286,5.2789677419354835,5.086333333333333,4.578064516129031,4.8430333333333335,5.574083333333333,4.046
CN032,13.994,1.439,2003,0.3340000000000001,96.767,318.579,714.384,1276.892,1971.019,2248.3849999999998,7.995,62.558,154.739,270.875,332.016,515.34,798.021,7.407,8.52125,39.769451612903225,39.6321,56.15525806451613,-25.62633333333333,191.83391666666662,7.995,1.9486785714285715,2.9735806451612907,3.8712,1.9722903225806452,6.1108,23.556749999999997,3645925.0,10839060.910714285,14766359.298387097,16517752.416666666,18849757.241935484,21502299.5,13090594.666666666,1.274,4.162214285714286,8.095225806451612,14.1335,19.08541935483871,24.077566666666666,24.053833333333333,3.639,8.712285714285715,12.874193548387098,18.812366666666666,23.576032258064515,28.765833333333333,27.419083333333333,-0.945,0.003607142857142872,3.702225806451613,9.738166666666666,14.852193548387097,19.585733333333334,21.31175,1.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,20.0,17.0,21.0,19.0,0.0,0.0,41.87066666666666,127.77966666666667,262.521,418.31,540.6016666666666,645.5765,0.0,0.761,2.23625,4.086333333333333,6.2285,7.96225,9.462,0.0,5.897928571428571,5.96941935483871,5.965566666666666,5.742451612903226,5.399133333333333,6.938083333333334,4.365
CN034,13.843,1.492,2003,0.061000000000000054,113.567,358.262,770.207,1367.253,2086.836,2279.389,11.305,82.161,191.464,321.767,404.245,666.141,813.679,2.477666666666667,19.466535714285715,68.27287096774195,91.92243333333334,135.00067741935484,74.12476666666666,286.301375,3.768333333333333,2.5305714285714282,3.5259032258064513,4.3434333333333335,2.66058064516129,8.729866666666668,18.44225,7865737.0,9874285.82142857,14397410.241935484,15334294.141666668,18323602.467741936,21360073.933333334,13116601.875,0.7806666666666667,4.736107142857143,8.819967741935484,14.6715,20.199548387096776,24.9261,25.009125,4.415666666666667,9.139964285714287,13.569258064516129,19.211533333333332,24.504451612903228,29.539566666666666,28.137999999999998,-2.666333333333333,0.6995714285714286,4.247612903225806,10.3691,15.927806451612904,20.4348,22.356375,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,15.0,19.0,15.0,19.0,16.0,1.0,0.0,43.869,133.057,262.5806666666667,402.5919999999999,519.897,603.694,0.0,0.8067500000000001,2.368,4.208333333333333,6.203250000000001,7.992750000000001,9.421,0.0,6.647857142857142,6.679967741935484,6.698666666666667,6.485161290322581,6.203866666666667,7.669125,4.154
