country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,4,3069,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,5,4078,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,5,4078,test,0.1068,12.9049,0.8402,0.5418,0.7606
