country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,train,0.14,16.2324,0.7244,0.481,0.6677
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,test,0.1085,13.2622,0.7639,0.516,0.6663
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,train,0.1389,15.6697,0.777,0.5164,0.7048
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,test,0.1068,12.5425,0.7997,0.5671,0.7357
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,train,0.151,17.2687,0.7032,0.4126,0.6618
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,test,0.113,13.2406,0.7618,0.5176,0.714
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,train,0.151,17.1033,0.6851,0.4238,0.4266
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,test,0.105,12.5812,0.8081,0.5645,0.7473
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,train,0.1455,15.8762,0.7804,0.5035,0.6272
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,test,0.102,12.3835,0.8037,0.578,0.7284
