country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,train,0.109,13.5171,0.8003,0.6401,0.7113
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,test,0.1081,12.9881,0.8455,0.5358,0.7468
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,train,0.109,13.5171,0.8003,0.6401,0.7113
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,test,0.1081,12.9881,0.8455,0.5358,0.7468
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,train,0.109,13.5171,0.8003,0.6401,0.7113
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,test,0.1081,12.9881,0.8455,0.5358,0.7468
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,train,0.109,13.5171,0.8003,0.6401,0.7113
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,test,0.1081,12.9881,0.8455,0.5358,0.7468
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,train,0.109,13.5171,0.8003,0.6401,0.7113
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,test,0.1081,12.9881,0.8455,0.5358,0.7468
