country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,train,0.063,9.6797,0.9048,0.8154,0.8207
CN,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,test,0.0829,10.4796,0.8747,0.6978,0.8048
CN,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,train,0.063,9.6797,0.9048,0.8154,0.8207
CN,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,test,0.0829,10.4796,0.8747,0.6978,0.8048
CN,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,train,0.063,9.6797,0.9048,0.8154,0.8207
CN,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,test,0.0829,10.4796,0.8747,0.6978,0.8048
CN,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,train,0.063,9.6797,0.9048,0.8154,0.8207
CN,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,test,0.0829,10.4796,0.8747,0.6978,0.8048
CN,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,train,0.063,9.6797,0.9048,0.8154,0.8207
CN,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,test,0.0829,10.4796,0.8747,0.6978,0.8048
