country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,train,0.1528,17.3723,0.692,0.4056,0.5452
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,test,0.1025,12.855,0.7907,0.5453,0.6309
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,train,0.1388,16.5153,0.7038,0.4628,0.4838
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,test,0.099,12.0399,0.8185,0.6011,0.6829
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,train,0.1479,17.1422,0.6797,0.4212,0.4927
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,test,0.0999,12.6275,0.8031,0.5612,0.6774
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,train,0.149,16.6652,0.7249,0.453,0.5496
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,test,0.0943,12.2371,0.8201,0.588,0.6467
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,train,0.1469,16.942,0.6866,0.4346,0.5181
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,test,0.1017,12.7401,0.8061,0.5534,0.6533
