country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,hardcode,svr,baseline,60,1,42,train,0.087,22.9173,0.9367,0.8691,0.8389
MX,hardcode,svr,baseline,60,1,42,test,0.4764,40.5392,0.8683,0.7191,0.6613
MX,hardcode,svr,baseline,60,2,1051,train,0.087,22.9173,0.9367,0.8691,0.8389
MX,hardcode,svr,baseline,60,2,1051,test,0.4764,40.5392,0.8683,0.7191,0.6613
MX,hardcode,svr,baseline,60,3,2060,train,0.087,22.9173,0.9367,0.8691,0.8389
MX,hardcode,svr,baseline,60,3,2060,test,0.4764,40.5392,0.8683,0.7191,0.6613
MX,hardcode,svr,baseline,60,4,3069,train,0.087,22.9173,0.9367,0.8691,0.8389
MX,hardcode,svr,baseline,60,4,3069,test,0.4764,40.5392,0.8683,0.7191,0.6613
MX,hardcode,svr,baseline,60,5,4078,train,0.087,22.9173,0.9367,0.8691,0.8389
MX,hardcode,svr,baseline,60,5,4078,test,0.4764,40.5392,0.8683,0.7191,0.6613
