country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,hardcode,transformer_flat,baseline,60,1,42,train,0.6246,58.8396,0.3827,0.1371,0.0107
MX,hardcode,transformer_flat,baseline,60,1,42,test,0.8184,76.7801,-0.1,-0.0076,-0.4829
MX,hardcode,transformer_flat,baseline,60,2,1051,train,0.7399,63.3199,0.0819,0.0007,-0.4509
MX,hardcode,transformer_flat,baseline,60,2,1051,test,0.8515,76.5649,-0.0202,-0.002,-0.4224
MX,hardcode,transformer_flat,baseline,60,3,2060,train,0.7016,63.2753,0.1559,0.0021,-0.4014
MX,hardcode,transformer_flat,baseline,60,3,2060,test,0.795,72.5202,0.3239,0.1011,0.0001
MX,hardcode,transformer_flat,baseline,60,4,3069,train,0.6921,63.3815,0.0662,-0.0013,-0.4474
MX,hardcode,transformer_flat,baseline,60,4,3069,test,0.8074,73.0511,0.3039,0.0879,-0.0322
MX,hardcode,transformer_flat,baseline,60,5,4078,train,0.7151,63.314,0.034,0.0008,-0.458
MX,hardcode,transformer_flat,baseline,60,5,4078,test,0.88,76.4505,0.0388,0.001,-0.3747
