country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.7086,63.1454,0.2765,0.0062,-0.316
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.8726,76.5184,-0.0303,-0.0008,-0.4305
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.6904,63.2696,0.2139,0.0022,-0.3833
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.9036,76.529,-0.0291,-0.001,-0.4288
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.7003,63.2245,0.2269,0.0037,-0.3531
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.7312,69.9266,0.4073,0.1642,0.1329
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.596,57.2402,0.4425,0.1833,0.0972
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,4,3069,test,0.8233,76.861,-0.1148,-0.0097,-0.4865
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,5,4078,train,0.7156,63.2179,0.1194,0.0039,-0.4132
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,5,4078,test,0.8777,76.5607,-0.0535,-0.0019,-0.4425
