country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,train,0.346,34.1259,0.8584,0.7097,0.6417
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,1,42,test,0.5574,51.5592,0.7637,0.5456,0.5119
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,train,0.3101,30.8677,0.8851,0.7625,0.7103
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,2,1051,test,0.5707,50.7169,0.7741,0.5604,0.535
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,train,0.2934,32.3246,0.875,0.7396,0.6674
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,3,2060,test,0.5521,49.3918,0.7824,0.583,0.5595
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,train,0.2874,31.3135,0.8788,0.7556,0.6987
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,4,3069,test,0.554,50.0453,0.7744,0.5719,0.548
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,train,0.3323,33.8768,0.8663,0.714,0.6257
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,5,4078,test,0.5135,50.6243,0.7738,0.562,0.5269
