country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,train,0.2353,27.4021,0.9022,0.8128,0.8254
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,test,0.5017,44.4077,0.8238,0.6629,0.6512
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,train,0.2353,27.4021,0.9022,0.8128,0.8254
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,test,0.5017,44.4077,0.8238,0.6629,0.6512
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,train,0.2353,27.4021,0.9022,0.8128,0.8254
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,test,0.5017,44.4077,0.8238,0.6629,0.6512
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,train,0.2353,27.4021,0.9022,0.8128,0.8254
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,test,0.5017,44.4077,0.8238,0.6629,0.6512
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,train,0.2353,27.4021,0.9022,0.8128,0.8254
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,test,0.5017,44.4077,0.8238,0.6629,0.6512
