country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,train,0.0901,23.1064,0.9381,0.8669,0.8314
MX,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,test,0.434,37.6104,0.8969,0.7582,0.669
MX,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,train,0.0901,23.1064,0.9381,0.8669,0.8314
MX,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,test,0.434,37.6104,0.8969,0.7582,0.669
MX,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,train,0.0901,23.1064,0.9381,0.8669,0.8314
MX,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,test,0.434,37.6104,0.8969,0.7582,0.669
MX,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,train,0.0901,23.1064,0.9381,0.8669,0.8314
MX,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,test,0.434,37.6104,0.8969,0.7582,0.669
MX,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,train,0.0901,23.1064,0.9381,0.8669,0.8314
MX,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,test,0.434,37.6104,0.8969,0.7582,0.669
