country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,hardcode,transformer_flat,baseline,60,1,42,train,0.2868,31.9943,0.6654,0.4151,0.4491
PT,hardcode,transformer_flat,baseline,60,1,42,test,0.2818,32.6981,0.8622,0.1009,0.6117
PT,hardcode,transformer_flat,baseline,60,2,1051,train,0.2655,32.2875,0.6844,0.4043,0.4085
PT,hardcode,transformer_flat,baseline,60,2,1051,test,0.2985,34.8908,0.8694,-0.0237,0.5721
PT,hardcode,transformer_flat,baseline,60,3,2060,train,0.2823,32.0193,0.66,0.4141,0.4542
PT,hardcode,transformer_flat,baseline,60,3,2060,test,0.277,32.4488,0.8753,0.1146,0.601
PT,hardcode,transformer_flat,baseline,60,4,3069,train,0.2728,31.7003,0.6653,0.4258,0.4388
PT,hardcode,transformer_flat,baseline,60,4,3069,test,0.2792,33.3964,0.8612,0.0621,0.5871
PT,hardcode,transformer_flat,baseline,60,5,4078,train,0.2804,34.9615,0.6492,0.3015,0.321
PT,hardcode,transformer_flat,baseline,60,5,4078,test,0.345,39.5884,0.6115,-0.3179,0.3094
