country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.0008,0.0812,1.0,1.0,0.9994
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.215,28.3801,0.8364,0.3227,0.6841
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.001,0.0926,1.0,1.0,0.9992
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.2102,27.966,0.8423,0.3423,0.6853
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.0007,0.0722,1.0,1.0,0.9995
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.207,27.8684,0.8388,0.3469,0.7036
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.0008,0.0822,1.0,1.0,0.9994
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,4,3069,test,0.2005,26.9118,0.8592,0.391,0.7112
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,5,4078,train,0.0008,0.0841,1.0,1.0,0.9992
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,5,4078,test,0.2167,28.806,0.8322,0.3022,0.6827
