country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,train,0.0615,11.0284,0.9649,0.9305,0.8916
PT,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,test,0.2114,27.0367,0.8436,0.3853,0.6625
PT,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,train,0.0615,11.0284,0.9649,0.9305,0.8916
PT,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,test,0.2114,27.0367,0.8436,0.3853,0.6625
PT,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,train,0.0615,11.0284,0.9649,0.9305,0.8916
PT,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,test,0.2114,27.0367,0.8436,0.3853,0.6625
PT,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,train,0.0615,11.0284,0.9649,0.9305,0.8916
PT,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,test,0.2114,27.0367,0.8436,0.3853,0.6625
PT,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,train,0.0615,11.0284,0.9649,0.9305,0.8916
PT,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,test,0.2114,27.0367,0.8436,0.3853,0.6625
