country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,train,0.297,31.6922,0.6592,0.426,0.4484
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,1,42,test,0.2892,34.0892,0.7659,0.0228,0.5001
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,train,0.2687,31.9869,0.6934,0.4153,0.4228
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,2,1051,test,0.3032,35.1624,0.8649,-0.0397,0.5651
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,train,0.2748,31.4596,0.6703,0.4344,0.4238
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,3,2060,test,0.2637,31.7234,0.8631,0.1537,0.6066
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,train,0.2856,32.0635,0.6571,0.4125,0.4153
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,4,3069,test,0.2615,31.8236,0.8613,0.1484,0.6023
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,train,0.4442,43.1306,0.591,-0.063,-0.1375
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,5,4078,test,0.3624,39.301,0.5878,-0.2988,0.3019
