adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd9,max_cum_gdd10,max_cum_gdd11,max_cum_gdd12,max_cum_prec1,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec9,max_cum_prec10,max_cum_prec11,max_cum_prec12,mean_cum_cwb1,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb9,mean_cum_cwb10,mean_cum_cwb11,mean_cum_cwb12,mean_prec1,mean_prec6,mean_prec7,mean_prec8,mean_prec9,mean_prec10,mean_prec11,mean_prec12,mean_rad1,mean_rad6,mean_rad7,mean_rad8,mean_rad9,mean_rad10,mean_rad11,mean_rad12,mean_tavg1,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg9,mean_tavg10,mean_tavg11,mean_tavg12,mean_tmax1,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax9,mean_tmax10,mean_tmax11,mean_tmax12,mean_tmin1,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin9,mean_tmin10,mean_tmin11,mean_tmin12,tmin<0p1,tmin<0p6,tmin<0p7,tmin<0p8,tmin<0p9,tmin<0p10,tmin<0p11,tmin<0p12,tmax>35p1,tmax>35p6,tmax>35p7,tmax>35p8,tmax>35p9,tmax>35p10,tmax>35p11,tmax>35p12,prec<1p1,prec<1p6,prec<1p7,prec<1p8,prec<1p9,prec<1p10,prec<1p11,prec<1p12,max_cum_fpar1,max_cum_fpar7,max_cum_fpar8,max_cum_fpar9,max_cum_fpar10,max_cum_fpar11,max_cum_fpar12,max_cum_ndvi1,max_cum_ndvi7,max_cum_ndvi8,max_cum_ndvi9,max_cum_ndvi10,max_cum_ndvi11,max_cum_ndvi12,mean_ssm1,mean_ssm6,mean_ssm7,mean_ssm8,mean_ssm9,mean_ssm10,mean_ssm11,mean_ssm12,yield
ZA-A1-0001,12.089,1.492,2004,0.0,6.006,58.096000000000004,92.58600000000001,194.995,386.654,636.95,862.3,0.0,0.0,22.063,96.157,123.353,161.434,173.234,201.999,0.0,-3.6093333333333333,-21.356387096774192,-32.63016129032258,-60.229400000000005,-142.3451935483871,-265.79766666666666,-409.8246,0.0,0.0,0.7117096774193548,2.390129032258064,0.9065333333333333,1.2284193548387097,0.39333333333333337,1.1506,0.0,11546919.0,10604112.14516129,12641931.887096774,16836935.033333335,20905927.419354837,26322381.366666667,26415527.6,0.0,12.002,11.339967741935483,10.339290322580647,13.413633333333333,16.182548387096773,18.343200000000003,19.014,0.0,22.483999999999998,17.768,16.330870967741937,19.444533333333332,22.636354838709675,25.359166666666667,25.737800000000004,0.0,5.205,6.2826129032258065,5.915741935483871,9.2362,11.575774193548387,13.385700000000002,14.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,21.0,21.0,23.0,25.0,17.0,0.0,206.945,411.517,601.674,757.773,877.487,978.847,0.0,2.548,5.069,7.477,8.971,10.589,11.744,0.0,3.6953333333333336,3.823967741935484,4.154612903225806,3.9929666666666668,3.8369354838709677,3.4879666666666664,3.37372,6.0
ZA-A1-0002,12.173,1.457,2004,1118.6680000000001,0.0,12.146,59.376000000000005,170.69,377.788,605.79,879.293,495.47,0.0,0.055999999999999994,34.978,88.186,142.641,267.112,353.798,-331.53183333333334,0.0,-8.31,-37.03067741935484,-97.0044,-185.02293548387098,-246.92296666666667,-304.1407096774194,5.903,0.0,0.013999999999999999,1.126516129032258,1.7735999999999998,1.7566129032258064,4.149033333333334,2.7963225806451617,23024599.645833332,0.0,13907170.5,15304555.161290323,17618944.95,23212841.741935484,22591554.133333333,25861427.741935484,19.973958333333332,0.0,13.0365,10.167516129032258,13.288,16.539709677419356,17.600066666666667,18.82267741935484,26.0925,0.0,22.2215,17.518354838709676,20.40716666666667,24.410225806451614,24.3471,26.151903225806453,15.300666666666666,0.0,6.4405,4.744645161290323,7.9576,10.493967741935483,12.198133333333335,13.021354838709676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,22.0,18.0,19.0,10.0,13.0,652.85,0.0,94.679,187.275,289.485,400.945,517.553,9.143,0.355,1.746,3.183,4.331,6.022,7.709,4.7251666666666665,0.0,4.1415,4.420193548387097,4.489833333333333,4.151709677419355,4.409433333333334,4.365870967741936,4.0
ZA-A1-0003,11.357,1.479,2004,1752.654,0.0,39.846000000000004,111.628,326.112,684.831,1091.667,1565.8029999999999,200.19,0.0,0.122,7.314,25.642999999999997,46.702,111.622,139.652,-868.6451666666667,0.0,-26.88475,-104.51816129032258,-231.06696666666667,-394.25912903225804,-558.0043666666667,-743.3757096774194,5.044833333333333,0.0,0.007625,0.232,0.6109666666666667,0.6793225806451614,2.164,0.9041935483870968,25545611.666666668,0.0,14969763.75,17253627.80645161,20793709.533333335,24607398.322580647,26472948.466666665,30116698.19354839,25.570916666666665,0.0,12.24625,11.31258064516129,17.14946666666667,21.57158064516129,23.5612,25.294709677419355,33.16683333333334,0.0,22.512249999999998,19.91245161290323,25.425400000000003,29.808225806451613,31.358099999999997,33.374709677419354,19.540666666666667,0.0,5.094375,5.029129032258064,10.6174,14.787774193548387,17.092066666666668,18.051483870967743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,4.0,0.0,16.0,28.0,26.0,25.0,21.0,23.0,704.648,27.41,133.229,275.34000000000003,421.023,533.722,626.373,7.5,0.5469999999999999,1.8319999999999999,3.36,4.478,5.695,6.84,2.6491666666666664,0.0,2.2498125,2.422483870967742,2.1965333333333334,1.7100967741935482,2.333766666666667,1.7539354838709678,10.065
ZA-A1-0004,10.879,1.535,2004,1472.734,0.0,2.4380000000000006,45.152,231.356,525.536,826.534,1208.556,370.327,0.0,0.0,11.399000000000001,22.519000000000002,53.613,175.756,254.372,-610.1346666666667,0.0,-3.098,-47.937612903225805,-177.05973333333336,-334.09754838709677,-424.3209,-541.4551612903226,4.831458333333333,0.0,0.0,0.36770967741935484,0.37066666666666664,1.0030322580645161,4.071433333333333,2.536,23915169.0,0.0,15364765.0,17828247.19354839,20785750.733333334,23939358.70967742,24875440.733333334,28123653.096774194,21.007416666666668,0.0,12.438,10.200032258064518,16.2068,19.456290322580646,20.03326666666667,22.323290322580647,27.96225,0.0,22.133,18.54722580645161,24.23936666666667,27.417580645161287,27.701733333333333,30.434387096774195,16.248833333333334,0.0,5.392,4.393354838709678,9.8553,12.774225806451613,14.313966666666666,15.560387096774194,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,27.0,28.0,21.0,10.0,20.0,416.17,0.0,54.434,107.38,162.527,229.002,311.289,5.9670000000000005,0.0,0.894,1.791,2.474,3.552,4.824,4.203041666666667,0.0,2.892,3.391161290322581,3.0473333333333334,2.7188709677419354,4.009266666666666,2.970548387096774,3.106
ZA-A1-0005,11.833,1.422,2004,1342.309,0.0,0.0,78.018,241.789,489.688,744.434,1048.906,574.819,0.0,0.0,21.303,72.526,115.461,283.88800000000003,404.08,-258.28255172413793,0.0,0.0,-34.93245161290322,-114.01103333333334,-201.57632258064515,-234.6569333333333,-247.4559677419355,5.887551724137931,0.0,0.0,0.6871935483870968,1.7074333333333334,1.385,5.614233333333334,3.8771612903225807,21613986.172413792,0.0,0.0,16436211.983870968,17059536.883333333,21679792.258064516,20634010.233333334,24547843.903225806,20.11734482758621,0.0,0.0,11.919064516129032,15.2826,17.886451612903226,18.491533333333333,19.821677419354838,26.361448275862067,0.0,0.0,19.837580645161292,22.644,25.71406451612903,25.267233333333333,27.376032258064516,15.780379310344829,0.0,0.0,6.152225806451613,9.689766666666666,11.795709677419355,13.4956,14.234903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,14.0,17.0,7.0,8.0,648.334,0.0,84.734,162.256,243.136,346.038,480.512,9.78,0.0,1.283,2.574,3.6310000000000002,5.344,7.356,5.663724137931034,0.0,0.0,4.950129032258065,5.0732,4.615225806451613,5.375066666666667,5.367645161290322,4.902
ZA-A1-0006,11.462,1.491,2004,1666.302,0.0,7.145000000000001,77.541,309.042,644.247,971.672,1377.609,311.392,0.0,0.0,4.416,9.315,62.784,165.035,219.941,-720.30992,0.0,-5.922,-64.98722580645162,-214.71843333333334,-380.3200967741936,-487.07786666666664,-615.7319354838709,3.6580399999999997,0.0,0.0,0.1424516129032258,0.1633,1.7248064516129034,3.4083666666666668,1.7711612903225806,24128301.36,0.0,16602249.0,18531121.70967742,21825825.366666667,23810472.822580647,24923912.9,28345701.967741936,21.547719999999998,0.0,13.572500000000002,11.475935483870968,17.7167,20.724,20.914166666666667,23.09474193548387,27.90908,0.0,22.924999999999997,19.808677419354837,25.535866666666667,28.05990322580645,27.987833333333334,30.55793548387097,17.00028,0.0,7.464,5.63958064516129,11.616666666666667,14.717548387096773,15.649399999999998,16.7471935483871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,29.0,29.0,22.0,10.0,21.0,392.907,0.0,52.569,101.779,152.157,213.7,289.908,6.29,0.0,0.871,1.732,2.371,3.451,4.68,3.29648,0.0,2.0725,2.3433225806451614,2.085366666666667,2.3569677419354838,3.2971666666666666,2.477451612903226,2.697
ZA-A1-0007,10.142,1.543,2004,1498.526,0.0,2.5589999999999993,64.034,270.321,573.25,863.453,1235.284,407.853,0.0,0.0,6.82,15.491999999999999,78.252,197.527,269.965,-578.4848076923076,0.0,-3.228,-56.3693870967742,-196.79123333333334,-348.38825806451615,-420.8004,-527.8868064516129,5.303384615384616,0.0,0.0,0.22,0.2890666666666667,2.024516129032258,3.9758333333333336,2.3367096774193548,23217548.46153846,0.0,16931590.0,18438118.677419353,21641898.933333334,23437311.93548387,24439863.866666667,27382505.677419353,20.124692307692307,0.0,12.559,11.201806451612903,16.87623333333333,19.58683870967742,19.67343333333333,21.994548387096774,26.23130769230769,0.0,22.177,19.523451612903227,24.9531,27.038903225806454,26.675766666666668,29.36416129032258,15.68723076923077,0.0,6.004,5.267129032258064,10.452566666666666,13.51083870967742,14.3912,16.01390322580645,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,27.0,27.0,21.0,11.0,20.0,447.75600000000003,0.0,47.787,93.806,143.457,213.552,312.742,7.164,0.0,0.906,1.792,2.484,3.732,5.265,4.059115384615384,0.0,3.162,3.288838709677419,2.8117333333333336,3.047774193548387,3.8891,3.2032580645161293,3.712
ZA-A1-0008,11.381,1.507,2004,1313.57,0.0,0.0,49.264,217.94899999999998,479.42,730.444,1054.884,473.986,0.0,0.0,8.798,31.197,90.511,222.391,315.983,-431.3420357142857,0.0,0.0,-45.001586206896555,-163.94993333333332,-294.6645161290323,-348.9424333333333,-413.9533548387097,5.642964285714286,0.0,0.0,0.30337931034482757,0.7466333333333334,1.9133548387096775,4.396,3.019096774193548,23146419.464285713,0.0,0.0,18398527.0,20573436.8,22776919.548387095,22918161.533333335,26441551.35483871,19.238785714285715,0.0,0.0,10.855413793103448,15.5618,18.16625806451613,18.367466666666665,20.465806451612906,25.50332142857143,0.0,0.0,19.27648275862069,23.7453,25.974096774193548,25.361633333333334,28.004,15.071607142857143,0.0,0.0,4.728931034482759,9.383866666666668,12.04358064516129,13.3725,14.833451612903225,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,24.0,20.0,10.0,13.0,515.794,0.0,33.518,82.407,136.431,221.172,348.006,8.323,0.0,0.935,1.882,2.629,4.068,5.914,5.4165,0.0,0.0,4.095137931034483,3.6090333333333335,3.6834193548387097,4.9906,4.157709677419355,4.027
ZA-A1-0009,12.851,1.516,2004,2134.2799999999997,0.0,9.879,184.28,488.88,887.889,1293.3899999999999,1760.376,283.056,0.0,0.037,0.496,9.814,67.239,121.634,186.836,-733.1655555555556,0.0,-4.753,-68.08958064516129,-208.07766666666666,-363.2117741935484,-490.40976666666666,-634.1296129032258,3.5637037037037036,0.0,0.0185,0.014806451612903225,0.3106,1.8524193548387098,1.8131666666666668,2.103290322580645,23415146.444444444,0.0,17112172.5,18832858.387096774,21690674.733333334,23226449.580645163,23808343.333333332,25504440.548387095,23.848296296296297,0.0,14.939499999999999,15.624903225806452,20.153333333333332,22.87125806451613,23.5167,25.064064516129033,29.78751851851852,0.0,23.4605,23.716870967741933,27.8595,30.09248387096774,30.3583,32.073193548387096,19.434962962962963,0.0,8.9795,9.179903225806452,13.558233333333334,16.73441935483871,18.266366666666666,19.540612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,10.0,0.0,2.0,31.0,27.0,23.0,19.0,17.0,485.254,0.0,67.182,131.477,194.876,271.123,367.01300000000003,7.205,0.0,1.025,2.026,2.773,3.984,5.472,3.763888888888889,0.0,2.894,2.687193548387097,2.4635666666666665,2.8763548387096773,3.1827666666666667,2.974741935483871,2.879
ZA-A1-0002,12.173,1.457,2005,1186.5430000000001,0.0,0.0,82.44,182.12,371.247,650.6990000000001,955.0740000000001,667.549,0.0,2.501,30.502,142.536,208.78900000000002,313.984,498.755,-132.29952,0.0,-3.8866666666666667,-42.544774193548385,-83.7103,-105.6414193548387,-174.89373333333333,-175.79222580645163,6.751760000000001,0.0,0.8336666666666667,0.9032580645161291,3.734466666666667,2.137193548387097,3.5065,5.960354838709677,21725456.28,0.0,14569729.0,14736876.258064516,18303744.525,20978344.83870968,23490560.766666666,23487028.19354839,19.25876,0.0,7.3886666666666665,12.354032258064517,12.576266666666667,16.05916129032258,19.315066666666667,19.818548387096776,25.255,0.0,14.841333333333333,19.65351612903226,19.725266666666666,22.962,26.275266666666667,26.274967741935484,15.041680000000001,0.0,2.343,6.675741935483871,7.114766666666667,10.434709677419354,13.9778,14.879548387096774,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,26.0,20.0,17.0,9.0,8.0,770.889,0.0,97.37,200.254,321.076,457.161,605.774,10.746,0.0,1.439,2.9619999999999997,4.7829999999999995,6.265,8.426,4.95,0.0,4.629666666666667,4.422064516129033,4.5738666666666665,4.569,4.309866666666666,4.545709677419355,4.75
