country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,hardcode,cnn1d,baseline,60,1,42,train,0.1515,16.1647,0.9323,0.8686,0.8289
ZA,hardcode,cnn1d,baseline,60,1,42,test,0.1777,21.2214,0.8699,0.5413,0.7135
ZA,hardcode,cnn1d,baseline,60,2,1051,train,0.1466,15.3559,0.9389,0.8814,0.8398
ZA,hardcode,cnn1d,baseline,60,2,1051,test,0.1803,22.4621,0.8476,0.4861,0.6851
ZA,hardcode,cnn1d,baseline,60,3,2060,train,0.143,15.2027,0.9403,0.8838,0.8357
ZA,hardcode,cnn1d,baseline,60,3,2060,test,0.184,22.7728,0.8502,0.4718,0.6755
ZA,hardcode,cnn1d,baseline,60,4,3069,train,0.1446,15.3191,0.9409,0.882,0.8347
ZA,hardcode,cnn1d,baseline,60,4,3069,test,0.1819,21.0845,0.8621,0.5472,0.7292
ZA,hardcode,cnn1d,baseline,60,5,4078,train,0.1542,16.8131,0.9273,0.8578,0.8219
ZA,hardcode,cnn1d,baseline,60,5,4078,test,0.1764,20.678,0.8793,0.5645,0.7196
