country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,hardcode,xgboost,baseline,60,1,42,train,0.0019,0.2163,1.0,1.0,0.9982
ZA,hardcode,xgboost,baseline,60,1,42,test,0.1782,23.4845,0.8588,0.4383,0.7167
ZA,hardcode,xgboost,baseline,60,2,1051,train,0.0019,0.2245,1.0,1.0,0.9982
ZA,hardcode,xgboost,baseline,60,2,1051,test,0.1774,24.3179,0.8359,0.3977,0.6874
ZA,hardcode,xgboost,baseline,60,3,2060,train,0.0021,0.2368,1.0,1.0,0.9981
ZA,hardcode,xgboost,baseline,60,3,2060,test,0.1773,24.0554,0.8458,0.4106,0.6993
ZA,hardcode,xgboost,baseline,60,4,3069,train,0.002,0.2304,1.0,1.0,0.9981
ZA,hardcode,xgboost,baseline,60,4,3069,test,0.1775,24.7641,0.827,0.3754,0.7033
ZA,hardcode,xgboost,baseline,60,5,4078,train,0.002,0.2236,1.0,1.0,0.9981
ZA,hardcode,xgboost,baseline,60,5,4078,test,0.172,23.6904,0.8407,0.4284,0.7036
