country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.0962,10.1664,0.9739,0.948,0.9223
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.1918,20.9858,0.927,0.5515,0.6638
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.0962,10.1664,0.9739,0.948,0.9223
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.1918,20.9858,0.927,0.5515,0.6638
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.0962,10.1664,0.9739,0.948,0.9223
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.1918,20.9858,0.927,0.5515,0.6638
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.0962,10.1664,0.9739,0.948,0.9223
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,4,3069,test,0.1918,20.9858,0.927,0.5515,0.6638
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,5,4078,train,0.0962,10.1664,0.9739,0.948,0.9223
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,5,4078,test,0.1918,20.9858,0.927,0.5515,0.6638
