country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.2033,19.4434,0.9043,0.8099,0.8219
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.2009,23.6543,0.8467,0.4301,0.5872
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.2035,19.0704,0.9041,0.8171,0.8367
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.1984,22.7884,0.8506,0.4711,0.7018
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.2038,19.6019,0.9012,0.8067,0.814
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.1884,21.7849,0.8546,0.5166,0.6968
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.2228,21.838,0.8723,0.7601,0.8028
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,4,3069,test,0.1941,22.6309,0.8239,0.4784,0.6708
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,5,4078,train,0.2167,22.7439,0.8861,0.7398,0.7207
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,5,4078,test,0.1862,21.758,0.8574,0.5178,0.679
