country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,train,0.0927,9.8878,0.9752,0.9508,0.9223
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,1,42,test,0.1855,21.5882,0.9122,0.5253,0.6356
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,train,0.0927,9.8878,0.9752,0.9508,0.9223
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,2,1051,test,0.1855,21.5882,0.9122,0.5253,0.6356
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,train,0.0927,9.8878,0.9752,0.9508,0.9223
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,3,2060,test,0.1855,21.5882,0.9122,0.5253,0.6356
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,train,0.0927,9.8878,0.9752,0.9508,0.9223
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,4,3069,test,0.1855,21.5882,0.9122,0.5253,0.6356
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,train,0.0927,9.8878,0.9752,0.9508,0.9223
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,5,4078,test,0.1855,21.5882,0.9122,0.5253,0.6356
