country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,train,0.0465,5.3012,0.9932,0.9859,0.9596
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,1,42,test,0.1669,19.3508,0.932,0.6186,0.7687
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,train,0.0465,5.3012,0.9932,0.9859,0.9596
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,2,1051,test,0.1669,19.3508,0.932,0.6186,0.7687
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,train,0.0465,5.3012,0.9932,0.9859,0.9596
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,3,2060,test,0.1669,19.3508,0.932,0.6186,0.7687
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,train,0.0465,5.3012,0.9932,0.9859,0.9596
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,4,3069,test,0.1669,19.3508,0.932,0.6186,0.7687
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,train,0.0465,5.3012,0.9932,0.9859,0.9596
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,5,4078,test,0.1669,19.3508,0.932,0.6186,0.7687
