country,advisor,model,candidate_id,selected_k,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,hardcode,ridge,baseline,60,1,42,train,0.1079,13.2429,0.8093,0.6546,0.7209
CN,hardcode,ridge,baseline,60,1,42,test,0.1006,11.9918,0.8484,0.6043,0.7649
CN,hardcode,ridge,baseline,60,2,1051,train,0.1079,13.2429,0.8093,0.6546,0.7209
CN,hardcode,ridge,baseline,60,2,1051,test,0.1006,11.9918,0.8484,0.6043,0.7649
CN,hardcode,ridge,baseline,60,3,2060,train,0.1079,13.2429,0.8093,0.6546,0.7209
CN,hardcode,ridge,baseline,60,3,2060,test,0.1006,11.9918,0.8484,0.6043,0.7649
CN,hardcode,ridge,baseline,60,4,3069,train,0.1079,13.2429,0.8093,0.6546,0.7209
CN,hardcode,ridge,baseline,60,4,3069,test,0.1006,11.9918,0.8484,0.6043,0.7649
CN,hardcode,ridge,baseline,60,5,4078,train,0.1079,13.2429,0.8093,0.6546,0.7209
CN,hardcode,ridge,baseline,60,5,4078,test,0.1006,11.9918,0.8484,0.6043,0.7649
CN,hardcode,xgboost,baseline,60,1,42,train,0.0177,2.1317,0.9962,0.991,0.9604
CN,hardcode,xgboost,baseline,60,1,42,test,0.0952,11.3686,0.8918,0.6444,0.8013
CN,hardcode,xgboost,baseline,60,2,1051,train,0.0177,2.1312,0.9962,0.9911,0.9605
CN,hardcode,xgboost,baseline,60,2,1051,test,0.0925,11.2096,0.894,0.6542,0.8028
CN,hardcode,xgboost,baseline,60,3,2060,train,0.0181,2.1765,0.996,0.9907,0.9605
CN,hardcode,xgboost,baseline,60,3,2060,test,0.097,11.7711,0.885,0.6187,0.8078
CN,hardcode,xgboost,baseline,60,4,3069,train,0.0181,2.1898,0.996,0.9906,0.9595
CN,hardcode,xgboost,baseline,60,4,3069,test,0.0946,11.2294,0.9005,0.653,0.8043
CN,hardcode,xgboost,baseline,60,5,4078,train,0.0178,2.1488,0.9961,0.9909,0.9602
CN,hardcode,xgboost,baseline,60,5,4078,test,0.0951,11.3509,0.8967,0.6455,0.805
CN,hardcode,svr,baseline,60,1,42,train,0.0594,9.0987,0.9165,0.8369,0.8359
CN,hardcode,svr,baseline,60,1,42,test,0.0921,11.0636,0.8679,0.6632,0.808
CN,hardcode,svr,baseline,60,2,1051,train,0.0594,9.0987,0.9165,0.8369,0.8359
CN,hardcode,svr,baseline,60,2,1051,test,0.0921,11.0636,0.8679,0.6632,0.808
CN,hardcode,svr,baseline,60,3,2060,train,0.0594,9.0987,0.9165,0.8369,0.8359
CN,hardcode,svr,baseline,60,3,2060,test,0.0921,11.0636,0.8679,0.6632,0.808
CN,hardcode,svr,baseline,60,4,3069,train,0.0594,9.0987,0.9165,0.8369,0.8359
CN,hardcode,svr,baseline,60,4,3069,test,0.0921,11.0636,0.8679,0.6632,0.808
CN,hardcode,svr,baseline,60,5,4078,train,0.0594,9.0987,0.9165,0.8369,0.8359
CN,hardcode,svr,baseline,60,5,4078,test,0.0921,11.0636,0.8679,0.6632,0.808
CN,hardcode,cnn1d,baseline,60,1,42,train,0.1352,15.8136,0.7553,0.5074,0.7186
CN,hardcode,cnn1d,baseline,60,1,42,test,0.1105,13.2234,0.7325,0.5189,0.6737
CN,hardcode,cnn1d,baseline,60,2,1051,train,0.1452,16.9931,0.6792,0.4312,0.5534
CN,hardcode,cnn1d,baseline,60,2,1051,test,0.1166,13.2514,0.736,0.5168,0.5984
CN,hardcode,cnn1d,baseline,60,3,2060,train,0.139,15.6668,0.7837,0.5165,0.68
CN,hardcode,cnn1d,baseline,60,3,2060,test,0.1116,12.8318,0.7881,0.5469,0.7138
CN,hardcode,cnn1d,baseline,60,4,3069,train,0.1467,16.5979,0.7919,0.4574,0.7364
CN,hardcode,cnn1d,baseline,60,4,3069,test,0.1044,12.3799,0.7662,0.5783,0.6556
CN,hardcode,cnn1d,baseline,60,5,4078,train,0.139,16.2237,0.7168,0.4816,0.6351
CN,hardcode,cnn1d,baseline,60,5,4078,test,0.1132,13.424,0.772,0.5042,0.7092
CN,hardcode,transformer_flat,baseline,60,1,42,train,0.1484,17.7524,0.661,0.3793,0.6335
CN,hardcode,transformer_flat,baseline,60,1,42,test,0.1066,13.749,0.7919,0.4798,0.6532
CN,hardcode,transformer_flat,baseline,60,2,1051,train,0.1446,17.4046,0.657,0.4033,0.6034
CN,hardcode,transformer_flat,baseline,60,2,1051,test,0.1019,13.2189,0.7404,0.5192,0.6159
CN,hardcode,transformer_flat,baseline,60,3,2060,train,0.1361,16.3809,0.6989,0.4715,0.4987
CN,hardcode,transformer_flat,baseline,60,3,2060,test,0.0993,12.7715,0.7931,0.5512,0.6737
CN,hardcode,transformer_flat,baseline,60,4,3069,train,0.1472,17.3438,0.6644,0.4075,0.5519
CN,hardcode,transformer_flat,baseline,60,4,3069,test,0.0957,12.5686,0.7695,0.5653,0.6405
CN,hardcode,transformer_flat,baseline,60,5,4078,train,0.1492,18.1459,0.616,0.3514,0.5319
CN,hardcode,transformer_flat,baseline,60,5,4078,test,0.0996,13.2803,0.7811,0.5147,0.6174
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,1,42,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,2,1051,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,train,0.1091,13.4297,0.8032,0.6448,0.7138
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,3,2060,test,0.1068,12.9049,0.8402,0.5418,0.7606
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,4,3069,train,0.1091,13.4297,0.8032,0.6448,0.7138
