country,advisor,model,candidate_id,selected_k,split,mape_mean,normalized_rmse_mean,r_mean,r2_mean,kge_mean,mape_variance,normalized_rmse_variance,r_variance,r2_variance,kge_variance
CN,hardcode,cnn1d,baseline,60,test,0.11126,13.0221,0.75896,0.53302,0.67014,2.0008E-05,0.17581468,0.000574723,0.000883997,0.002200648
CN,hardcode,cnn1d,baseline,60,train,0.14102,16.25902,0.74538,0.47882,0.6647,2.2942E-05,0.301021027,0.002231887,0.001242702,0.00538601
CN,hardcode,ridge,baseline,60,test,0.1006,11.9918,0.8484,0.6043,0.7649,0,0,0,0,0
CN,hardcode,ridge,baseline,60,train,0.1079,13.2429,0.8093,0.6546,0.7209,0,0,0,0,0
CN,hardcode,svr,baseline,60,test,0.0921,11.0636,0.8679,0.6632,0.808,0,0,0,0,0
CN,hardcode,svr,baseline,60,train,0.0594,9.0987,0.9165,0.8369,0.8359,0,0,0,0,0
CN,hardcode,transformer_flat,baseline,60,test,0.10062,13.11766,0.7752,0.52604,0.64014,0.000016097,0.214146283,0.00046941,0.001121973,0.000600413
CN,hardcode,transformer_flat,baseline,60,train,0.1451,17.40552,0.65946,0.4026,0.56388,0.00002834,0.430536157,0.000869278,0.00198401,0.002955862
CN,hardcode,xgboost,baseline,60,test,0.09488,11.38592,0.8936,0.64316,0.80424,0.000002597,0.051369317,0.000033645,0.000206003,5.993E-06
CN,hardcode,xgboost,baseline,60,train,0.01788,2.1556,0.9961,0.99086,0.96022,4.2E-08,0.000704815,1E-08,4.3E-08,1.77E-07
CN,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,test,0.1086,12.84826,0.76996,0.54512,0.69348,9.515E-06,0.299657513,0.000120468,0.001501157,0.000172577
CN,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,train,0.14016,16.04304,0.75892,0.4907,0.66706,0.000187258,1.470480743,0.000885807,0.006203015,0.003917618
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,test,0.1068,12.9049,0.8402,0.5418,0.7606,0,0,0,0,0
CN,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,train,0.1091,13.4297,0.8032,0.6448,0.7138,0,0,0,0,0
CN,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,test,0.0948,11.4487,0.8597,0.6393,0.7871,0,0,0,0,0
