country,model,hardcode,qwen_base,qwen_rag
CN,cnn1d,13.0221,12.84826,12.802000000000001
CN,ridge,11.9918,12.904900000000001,12.9881
CN,svr,11.0636,11.4487,10.4796
CN,transformer_flat,13.11766,12.72242,12.49992
CN,xgboost,11.38592,12.03464,11.283100000000001
MX,cnn1d,54.835159999999995,57.928380000000004,50.4675
MX,ridge,41.303,56.42229999999999,44.4077
MX,svr,40.5392,41.9447,37.6104
MX,transformer_flat,75.07336000000001,75.27914,73.92411999999999
MX,xgboost,47.67924000000001,48.110400000000006,45.69432
PT,cnn1d,30.51032,31.518340000000002,31.173099999999998
PT,ridge,27.590899999999998,27.555799999999998,28.297500000000003
PT,svr,27.074400000000004,28.6758,27.036700000000003
PT,transformer_flat,34.604499999999994,34.548320000000004,34.419920000000005
PT,xgboost,28.51206,27.98646,26.5302
ZA,cnn1d,21.64376,23.5675,21.75848
ZA,ridge,19.9417,20.9858,21.5882
ZA,svr,21.5262,21.4245,19.3508
ZA,transformer_flat,21.94782,22.5233,21.68956
ZA,xgboost,24.062459999999998,21.78554,23.48056
