country,model,hardcode,qwen_base,qwen_rag
CN,cnn1d,0.53302,0.54512,0.54864
CN,ridge,0.6043,0.5418,0.5358
CN,svr,0.6632,0.6393,0.6978
CN,transformer_flat,0.5260400000000001,0.55442,0.5698000000000001
CN,xgboost,0.64316,0.60136,0.64968
MX,cnn1d,0.4843,0.42588,0.56458
MX,ridge,0.7084,0.4559,0.6629
MX,svr,0.7191,0.6993,0.7582
MX,transformer_flat,0.03608,0.030160000000000003,0.06526
MX,xgboost,0.61104,0.60384,0.64286
PT,cnn1d,0.21556000000000003,0.16426000000000002,0.18231999999999998
PT,ridge,0.3599,0.3615,0.3266
PT,svr,0.3836,0.3085,0.3853
PT,transformer_flat,-0.0128,-0.010619999999999996,-0.00272
PT,xgboost,0.31626000000000004,0.34102,0.40793999999999997
ZA,cnn1d,0.52218,0.43343999999999994,0.51738
ZA,ridge,0.595,0.5515,0.5253
ZA,svr,0.5281,0.5325,0.6186
ZA,transformer_flat,0.5093,0.48279999999999995,0.5205200000000001
ZA,xgboost,0.41008000000000006,0.5163599999999999,0.43844000000000005
