country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,1,42,train,0.0218,3.2398,0.9901,0.9793,0.9615
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,1,42,test,0.0597,7.1633,0.9538,0.8588,0.9254
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,2,1051,train,0.0223,3.4411,0.9887,0.9767,0.9619
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,2,1051,test,0.0595,7.0259,0.9555,0.8642,0.9254
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,3,2060,train,0.0239,3.6501,0.9873,0.9738,0.9567
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,3,2060,test,0.0597,7.166,0.9527,0.8587,0.9241
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,4,3069,train,0.0229,3.4906,0.9884,0.976,0.9586
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,4,3069,test,0.0582,6.8969,0.9566,0.8691,0.929
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,5,4078,train,0.0236,3.6099,0.9875,0.9743,0.9601
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,5,4078,test,0.0589,6.9802,0.9563,0.8659,0.9238
