country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,1,42,train,0.0227,3.6209,0.9878,0.9742,0.955
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,1,42,test,0.0572,6.8851,0.9551,0.8696,0.9247
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,2,1051,train,0.0231,3.6948,0.9872,0.9731,0.9557
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,2,1051,test,0.0579,6.9057,0.9547,0.8688,0.9228
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,3,2060,train,0.0246,3.8818,0.9861,0.9703,0.9474
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,3,2060,test,0.0586,7.0846,0.9523,0.8619,0.923
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,4,3069,train,0.0233,3.6802,0.9874,0.9733,0.9536
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,4,3069,test,0.057,6.7467,0.9569,0.8748,0.9274
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,5,4078,train,0.0242,3.7887,0.9866,0.9717,0.9546
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,5,4078,test,0.0575,6.8747,0.9556,0.87,0.9227
