country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,1,42,train,0.0139,1.7734,0.9997,0.9992,0.9862
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,1,42,test,0.3319,28.5339,0.9453,0.8608,0.7779
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,2,1051,train,0.0159,2.1376,0.9996,0.9989,0.9812
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,2,1051,test,0.3128,29.3115,0.9386,0.8532,0.7765
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,3,2060,train,0.015,2.0109,0.9996,0.999,0.9846
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,3,2060,test,0.3172,28.0633,0.9469,0.8654,0.7743
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,4,3069,train,0.0164,1.9312,0.9997,0.9991,0.9839
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,4,3069,test,0.2926,27.4675,0.9485,0.871,0.7822
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,5,4078,train,0.0153,1.9207,0.9997,0.9991,0.984
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,5,4078,test,0.3328,29.7554,0.938,0.8487,0.7785
