country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,1,42,train,0.0196,2.1763,0.9997,0.9988,0.9745
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,1,42,test,0.33,28.2831,0.948,0.8633,0.7754
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,2,1051,train,0.0201,2.3545,0.9997,0.9986,0.9727
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,2,1051,test,0.3074,28.4033,0.9451,0.8621,0.7754
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,3,2060,train,0.0202,2.2223,0.9997,0.9988,0.9749
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,3,2060,test,0.3103,27.4603,0.9516,0.8711,0.7726
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,4,3069,train,0.021,2.2103,0.9997,0.9988,0.9731
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,4,3069,test,0.3006,28.1752,0.9453,0.8643,0.7806
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,5,4078,train,0.0206,2.2569,0.9997,0.9987,0.9735
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,5,4078,test,0.3215,29.1836,0.9423,0.8544,0.7736
