country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,1,42,train,0.0218,3.2398,0.9901,0.9793,0.9615
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,1,42,test,0.0597,7.1633,0.9538,0.8588,0.9254
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,2,1051,train,0.0223,3.4411,0.9887,0.9767,0.9619
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,2,1051,test,0.0595,7.0259,0.9555,0.8642,0.9254
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,3,2060,train,0.0239,3.6501,0.9873,0.9738,0.9567
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,3,2060,test,0.0597,7.166,0.9527,0.8587,0.9241
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,4,3069,train,0.0229,3.4906,0.9884,0.976,0.9586
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,4,3069,test,0.0582,6.8969,0.9566,0.8691,0.929
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,5,4078,train,0.0236,3.6099,0.9875,0.9743,0.9601
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,5,4078,test,0.0589,6.9802,0.9563,0.8659,0.9238
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,1,42,train,0.0227,3.6209,0.9878,0.9742,0.955
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,1,42,test,0.0572,6.8851,0.9551,0.8696,0.9247
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,2,1051,train,0.0231,3.6948,0.9872,0.9731,0.9557
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,2,1051,test,0.0579,6.9057,0.9547,0.8688,0.9228
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,3,2060,train,0.0246,3.8818,0.9861,0.9703,0.9474
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,3,2060,test,0.0586,7.0846,0.9523,0.8619,0.923
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,4,3069,train,0.0233,3.6802,0.9874,0.9733,0.9536
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,4,3069,test,0.057,6.7467,0.9569,0.8748,0.9274
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,5,4078,train,0.0242,3.7887,0.9866,0.9717,0.9546
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,5,4078,test,0.0575,6.8747,0.9556,0.87,0.9227
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,1,42,train,0.0151,2.1713,0.9989,0.9976,0.978
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,1,42,test,0.1608,18.245,0.9422,0.661,0.7252
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,2,1051,train,0.0187,2.7205,0.9982,0.9963,0.9741
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,2,1051,test,0.1594,18.168,0.937,0.6638,0.7191
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,3,2060,train,0.0151,2.2514,0.9988,0.9975,0.9783
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,3,2060,test,0.1641,18.6639,0.9409,0.6452,0.7206
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,4,3069,train,0.0147,2.1387,0.9989,0.9977,0.9786
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,4,3069,test,0.1635,18.5436,0.9425,0.6498,0.7211
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,5,4078,train,0.0148,2.185,0.9989,0.9976,0.9786
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,5,4078,test,0.1621,18.1276,0.9475,0.6653,0.7284
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,1,42,train,0.0153,2.0434,0.9992,0.9979,0.9753
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,1,42,test,0.156,17.7881,0.9418,0.6777,0.736
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,2,1051,train,0.0182,2.4729,0.9988,0.9969,0.9722
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,2,1051,test,0.1562,17.7236,0.9344,0.6801,0.7236
