country,model,checkpoint_sha256,test_years,n_features,split,mape_mean,normalized_rmse_mean,r_mean,r2_mean,kge_mean,mape_variance,normalized_rmse_variance,r_variance,r2_variance,kge_variance
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,test,0.059199999999999996,7.046460000000001,0.9549799999999999,0.86334,0.92554,4.2000000000000085e-07,0.013780673000000014,2.807000000000037e-06,2.065300000000032e-05,4.278000000000111e-06
CN,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2020;2021;2022,100,train,0.0229,3.4863,0.9884000000000001,0.9760199999999999,0.95976,7.649999999999992e-07,0.02623279500000007,1.250000000000039e-06,4.776999999999949e-06,4.607999999999923e-06
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,test,0.057640000000000004,6.89936,0.9549199999999999,0.8690200000000001,0.9241199999999999,4.029999999999984e-07,0.014617648000000065,2.8319999999999205e-06,2.1361999999999868e-05,4.02700000000004e-06
CN,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2020;2021;2022,100,train,0.02358,3.7332799999999997,0.98702,0.97252,0.95326,6.269999999999995e-07,0.010514257000000016,4.5200000000003756e-07,2.3419999999997973e-06,1.1307999999999823e-05
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,test,0.31745999999999996,28.62632,0.94346,0.85982,0.77788,0.0002709079999999996,0.8531725119999995,2.3513000000000176e-05,8.114199999999992e-05,8.442000000000044e-06
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,train,0.0153,1.9547599999999998,0.9996600000000001,0.9990600000000001,0.9839800000000001,9.050000000000014e-07,0.01779719299999998,2.999999999999894e-09,1.2999999999997691e-08,3.262000000000087e-06
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,test,0.31396,28.3011,0.9464600000000001,0.86304,0.77552,0.000137263,0.3780926349999989,1.2322999999999777e-05,3.553799999999963e-05,9.51199999999997e-06
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,train,0.020300000000000002,2.24406,0.9997,0.9987400000000001,0.97374,2.800000000000006e-07,0.00464162799999999,0.0,7.999999999998793e-09,8.680000000000176e-07
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,test,0.20228000000000002,25.61578,0.87456,0.44802,0.68618,2.244699999999995e-05,0.3066408770000003,1.8357999999999945e-05,0.0005752870000000002,8.763199999999948e-05
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,train,0.00984,1.73488,0.9991999999999999,0.99828,0.9877800000000001,1.2800000000000033e-07,0.009465287000000017,4.999999999998898e-09,4.7000000000011485e-08,3.470000000000406e-07
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,test,0.1967,25.073900000000002,0.883,0.47115999999999997,0.68914,1.596499999999995e-05,0.25211627999999986,2.429500000000012e-05,0.0004521329999999999,8.35230000000009e-05
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,train,0.01304,1.9849800000000002,0.99908,0.9977600000000001,0.97826,8.679999999999994e-07,0.008820766999999998,1.1999999999998235e-08,4.799999999999831e-08,1.2730000000000298e-06
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,test,0.16197999999999999,18.34962,0.94202,0.6570199999999999,0.72288,3.71700000000004e-06,0.057406052000000464,1.4187000000000042e-05,8.055199999999975e-05,1.462699999999996e-05
ZA,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2017;2018;2019;2020;2021;2022,112,train,0.01568,2.29338,0.9987400000000001,0.99734,0.97752,2.8820000000000022e-06,0.05869236699999997,9.300000000000644e-08,3.4300000000005076e-07,3.7170000000000624e-06
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,test,0.15682000000000001,17.83746,0.94162,0.67592,0.7357,2.117000000000003e-06,0.030692612999999758,2.3002000000000265e-05,4.0722000000000245e-05,5.9475000000000416e-05
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,train,0.015479999999999999,2.12548,0.99916,0.9977,0.97492,2.4569999999999995e-06,0.03846851700000007,4.299999999998243e-08,2.049999999999965e-07,2.522000000000042e-06
