adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,tmin<0.395p1,tmin<0.395p2,tmin<0.395p3,tmin<0.395p4,tmin<0.395p5,tmin<0.395p6,tmin<0.395p7,tmax>36.485p1,tmax>36.485p2,tmax>36.485p3,tmax>36.485p4,tmax>36.485p5,tmax>36.485p6,tmax>36.485p7,prec<6.425p1,prec<6.425p2,prec<6.425p3,prec<6.425p4,prec<6.425p5,prec<6.425p6,prec<6.425p7,median_cum_fpar1,median_cum_fpar2,median_cum_fpar3,median_cum_fpar4,median_cum_fpar5,median_cum_fpar6,median_cum_fpar7,median_cum_ndvi1,median_cum_ndvi2,median_cum_ndvi3,median_cum_ndvi4,median_cum_ndvi5,median_cum_ndvi6,median_cum_ndvi7,median_ssm1,median_ssm2,median_ssm3,median_ssm4,median_ssm5,median_ssm6,median_ssm7,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
CN011,14.819,1.511,2003,0.0,0.0,26.123,209.884,606.155,1095.953,1330.561,0.0,4.736,41.976,71.562,136.004,214.084,228.922,0.0,-18.65796153846154,-44.06345161290322,-98.94183333333334,-180.7540322580645,-250.20016666666663,-317.78776923076924,0.0,0.1821538461538461,1.2012903225806453,0.9862,2.078774193548387,2.6026666666666665,1.1413846153846154,0.0,11951791.634615384,14918232.951612905,18496295.7,20248575.580645163,22948688.23333333,21701670.846153848,0.0,-0.6701923076923078,3.9568387096774194,12.408633333333334,19.10293548387097,22.6466,24.366769230769236,0.0,5.167653846153846,9.11358064516129,18.5317,25.17667741935484,28.41573333333333,29.52123076923077,0.0,-5.548461538461538,-0.8430645161290323,5.9351666666666665,12.960709677419354,16.77413333333333,18.97646153846154,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,28.0,30.0,27.0,12.0,0.0,14.736,41.548,86.084,161.065,272.783,397.482,0.0,0.347,1.028,1.823,3.1125,5.099,6.8605,0.0,3.533,3.756,3.677,3.723,3.633,3.714,4.281,4.5882164,0.00041777413669499223,0.020439523886211054,5,train,4.6257933,0.0013536736228900211,0.03679230385406738,5,train
CN012,14.794,1.439,2003,0.0,0.0,42.69599999999999,299.166,751.959,1285.536,1534.712,0.0,8.575999999999999,38.587,75.2,132.646,217.905,237.075,0.0,-19.23428,-49.12445161290322,-125.9233,-223.06106451612905,-309.5468,-372.7941538461538,0.0,0.3430399999999999,0.9680967741935484,1.2204333333333333,1.853096774193548,2.8419666666666665,1.4746153846153844,0.0,11645279.46,15126127.14516129,18701313.766666666,21646023.032258064,23143531.23333333,21385271.846153848,0.0,1.08584,5.566096774193548,14.869,20.92622580645161,24.1059,25.487384615384617,0.0,6.689439999999999,11.18909677419355,20.85986666666667,26.962935483870968,29.7115,30.343076923076925,0.0,-3.61512,0.6551612903225807,8.786399999999999,15.336741935483872,18.8002,20.728,0.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,28.0,28.0,25.0,12.0,0.0,12.936,37.799,88.854,170.805,264.502,369.4255,0.0,0.296,0.8899999999999999,1.6909999999999998,2.624,3.9015,5.2865,0.0,3.451,3.86,3.613,3.89,3.874,3.653,5.189,5.183861299999999,1.9462271720000976e-05,0.0044116064783705465,5,train,5.20126974,1.3047579917998634e-05,0.0036121433966550434,5,train
CN013,14.781,1.481,2003,0.0,0.0,32.94,217.797,611.257,1097.173,1321.643,0.0,7.256,38.873000000000005,84.172,136.013,216.553,244.238,0.0,-15.01204,-43.28487096774193,-101.31223333333334,-178.03203225806453,-259.9300333333333,-322.2973846153846,0.0,0.29024,1.0199032258064515,1.509966666666667,1.6722903225806451,2.6846666666666663,2.1296153846153847,0.0,12046949.7,15431827.064516127,18795010.4,21057764.322580647,22549924.0,21418213.384615384,0.0,-0.45764,4.511483870967742,12.4819,19.01225806451613,22.5172,23.58692307692308,0.0,5.29628,9.87335483870968,18.401633333333333,24.945709677419355,28.1247,28.682923076923075,0.0,-5.3493200000000005,-0.3301290322580645,6.6801,13.314612903225806,17.113,18.707692307692305,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,29.0,29.0,26.0,12.0,0.0,15.07,45.813,105.025,192.099,290.926,400.649,0.0,0.335,0.9845,1.902,3.0985,4.6645,6.087999999999999,0.0,3.796,3.941,3.9245,3.977,3.7715,3.794,4.314,4.49212476,0.00015580281596299124,0.012482099821864559,5,train,4.5344394999999995,0.00037874482649500945,0.019461367539178983,5,train
CN014,14.597,1.473,2003,0.0,0.0,27.251999999999995,139.153,458.859,855.893,1050.94,0.0,15.511,49.038,90.406,139.355,243.481,288.756,0.0,-8.81472,-29.20864516129032,-75.39963333333334,-146.07487096774193,-206.65716666666668,-242.55642857142857,0.0,0.62044,1.081516129032258,1.3789333333333331,1.579,3.4708666666666668,3.2339285714285717,0.0,12418975.36,15682172.79032258,18355743.28333333,20566035.080645163,22474873.4,20383089.785714287,0.0,-1.30768,2.9738709677419357,9.832966666666666,16.633096774193547,19.554466666666663,20.25192857142857,0.0,4.30276,8.129548387096774,15.8668,22.5203870967742,25.219866666666668,25.208642857142856,0.0,-6.217280000000001,-1.7554193548387096,4.068866666666667,10.668451612903224,14.155666666666669,15.658714285714286,0.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,29.0,29.0,25.0,11.0,0.0,13.2515,36.509,71.701,122.808,198.399,297.9305,0.0,0.286,0.8420000000000001,1.476,2.3955,3.719,5.0995,0.0,4.355,4.457,4.4635,4.46,4.4875,4.506500000000001,5.21,5.1283549200000005,0.00012006852552700358,0.010957578451784116,5,train,5.15158908,7.508091621200101e-05,0.008664924478147575,5,train
CN015,13.312,1.479,2003,0.0,0.0,1.4059999999999997,82.472,374.986,784.106,999.939,0.0,5.206,24.55,47.364,79.307,165.015,201.577,0.0,-10.256,-40.49,-105.26146666666666,-224.7202258064516,-339.3516,-386.8844285714285,0.0,0.2263478260869565,0.6239999999999999,0.7604666666666666,1.0304193548387095,2.856933333333333,2.611571428571428,0.0,11880034.304347826,16202975.35483871,18887444.433333334,22650063.096774194,22414397.3,22173922.14285714,0.0,-7.303826086956522,-0.684,8.666699999999999,15.755935483870967,19.95733333333333,21.736642857142854,0.0,-1.0674347826086956,5.437612903225807,15.205533333333332,22.447032258064517,26.0036,27.291500000000003,0.0,-12.869608695652174,-6.206838709677419,1.9616,8.843032258064516,13.9697,16.409214285714288,0.0,23.0,30.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,30.0,30.0,27.0,12.0,0.0,19.3675,52.415,92.432,137.756,205.694,303.8405,0.0,0.357,1.011,1.696,2.4105,3.5460000000000003,4.843,0.0,3.822,3.839,3.6825,3.238,3.729,3.8205,5.585,5.69460812,0.00020381901539698826,0.014276519722852214,5,train,5.691503920000001,0.00020602665083199677,0.014353628490106492,5,train
CN021,14.162,1.52,2003,0.0,0.0,4.625,139.819,480.765,908.864,1123.067,0.0,3.162,22.534,58.012,99.575,226.175,278.042,0.0,-16.73723076923077,-54.948,-128.43283333333335,-225.6082258064516,-285.48363333333333,-299.1335384615385,0.0,0.1216153846153846,0.6249032258064516,1.1826,1.340741935483871,4.22,3.989769230769231,0.0,12077325.923076924,15749266.70967742,18478672.73333333,21888294.16129032,21593864.433333334,21734084.0,0.0,-3.5243076923076924,1.532258064516129,10.728733333333334,17.31825806451613,20.589966666666665,22.797153846153847,0.0,2.3380384615384617,7.047193548387097,16.6368,23.41245161290323,25.691066666666664,27.627769230769232,0.0,-8.476269230769232,-3.410516129032258,4.668866666666667,11.503806451612904,15.8798,18.455615384615385,0.0,26.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,28.0,30.0,23.0,11.0,0.0,17.130000000000003,46.932,86.519,140.81,234.237,364.3085,0.0,0.383,1.071,1.81,2.865,4.401,6.167999999999999,0.0,4.709,4.716,4.4265,4.279,4.805,4.69,6.322,6.12693254,0.00102889160743802,0.03207634030618237,5,train,6.16834978,0.00063600829715201,0.025219204927039433,5,train
CN022,13.895,1.483,2003,0.0,0.0,0.0,93.59199999999998,383.509,794.4259999999999,1012.636,0.0,4.929,21.274,48.081,88.646,225.056,295.606,0.0,-9.526,-43.64525806451613,-108.85106666666668,-213.23174193548388,-279.8429333333333,-264.66364285714286,0.0,0.1760357142857143,0.527258064516129,0.8935666666666666,1.308548387096774,4.547,5.039285714285714,0.0,11554834.44642857,16012679.35483871,18727485.133333333,22135077.870967746,20774946.766666666,21211712.785714287,0.0,-7.685285714285714,-0.7134838709677419,9.1324,15.67216129032258,20.017233333333333,21.90642857142857,0.0,-1.622642857142857,5.231483870967741,15.229433333333333,21.970290322580645,25.0337,26.374785714285714,0.0,-13.388535714285714,-6.287129032258065,2.7847,9.37183870967742,15.173666666666666,17.717428571428574,0.0,28.0,31.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,29.0,29.0,23.0,11.0,0.0,21.168,57.279,97.981,150.18,240.251,376.681,0.0,0.4575,1.242,2.0,2.844,4.2805,6.038,0.0,5.1845,5.114,4.791,4.396,5.2905,5.463,6.148,6.2683807,0.00034916002643499015,0.018685824210748377,5,train,6.2879228,0.0007458827987000154,0.027310854960986033,5,train
CN023,14.269,1.486,2003,0.0,0.0,0.0,60.315,306.524,716.6129999999999,891.485,0.0,5.349,17.252000000000002,44.114,72.173,151.622,220.773,0.0,-4.087714285714286,-33.72690322580645,-87.64623333333334,-197.09483870967745,-306.1722,-316.4433333333333,0.0,0.1910357142857142,0.3839677419354839,0.8954,0.9051290322580644,2.6483,5.762583333333333,0.0,10748374.267857144,15724355.225806452,19045560.133333333,23050600.129032254,21082009.1,19226896.33333333,0.0,-12.502107142857144,-1.8124193548387095,7.710533333333333,14.240903225806452,19.98963333333333,20.892666666666667,0.0,-5.6355,4.426451612903226,14.068766666666669,20.946645161290324,25.5038,25.371583333333334,0.0,-18.996285714285712,-7.920645161290322,0.8615999999999999,7.134612903225807,14.468866666666669,16.796833333333336,0.0,28.0,31.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,29.0,31.0,29.0,7.0,0.0,16.681,48.19,85.989,134.31900000000002,216.304,340.0375,0.0,0.4684999999999999,1.2845,2.098,3.114,4.663,6.437,0.0,5.313000000000001,5.301,5.109,4.599,4.886,5.5435,4.046,4.38508592,0.0005099471735320094,0.02258200995332367,5,train,4.43412854,0.0009652278614980228,0.03106811647811986,5,train
CN032,13.994,1.439,2003,0.0,6.189999999999997,86.70799999999998,321.113,716.841,1249.568,1462.374,7.995,62.558,154.739,270.875,332.016,515.34,798.021,7.407,8.52125,39.769451612903225,39.6321,56.15525806451613,-25.62633333333333,191.83391666666665,7.995,1.9486785714285717,2.9735806451612907,3.8712,1.9722903225806447,6.1108,23.55675,3645925.0,10839060.910714284,14766359.298387095,16517752.416666666,18849757.241935484,21502299.5,13090594.666666666,1.274,4.162214285714286,8.095225806451612,14.1335,19.08541935483871,24.077566666666662,24.053833333333333,3.639,8.712285714285715,12.874193548387098,18.812366666666662,23.576032258064515,28.765833333333333,27.419083333333333,-0.945,0.0036071428571428,3.702225806451613,9.738166666666666,14.852193548387095,19.585733333333334,21.31175,1.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,23.0,29.0,23.0,1.0,0.0,40.859,125.774,261.439,420.214,540.192,645.5765,0.0,0.7729999999999999,2.21,4.053,6.266,7.936,9.462,0.0,5.8740000000000006,5.873,5.9005,5.757,5.1080000000000005,7.0215,4.365,4.43992494,9.942923936299886e-05,0.009971421130561023,5,train,4.49641314,0.00011224065038801002,0.010594368805549956,5,train
CN034,13.843,1.492,2003,0.0,15.380999999999997,118.902,369.447,799.713,1357.896,1507.409,11.305,82.161,191.464,321.767,404.245,666.141,813.679,2.477666666666667,19.466535714285715,68.27287096774195,91.92243333333334,135.00067741935484,74.12476666666666,286.301375,3.768333333333333,2.530571428571428,3.5259032258064518,4.3434333333333335,2.66058064516129,8.729866666666668,18.44225,7865737.0,9874285.82142857,14397410.241935484,15334294.141666668,18323602.467741936,21360073.933333334,13116601.875,0.7806666666666667,4.736107142857143,8.819967741935484,14.6715,20.199548387096776,24.9261,25.009125,4.415666666666667,9.139964285714289,13.569258064516127,19.21153333333333,24.504451612903228,29.539566666666666,28.138,-2.666333333333333,0.6995714285714286,4.247612903225806,10.3691,15.927806451612904,20.4348,22.356375,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,26.0,21.0,27.0,22.0,1.0,0.0,42.804,131.346,262.072,403.998,519.001,603.694,0.0,0.8295,2.3455,4.179,6.224,7.944500000000001,9.421,0.0,6.609,6.589,6.656499999999999,6.513,5.9005,7.7425,4.154,4.1697117,5.617239582500163e-05,0.007494824602684283,5,train,4.20145934,6.667234362799715e-05,0.008165313443340504,5,train
